product_name,product_price,product_url
"EASY&FREE 豆芽菜育苗盤 6入組, 1組",$168,https://www.tw.coupang.com/products/EASY%26FREE-%E8%B1%86%E8%8A%BD%E8%8F%9C%E8%82%B2%E8%8B%97%E7%9B%A4-6%E5%85%A5%E7%B5%84-169331379912704?itemId=169331841269760&vendorItemId=169330893340672&sourceType=search&rank=&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"Move Free 益節 關節健康的 5 個高級跡象 MSM + 維生素 D3 包衣片, 1個, 120顆",$756,https://www.tw.coupang.com/products/Move-Free-%E7%9B%8A%E7%AF%80-%E9%97%9C%E7%AF%80%E5%81%A5%E5%BA%B7%E7%9A%84-5-%E5%80%8B%E9%AB%98%E7%B4%9A%E8%B7%A1%E8%B1%A1-MSM-%2B-%E7%B6%AD%E7%94%9F%E7%B4%A0-D3-%E5%8C%85%E8%A1%A3%E7%89%87-21007297474117?itemId=21023255010777&vendorItemId=21090287406981&sourceType=search&rank=1&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 6格圓球製冰盒兩入組, 珊瑚粉+天空藍, 1組",$194,https://www.tw.coupang.com/products/EASY%26FREE-6%E6%A0%BC%E5%9C%93%E7%90%83%E8%A3%BD%E5%86%B0%E7%9B%92%E5%85%A9%E5%85%A5%E7%B5%84-259191528718344?itemId=259189653848073&vendorItemId=259191528718337&sourceType=search&rank=2&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 35格製冰盒3入組 附儲冰盒+冰鏟, 天藍色, 1組",$198,https://www.tw.coupang.com/products/EASY%26FREE-35%E6%A0%BC%E8%A3%BD%E5%86%B0%E7%9B%923%E5%85%A5%E7%B5%84-%E9%99%84%E5%84%B2%E5%86%B0%E7%9B%92%2B%E5%86%B0%E9%8F%9F-169658111967232?itemId=169658598539264&vendorItemId=169659059896320&sourceType=search&rank=3&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 泡菜保鮮盒 黑色, 4.3L, 2個",$184,https://www.tw.coupang.com/products/EASY%26FREE-%E6%B3%A1%E8%8F%9C%E4%BF%9D%E9%AE%AE%E7%9B%92-%E9%BB%91%E8%89%B2-259191612604416?itemId=259189733539860&vendorItemId=259189733539850&sourceType=search&rank=4&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 穀物密封保鮮罐 象牙白+灰色 1.2L 4個, 1組",$179,https://www.tw.coupang.com/products/EASY%26FREE-%E7%A9%80%E7%89%A9%E5%AF%86%E5%B0%81%E4%BF%9D%E9%AE%AE%E7%BD%90-%E8%B1%A1%E7%89%99%E7%99%BD%2B%E7%81%B0%E8%89%B2-1.2L-4%E5%80%8B-158445932068868?itemId=158446355726340&vendorItemId=158446355726337&sourceType=search&rank=5&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 可微波圓形保鮮盒組 650ml, 8個",$177,https://www.tw.coupang.com/products/EASY%26FREE-%E5%8F%AF%E5%BE%AE%E6%B3%A2%E5%9C%93%E5%BD%A2%E4%BF%9D%E9%AE%AE%E7%9B%92%E7%B5%84-650ml-158362574503941?itemId=158362981335045&vendorItemId=158362981335042&sourceType=search&rank=6&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"Kitchen Free 矽膠鍋鏟, 紅色, 1支",$71,https://www.tw.coupang.com/products/Kitchen-Free-%E7%9F%BD%E8%86%A0%E9%8D%8B%E9%8F%9F-259193562939405?itemId=259193562939406&vendorItemId=259193562939395&sourceType=search&rank=7&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 方形保鮮盒組, 粉紅色*10個+黃色*10個, 1組",$276,https://www.tw.coupang.com/products/EASY%26FREE-%E6%96%B9%E5%BD%A2%E4%BF%9D%E9%AE%AE%E7%9B%92%E7%B5%84-21001445152924?itemId=21002490367921&vendorItemId=21070483574997&sourceType=search&rank=8&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 提把保鮮盒 4件組, 1組",$316,https://www.tw.coupang.com/products/EASY%26FREE-%E6%8F%90%E6%8A%8A%E4%BF%9D%E9%AE%AE%E7%9B%92-4%E4%BB%B6%E7%B5%84-159463008878601?itemId=159463419904012&vendorItemId=159463419904003&sourceType=search&rank=9&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE Ice Cube 280系列 35格製冰盒4入組 附儲冰盒+冰鏟, 混合顏色, 1組",$270,https://www.tw.coupang.com/products/EASY%26FREE-Ice-Cube-280%E7%B3%BB%E5%88%97-35%E6%A0%BC%E8%A3%BD%E5%86%B0%E7%9B%924%E5%85%A5%E7%B5%84-%E9%99%84%E5%84%B2%E5%86%B0%E7%9B%92%2B%E5%86%B0%E9%8F%9F-161670643007490?itemId=161671083442184&vendorItemId=161671502856197&sourceType=search&rank=10&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 可微波圓形保鮮盒組 450ml 12入, 1組",$173,https://www.tw.coupang.com/products/EASY%26FREE-%E5%8F%AF%E5%BE%AE%E6%B3%A2%E5%9C%93%E5%BD%A2%E4%BF%9D%E9%AE%AE%E7%9B%92%E7%B5%84-450ml-12%E5%85%A5-158362247348230?itemId=158361823690761&vendorItemId=158362649985030&sourceType=search&rank=11&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 泡菜保鮮盒 土黃色, 8L, 1個",$239,https://www.tw.coupang.com/products/EASY%26FREE-%E6%B3%A1%E8%8F%9C%E4%BF%9D%E9%AE%AE%E7%9B%92-%E5%9C%9F%E9%BB%83%E8%89%B2-259191612604417?itemId=259189733539861&vendorItemId=259190723428369&sourceType=search&rank=12&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE 單柄餐盤組, 米灰色+森林綠色+花朵白色+天藍色+海藍色, 1組",$179,https://www.tw.coupang.com/products/EASY%26FREE-%E5%96%AE%E6%9F%84%E9%A4%90%E7%9B%A4%E7%B5%84-259165612130310?itemId=259166497112071&vendorItemId=259165612130305&sourceType=search&rank=13&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"Kitchen Free 矽膠有孔鍋鏟, 紅色, 1支",$68,https://www.tw.coupang.com/products/Kitchen-Free-%E7%9F%BD%E8%86%A0%E6%9C%89%E5%AD%94%E9%8D%8B%E9%8F%9F-259194573799426?itemId=259195458781186&vendorItemId=259195458781184&sourceType=search&rank=14&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE Easy Cook 圓形保鮮盒組 保鮮盒450ml 16個+灰色蓋子 8個+白色蓋子 8個, 1組",$210,https://www.tw.coupang.com/products/EASY%26FREE-Easy-Cook-%E5%9C%93%E5%BD%A2%E4%BF%9D%E9%AE%AE%E7%9B%92%E7%B5%84-%E4%BF%9D%E9%AE%AE%E7%9B%92450ml-16%E5%80%8B%2B%E7%81%B0%E8%89%B2%E8%93%8B%E5%AD%90-8%E5%80%8B%2B%E7%99%BD%E8%89%B2%E8%93%8B%E5%AD%90-8%E5%80%8B-158362742259713?itemId=158361915965440&vendorItemId=158362742259712&sourceType=search&rank=15&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"Kitchen Free 矽膠拌炒匙, 紅色, 1支",$65,https://www.tw.coupang.com/products/Kitchen-Free-%E7%9F%BD%E8%86%A0%E6%8B%8C%E7%82%92%E5%8C%99-259908117151751?itemId=259910000410631&vendorItemId=259910000410625&sourceType=search&rank=16&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
"EASY&FREE Easy&Modern 穀物麥片收納桶組 1200ml*6入, 1組",$260,https://www.tw.coupang.com/products/EASY%26FREE-Easy%26Modern-%E7%A9%80%E7%89%A9%E9%BA%A5%E7%89%87%E6%94%B6%E7%B4%8D%E6%A1%B6%E7%B5%84-1200ml*6%E5%85%A5-257755478736901?itemId=257756359524354&vendorItemId=257754497236994&sourceType=search&rank=17&searchId=8e2782dc40e74699aa807e46ff294897&q=-free
