product_name,product_price,product_url
"BAUSCH LOMB 博士倫 水漾清新多效保養液, 355ml, 1瓶",$112,https://www.tw.coupang.com/products/BAUSCH-LOMB-%E5%8D%9A%E5%A3%AB%E5%80%AB-%E6%B0%B4%E6%BC%BE%E6%B8%85%E6%96%B0%E5%A4%9A%E6%95%88%E4%BF%9D%E9%A4%8A%E6%B6%B2-164226073067520?itemId=164225179664399&vendorItemId=164226068873225&sourceType=search&rank=&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"RICO 紅牌 埔里好水, 6.3L, 2桶",$73,https://www.tw.coupang.com/products/RICO-%E7%B4%85%E7%89%8C-%E5%9F%94%E9%87%8C%E5%A5%BD%E6%B0%B4-453404086222848?itemId=453340903211008&vendorItemId=453340903194624&sourceType=search&rank=1&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"泰勒農場深水康普茶, 4個, 180ml",$304,https://www.tw.coupang.com/products/%E6%B3%B0%E5%8B%92%E8%BE%B2%E5%A0%B4%E6%B7%B1%E6%B0%B4%E5%BA%B7%E6%99%AE%E8%8C%B6-21008011424493?itemId=21022351897640&vendorItemId=21083562284876&sourceType=search&rank=2&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"Ice TaLK 檸檬水, 230ml, 10個",$192,https://www.tw.coupang.com/products/Ice-TaLK-%E6%AA%B8%E6%AA%AC%E6%B0%B4-21006625037354?itemId=21015078683581&vendorItemId=21082300875381&sourceType=search&rank=3&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"Ever Miracle Natural EM, 500ml, 2入",$142,https://www.tw.coupang.com/products/Ever-Miracle-Natural-EM-21008247946888?itemId=21023741367242&vendorItemId=21077023029720&sourceType=search&rank=4&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"TRUE citrus 檸檬水沖泡粉, 0.8g, 100包, 1盒",$460,https://www.tw.coupang.com/products/TRUE-citrus-%E6%AA%B8%E6%AA%AC%E6%B0%B4%E6%B2%96%E6%B3%A1%E7%B2%89-21007246136102?itemId=21018421864482&vendorItemId=21078502909165&sourceType=search&rank=5&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"ilhwa 一和 紅梅紫蘇通寧水, 250ml, 30個",$384,https://www.tw.coupang.com/products/ilhwa-%E4%B8%80%E5%92%8C-%E7%B4%85%E6%A2%85%E7%B4%AB%E8%98%87%E9%80%9A%E5%AF%A7%E6%B0%B4-21008244095484?itemId=21018641258732&vendorItemId=21085776360826&sourceType=search&rank=6&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"Nestle 雀巢 藍色檸檬沖泡飲, 13.3g, 40條, 1盒",$181,https://www.tw.coupang.com/products/Nestle-%E9%9B%80%E5%B7%A2-%E8%97%8D%E8%89%B2%E6%AA%B8%E6%AA%AC%E6%B2%96%E6%B3%A1%E9%A3%B2-21000002526729?itemId=21000000340864&vendorItemId=21003000249412&sourceType=search&rank=7&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"Nestle 雀巢 檸檬水沖泡粉隨身包, 15g, 40條, 1盒",$201,https://www.tw.coupang.com/products/Nestle-%E9%9B%80%E5%B7%A2-%E6%AA%B8%E6%AA%AC%E6%B0%B4%E6%B2%96%E6%B3%A1%E7%B2%89%E9%9A%A8%E8%BA%AB%E5%8C%85-21000000186472?itemId=21000000340834&vendorItemId=21003000249411&sourceType=search&rank=8&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
"natureahn 排水器白色, 2個",$236,https://www.tw.coupang.com/products/natureahn-%E6%8E%92%E6%B0%B4%E5%99%A8%E7%99%BD%E8%89%B2-21005423217751?itemId=21008195607402&vendorItemId=21075483720088&sourceType=search&rank=9&searchId=c1516dcfcda04f40b29cf1744ebc04a8&q=12800mah
