product_name,product_price,product_url
"EVERLIGHT 億光 高亮度LED燈泡 18W 95 x 174mm 102g, 白光, 1個",$158,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E9%AB%98%E4%BA%AE%E5%BA%A6LED%E7%87%88%E6%B3%A1-18W-95-x-174mm-102g-453693602250753?itemId=453693602201601&vendorItemId=453693598007304&sourceType=search&rank=&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"EVERLIGHT 億光 星皓LED崁燈 7W 9.5cm, 白光, 1個",$118,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E6%98%9F%E7%9A%93LED%E5%B4%81%E7%87%88-7W-9.5cm-453693602201605?itemId=453693602217989&vendorItemId=453693602201604&sourceType=search&rank=1&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"EVERLIGHT 億光 15W星皓LED崁燈 15cm 4000K, 自然光, 1個",$118,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-15W%E6%98%9F%E7%9A%93LED%E5%B4%81%E7%87%88-15cm-4000K-453693602217991?itemId=453693602234372&vendorItemId=453693602250754&sourceType=search&rank=2&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"DANCELIGHT 舞光 12cm奧丁崁燈 12W 4000K LED-12DOP12NR2 143 x 44mm, 自然光, 1個",$176,https://www.tw.coupang.com/products/DANCELIGHT-%E8%88%9E%E5%85%89-12cm%E5%A5%A7%E4%B8%81%E5%B4%81%E7%87%88-12W-4000K-LED-12DOP12NR2-143-x-44mm-452982088892424?itemId=452982088908808&vendorItemId=452982088908803&sourceType=search&rank=3&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"Haegang Corporation 秒錶 Study Timer 黑色, 黑色系, 1個",$207,https://www.tw.coupang.com/products/Haegang-Corporation-%E7%A7%92%E9%8C%B6-Study-Timer-%E9%BB%91%E8%89%B2-21006954252625?itemId=21016907269909&vendorItemId=21084085364022&sourceType=search&rank=4&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"臻光彩 14瓦LED崁燈 4000K 176.5*70mm, 黃光 自然光, 2個","$1,304",https://www.tw.coupang.com/products/%E8%87%BB%E5%85%89%E5%BD%A9-14%E7%93%A6LED%E5%B4%81%E7%87%88-4000K-176.5*70mm-158802372444163?itemId=285904828596234&vendorItemId=285904828596231&sourceType=search&rank=5&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"Gopro Hero系列Osmo Action兼容攝影支架 120分鐘, 單品, 1個",$376,https://www.tw.coupang.com/products/Gopro-Hero%E7%B3%BB%E5%88%97Osmo-Action%E5%85%BC%E5%AE%B9%E6%94%9D%E5%BD%B1%E6%94%AF%E6%9E%B6-120%E5%88%86%E9%90%98-21002117005729?itemId=21003594971159&vendorItemId=21071580709732&sourceType=search&rank=6&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"LED攝影補光燈+連接器組, 立方燈 33, 1個","$1,304",https://www.tw.coupang.com/products/LED%E6%94%9D%E5%BD%B1%E8%A3%9C%E5%85%89%E7%87%88%2B%E9%80%A3%E6%8E%A5%E5%99%A8%E7%B5%84-21001943023987?itemId=21003298723211&vendorItemId=21071285651262&sourceType=search&rank=7&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"Haegang Corporation 秒錶 Study Timer 藍色, 1個, 藍色系",$207,https://www.tw.coupang.com/products/Haegang-Corporation-%E7%A7%92%E9%8C%B6-Study-Timer-%E8%97%8D%E8%89%B2-21006954252341?itemId=21016907268140&vendorItemId=21084085362997&sourceType=search&rank=8&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
"CASIO 秒錶 HS-3C, 1個",$658,https://www.tw.coupang.com/products/CASIO-%E7%A7%92%E9%8C%B6-HS-3C-21000141417930?itemId=21000411841818&vendorItemId=21004010088082&sourceType=search&rank=9&searchId=51a0e65660634c28948f23f6d643d0b2&q=13w%E4%BA%AE%E5%BA%A6
