product_name,product_price,product_url
"楊記家具雜誌架3列600書架, 混色, 4層",$701,https://www.tw.coupang.com/products/%E6%A5%8A%E8%A8%98%E5%AE%B6%E5%85%B7%E9%9B%9C%E8%AA%8C%E6%9E%B63%E5%88%97600%E6%9B%B8%E6%9E%B6-21007322604624?itemId=21018434511702&vendorItemId=21085575906757&sourceType=search&rank=&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"楊記家具雜誌架3列600書架, 白色",$701,https://www.tw.coupang.com/products/%E6%A5%8A%E8%A8%98%E5%AE%B6%E5%85%B7%E9%9B%9C%E8%AA%8C%E6%9E%B63%E5%88%97600%E6%9B%B8%E6%9E%B6-21007248819879?itemId=21018434511696&vendorItemId=21085575906731&sourceType=search&rank=1&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"楊記家具雜誌架3列600書架, 淺灰色, 4層",$701,https://www.tw.coupang.com/products/%E6%A5%8A%E8%A8%98%E5%AE%B6%E5%85%B7%E9%9B%9C%E8%AA%8C%E6%9E%B63%E5%88%97600%E6%9B%B8%E6%9E%B6-21007322604624?itemId=21018434511693&vendorItemId=21085575906715&sourceType=search&rank=2&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"YANGJI BOOKCASE 4層雜誌書架, 淺綠色, 4層",$903,https://www.tw.coupang.com/products/YANGJI-BOOKCASE-4%E5%B1%A4%E9%9B%9C%E8%AA%8C%E6%9B%B8%E6%9E%B6-21007322604624?itemId=21018435010297&vendorItemId=21085576387026&sourceType=search&rank=3&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列軟毛, 2支",$110,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E8%BB%9F%E6%AF%9B-219613216358406?itemId=425529509347337&vendorItemId=425529509347334&sourceType=search&rank=4&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列普通毛, 1入, 2支",$83,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E6%99%AE%E9%80%9A%E6%AF%9B-154417093361671?itemId=420480355893264&vendorItemId=420480355893261&sourceType=search&rank=5&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列普通毛, 1入, 3支",$124,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E6%99%AE%E9%80%9A%E6%AF%9B-154417093361671?itemId=420480355893260&vendorItemId=420480355876865&sourceType=search&rank=6&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列軟毛, 3支",$165,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E8%BB%9F%E6%AF%9B-219613216358406?itemId=425529509363723&vendorItemId=425529509363718&sourceType=search&rank=7&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列普通毛, 1入, 5支",$207,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E6%99%AE%E9%80%9A%E6%AF%9B-154417093361671?itemId=420480347471876&vendorItemId=420480347504641&sourceType=search&rank=8&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列普通毛, 1入, 4支",$165,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E6%99%AE%E9%80%9A%E6%AF%9B-154417093361671?itemId=420480351698946&vendorItemId=420480351666176&sourceType=search&rank=9&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列普通毛, 1入, 6支",$248,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E6%99%AE%E9%80%9A%E6%AF%9B-154417093361671?itemId=420480351715333&vendorItemId=420480351715328&sourceType=search&rank=10&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列軟毛, 5支",$276,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E8%BB%9F%E6%AF%9B-219613216358406?itemId=425529261916160&vendorItemId=425529257705477&sourceType=search&rank=11&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列軟毛, 4支",$221,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E8%BB%9F%E6%AF%9B-219613216358406?itemId=425529509347336&vendorItemId=425529509380101&sourceType=search&rank=12&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Create Dental Expert 極細毛牙刷 3列軟毛, 6支",$331,https://www.tw.coupang.com/products/Create-Dental-Expert-%E6%A5%B5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-3%E5%88%97%E8%BB%9F%E6%AF%9B-219613216358406?itemId=425529257705480&vendorItemId=425529257689094&sourceType=search&rank=13&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"楊記家具雜誌架3列600書架, 淺棕色, 4層",$701,https://www.tw.coupang.com/products/%E6%A5%8A%E8%A8%98%E5%AE%B6%E5%85%B7%E9%9B%9C%E8%AA%8C%E6%9E%B63%E5%88%97600%E6%9B%B8%E6%9E%B6-21007322604624?itemId=21018434511691&vendorItemId=21085575906704&sourceType=search&rank=14&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
"Machlink D-SUB 2列9pin轉3列15pin含蓋轉接頭 100入, ML-DS9H",$662,https://www.tw.coupang.com/products/Machlink-D-SUB-2%E5%88%979pin%E8%BD%893%E5%88%9715pin%E5%90%AB%E8%93%8B%E8%BD%89%E6%8E%A5%E9%A0%AD-100%E5%85%A5-21000221497802?itemId=21000691906701&vendorItemId=21004772182454&sourceType=search&rank=15&searchId=e86632059a7a4d6aafe446352a92401f&q=3%E5%88%97
