product_name,product_price,product_url
"3M 淨化級捲筒式靜電空氣濾網 38*270cm, 9806-RTC, 1個",$287,https://www.tw.coupang.com/products/3M-%E6%B7%A8%E5%8C%96%E7%B4%9A%E6%8D%B2%E7%AD%92%E5%BC%8F%E9%9D%9C%E9%9B%BB%E7%A9%BA%E6%B0%A3%E6%BF%BE%E7%B6%B2-38*270cm-202564645650434?itemId=202564033298435&vendorItemId=202564645650432&sourceType=search&rank=&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"MB-3DP-7 /多功能整理器/, 1個, 粉色",$701,https://www.tw.coupang.com/products/MB-3DP-7-%2F%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%95%B4%E7%90%86%E5%99%A8%2F-21000001836346?itemId=21000008067409&vendorItemId=21003011067949&sourceType=search&rank=1&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"3M 靜電空氣濾網 輕巧捲筒裝 濾塵基礎型 內附背膠 膠貼 38*132cm, 1盒",$150,https://www.tw.coupang.com/products/3M-%E9%9D%9C%E9%9B%BB%E7%A9%BA%E6%B0%A3%E6%BF%BE%E7%B6%B2-%E8%BC%95%E5%B7%A7%E6%8D%B2%E7%AD%92%E8%A3%9D-%E6%BF%BE%E5%A1%B5%E5%9F%BA%E7%A4%8E%E5%9E%8B-%E5%85%A7%E9%99%84%E8%83%8C%E8%86%A0-%E8%86%A0%E8%B2%BC-38*132cm-334902008414214?itemId=334902008430599&vendorItemId=334902008430596&sourceType=search&rank=2&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"MB-4DP-12 /多功能整理器/, 粉色, 1 個",$772,https://www.tw.coupang.com/products/MB-4DP-12-%2F%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%95%B4%E7%90%86%E5%99%A8%2F-21000001836361?itemId=21000008067424&vendorItemId=21003011067967&sourceType=search&rank=3&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"3M FA-S500 靜電濾網 大坪數專用13-32坪 2片, S500-PF, 1組","$3,572",https://www.tw.coupang.com/products/3M-FA-S500-%E9%9D%9C%E9%9B%BB%E6%BF%BE%E7%B6%B2-%E5%A4%A7%E5%9D%AA%E6%95%B8%E5%B0%88%E7%94%A813-32%E5%9D%AA-2%E7%89%87-334902293626883?itemId=334902293643266&vendorItemId=334902293659650&sourceType=search&rank=4&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"Black-Bull 衝擊扳手適配器 SG-A, 1個",$102,https://www.tw.coupang.com/products/Black-Bull-%E8%A1%9D%E6%93%8A%E6%89%B3%E6%89%8B%E9%81%A9%E9%85%8D%E5%99%A8-SG-A-21007972621552?itemId=21022087983172&vendorItemId=21089135005091&sourceType=search&rank=5&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"3M FA-C20PT 個人隨身型空氣清淨機活性碳濾網, C1020-CA, 1盒",$393,https://www.tw.coupang.com/products/3M-FA-C20PT-%E5%80%8B%E4%BA%BA%E9%9A%A8%E8%BA%AB%E5%9E%8B%E7%A9%BA%E6%B0%A3%E6%B8%85%E6%B7%A8%E6%A9%9F%E6%B4%BB%E6%80%A7%E7%A2%B3%E6%BF%BE%E7%B6%B2-276485000626185?itemId=276484040146956&vendorItemId=276485000626183&sourceType=search&rank=6&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"3M FA-S501全濾型空氣清淨機專用濾網 S501-PF 2入, 1組","$1,629",https://www.tw.coupang.com/products/3M-FA-S501%E5%85%A8%E6%BF%BE%E5%9E%8B%E7%A9%BA%E6%B0%A3%E6%B8%85%E6%B7%A8%E6%A9%9F%E5%B0%88%E7%94%A8%E6%BF%BE%E7%B6%B2-S501-PF-2%E5%85%A5-276485151621123?itemId=276483142533124&vendorItemId=276483142533121&sourceType=search&rank=7&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"VENTION 威迅 5.5 6.35 6.5 M 至 3.5 F 音頻性別, 1個, VAB-S01-L",$116,https://www.tw.coupang.com/products/VENTION-%E5%A8%81%E8%BF%85-5.5-6.35-6.5-M-%E8%87%B3-3.5-F-%E9%9F%B3%E9%A0%BB%E6%80%A7%E5%88%A5-21008011442533?itemId=21022351965691&vendorItemId=21089397067585&sourceType=search&rank=8&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"MB-4DW-8 /多功能整理器/, 1組, 白色",$720,https://www.tw.coupang.com/products/MB-4DW-8-%2F%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%95%B4%E7%90%86%E5%99%A8%2F-21000001836354?itemId=21000008067417&vendorItemId=21003011067959&sourceType=search&rank=9&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"COMEIT 泰式捲型電線整理魔鬼氈 cm-vt10k 2cm*10m 黑色, 1個",$114,https://www.tw.coupang.com/products/COMEIT-%E6%B3%B0%E5%BC%8F%E6%8D%B2%E5%9E%8B%E9%9B%BB%E7%B7%9A%E6%95%B4%E7%90%86%E9%AD%94%E9%AC%BC%E6%B0%88-cm-vt10k-2cm*10m-%E9%BB%91%E8%89%B2-21001853055822?itemId=21003149806612&vendorItemId=21071137397106&sourceType=search&rank=10&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"V-tech 強力瞬乾膠 20g VT-042, 4個",$211,https://www.tw.coupang.com/products/V-tech-%E5%BC%B7%E5%8A%9B%E7%9E%AC%E4%B9%BE%E8%86%A0-20g-VT-042-21006330408599?itemId=21013235125685&vendorItemId=21080493195016&sourceType=search&rank=11&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
Reebok 阻力電纜,$244,https://www.tw.coupang.com/products/Reebok-%E9%98%BB%E5%8A%9B%E9%9B%BB%E7%BA%9C-21000028903670?itemId=21000110720017&vendorItemId=21003216690338&sourceType=search&rank=12&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"J-PRO XLR Canon 臂 - RCA 臂轉換性別, JC03, 單色",$96,https://www.tw.coupang.com/products/J-PRO-XLR-Canon-%E8%87%82---RCA-%E8%87%82%E8%BD%89%E6%8F%9B%E6%80%A7%E5%88%A5-21007373494842?itemId=21019026100795&vendorItemId=21086504091016&sourceType=search&rank=13&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"Y-One高速長鑽100mm 3.5x100 10p, 1個",$478,https://www.tw.coupang.com/products/Y-One%E9%AB%98%E9%80%9F%E9%95%B7%E9%91%BD100mm-3.5x100-10p-21004610059583?itemId=21005696982464&vendorItemId=21084819573134&sourceType=search&rank=14&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"D-Link 友訊科技 6埠2.5G Multi Gigabit交換機, DMS-106XT","$4,057",https://www.tw.coupang.com/products/D-Link-%E5%8F%8B%E8%A8%8A%E7%A7%91%E6%8A%80-6%E5%9F%A02.5G-Multi-Gigabit%E4%BA%A4%E6%8F%9B%E6%A9%9F-21006590785930?itemId=21014871442826&vendorItemId=21082110466802&sourceType=search&rank=15&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"CHA-550ZA兼容濾芯, A-061","$1,298",https://www.tw.coupang.com/products/CHA-550ZA%E5%85%BC%E5%AE%B9%E6%BF%BE%E8%8A%AF-21005455830645?itemId=21008338604849&vendorItemId=21075626417181&sourceType=search&rank=16&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"T-REX CASTER 旋轉腳輪 130 x 64 x 95 mm 安靜 灰色 P504S-4, 4個",$522,https://www.tw.coupang.com/products/T-REX-CASTER-%E6%97%8B%E8%BD%89%E8%85%B3%E8%BC%AA-130-x-64-x-95-mm-%E5%AE%89%E9%9D%9C-%E7%81%B0%E8%89%B2-P504S-4-21007489832676?itemId=21002361923875&vendorItemId=21086635145103&sourceType=search&rank=17&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"DHTP-03OP+220V雪茄插孔轉換適配器套組, 黑色, 1組","$2,025",https://www.tw.coupang.com/products/DHTP-03OP%2B220V%E9%9B%AA%E8%8C%84%E6%8F%92%E5%AD%94%E8%BD%89%E6%8F%9B%E9%81%A9%E9%85%8D%E5%99%A8%E5%A5%97%E7%B5%84-21006536913966?itemId=21014539249974&vendorItemId=21081781683734&sourceType=search&rank=18&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"D-Link 友訊科技 乙太網路8埠PoE交換集線器, DES-1008P",$820,https://www.tw.coupang.com/products/D-Link-%E5%8F%8B%E8%A8%8A%E7%A7%91%E6%8A%80-%E4%B9%99%E5%A4%AA%E7%B6%B2%E8%B7%AF8%E5%9F%A0PoE%E4%BA%A4%E6%8F%9B%E9%9B%86%E7%B7%9A%E5%99%A8-21008115698662?itemId=21023008138768&vendorItemId=21090041994856&sourceType=search&rank=19&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"Milwaukee Flyer Cella 48-22-6310 25cm + Flyer Cella 48-22-6312 30cm, 1套","$1,243",https://www.tw.coupang.com/products/Milwaukee-Flyer-Cella-48-22-6310-25cm-%2B-Flyer-Cella-48-22-6312-30cm-21006163762294?itemId=21011980041457&vendorItemId=21079252534036&sourceType=search&rank=20&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"Milwaukee Packout Multibox 48-22-8430+Slim 48-22-8431 套組, 1組","$4,245",https://www.tw.coupang.com/products/Milwaukee-Packout-Multibox-48-22-8430%2BSlim-48-22-8431-%E5%A5%97%E7%B5%84-21006133443019?itemId=21011712415069&vendorItemId=21078986579023&sourceType=search&rank=21&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"EX-POWER 百分錶EIC-2046, 1個, EIC-2046",$374,https://www.tw.coupang.com/products/EX-POWER-%E7%99%BE%E5%88%86%E9%8C%B6EIC-2046-21007610986473?itemId=21020157237486&vendorItemId=21089781892957&sourceType=search&rank=22&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"SP-G777 無線局域網, 白色的",$435,https://www.tw.coupang.com/products/SP-G777-%E7%84%A1%E7%B7%9A%E5%B1%80%E5%9F%9F%E7%B6%B2-21000002008136?itemId=21000009001596&vendorItemId=21003012815853&sourceType=search&rank=23&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"J-PRO GEOSAN 50W低 / HI防水方量調整器, J-PRO BHS-50","$3,949",https://www.tw.coupang.com/products/J-PRO-GEOSAN-50W%E4%BD%8E-%2F-HI%E9%98%B2%E6%B0%B4%E6%96%B9%E9%87%8F%E8%AA%BF%E6%95%B4%E5%99%A8-21006718554730?itemId=21015620248304&vendorItemId=21082837965661&sourceType=search&rank=24&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
"D-Link 友訊科技 8埠PoE+1埠交換集線器, DSS-100E-9P","$1,240",https://www.tw.coupang.com/products/D-Link-%E5%8F%8B%E8%A8%8A%E7%A7%91%E6%8A%80-8%E5%9F%A0PoE%2B1%E5%9F%A0%E4%BA%A4%E6%8F%9B%E9%9B%86%E7%B7%9A%E5%99%A8-21008115710627?itemId=21023008181018&vendorItemId=21090042036887&sourceType=search&rank=25&searchId=cfeef3458a574f8cab202caa687a7ce3&q=6-12%E5%9D%AA
