product_name,product_price,product_url
"pigeon 貝親 乳頭保護器 適用乳頭寬度13-16mm 2個, 1盒",$161,https://www.tw.coupang.com/products/pigeon-%E8%B2%9D%E8%A6%AA-%E4%B9%B3%E9%A0%AD%E4%BF%9D%E8%AD%B7%E5%99%A8-%E9%81%A9%E7%94%A8%E4%B9%B3%E9%A0%AD%E5%AF%AC%E5%BA%A613-16mm-2%E5%80%8B-242815132991501?itemId=242813425893401&vendorItemId=242814327701516&sourceType=search&rank=&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"Combi 康貝 Pro360 Plus 奶瓶保管箱, 優雅粉","$1,010",https://www.tw.coupang.com/products/Combi-%E5%BA%B7%E8%B2%9D-Pro360-Plus-%E5%A5%B6%E7%93%B6%E4%BF%9D%E7%AE%A1%E7%AE%B1-245027141828620?itemId=245027955507213&vendorItemId=245026227437575&sourceType=search&rank=1&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"pigeon 貝親 乳頭保護器, 1盒",$169,https://www.tw.coupang.com/products/pigeon-%E8%B2%9D%E8%A6%AA-%E4%B9%B3%E9%A0%AD%E4%BF%9D%E8%AD%B7%E5%99%A8-242814319312896?itemId=242814319312897&vendorItemId=242813413310477&sourceType=search&rank=2&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"貝妮 特級奶精, 1kg, 1包",$98,https://www.tw.coupang.com/products/%E8%B2%9D%E5%A6%AE-%E7%89%B9%E7%B4%9A%E5%A5%B6%E7%B2%BE-157320449327108?itemId=157320046690308&vendorItemId=157320046690305&sourceType=search&rank=3&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"口福不淺 寶貝彈, 原味, 80g, 2包",$163,https://www.tw.coupang.com/products/%E5%8F%A3%E7%A6%8F%E4%B8%8D%E6%B7%BA-%E5%AF%B6%E8%B2%9D%E5%BD%88-155918276706313?itemId=395804002992141&vendorItemId=395804002942984&sourceType=search&rank=4&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"一榮 和顏愛味 辣味帆立貝, 90g, 1袋",$206,https://www.tw.coupang.com/products/%E4%B8%80%E6%A6%AE-%E5%92%8C%E9%A1%8F%E6%84%9B%E5%91%B3-%E8%BE%A3%E5%91%B3%E5%B8%86%E7%AB%8B%E8%B2%9D-149378727657495?itemId=149379092545538&vendorItemId=149378727657484&sourceType=search&rank=5&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"ARBELLA 阿貝拉 貝殼麵, 500g, 3包",$81,https://www.tw.coupang.com/products/ARBELLA-%E9%98%BF%E8%B2%9D%E6%8B%89-%E8%B2%9D%E6%AE%BC%E9%BA%B5-149394804408337?itemId=385318201049099&vendorItemId=385318201032712&sourceType=search&rank=6&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"meiji 明治 樂樂Q貝 成長配方食品, 560g, 1盒",$398,https://www.tw.coupang.com/products/meiji-%E6%98%8E%E6%B2%BB-%E6%A8%82%E6%A8%82Q%E8%B2%9D-%E6%88%90%E9%95%B7%E9%85%8D%E6%96%B9%E9%A3%9F%E5%93%81-312008666759168?itemId=312008666759169&vendorItemId=312009593683968&sourceType=search&rank=7&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"meiji 明治 樂樂Q貝 嬰兒配方食品 0~1歲, 1盒",$341,https://www.tw.coupang.com/products/meiji-%E6%98%8E%E6%B2%BB-%E6%A8%82%E6%A8%82Q%E8%B2%9D-%E5%AC%B0%E5%85%92%E9%85%8D%E6%96%B9%E9%A3%9F%E5%93%81-0~1%E6%AD%B2-312007265828865?itemId=312008666759170&vendorItemId=312007261634563&sourceType=search&rank=8&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"Green Bell 綠貝 量杯儲存罐 188g 700ml, 單一顏色, 1個",$130,https://www.tw.coupang.com/products/Green-Bell-%E7%B6%A0%E8%B2%9D-%E9%87%8F%E6%9D%AF%E5%84%B2%E5%AD%98%E7%BD%90-188g-700ml-450803642859520?itemId=450803642908672&vendorItemId=450803638681600&sourceType=search&rank=9&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"一榮 和顏愛味 帆立貝, 90g, 3袋",$619,https://www.tw.coupang.com/products/%E4%B8%80%E6%A6%AE-%E5%92%8C%E9%A1%8F%E6%84%9B%E5%91%B3-%E5%B8%86%E7%AB%8B%E8%B2%9D-149378727657477?itemId=391094290333707&vendorItemId=391094290317320&sourceType=search&rank=10&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"Combi 康貝 吸乳器寬口轉接環 日規, 1個",$75,https://www.tw.coupang.com/products/Combi-%E5%BA%B7%E8%B2%9D-%E5%90%B8%E4%B9%B3%E5%99%A8%E5%AF%AC%E5%8F%A3%E8%BD%89%E6%8E%A5%E7%92%B0-%E6%97%A5%E8%A6%8F-283840819986444?itemId=278012561965059&vendorItemId=278013522444289&sourceType=search&rank=11&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"unikid 佑爾康貝親 貝親配方食品 1號 0-12個月, 850g, 1罐",$609,https://www.tw.coupang.com/products/unikid-%E4%BD%91%E7%88%BE%E5%BA%B7%E8%B2%9D%E8%A6%AA-%E8%B2%9D%E8%A6%AA%E9%85%8D%E6%96%B9%E9%A3%9F%E5%93%81-1%E8%99%9F-0-12%E5%80%8B%E6%9C%88-265360808853506?itemId=265360808853507&vendorItemId=265360808853505&sourceType=search&rank=12&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"unikid 佑爾康金貝親 OPO Premium 幼兒成長配方 3號, 1-3歲, 850g, 1罐",$482,https://www.tw.coupang.com/products/unikid-%E4%BD%91%E7%88%BE%E5%BA%B7%E9%87%91%E8%B2%9D%E8%A6%AA-OPO-Premium-%E5%B9%BC%E5%85%92%E6%88%90%E9%95%B7%E9%85%8D%E6%96%B9-3%E8%99%9F-205189772427267?itemId=238173842014209&vendorItemId=240996042358784&sourceType=search&rank=13&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"Combi 康貝 優質輔助便座 #20543 18個月以上, 1個",$514,https://www.tw.coupang.com/products/Combi-%E5%BA%B7%E8%B2%9D-%E5%84%AA%E8%B3%AA%E8%BC%94%E5%8A%A9%E4%BE%BF%E5%BA%A7-%2320543-18%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A-232308959313922?itemId=232308208549891&vendorItemId=239612219834372&sourceType=search&rank=14&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"GALLO 公雞牌 貝殼麵 Mariscos, 250g, 2包",$105,https://www.tw.coupang.com/products/GALLO-%E5%85%AC%E9%9B%9E%E7%89%8C-%E8%B2%9D%E6%AE%BC%E9%BA%B5-Mariscos-159472836116480?itemId=391094135144457&vendorItemId=391094135095301&sourceType=search&rank=15&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
"unikid 佑爾康金貝親 金貝親配方食品 1號 0-12個月, 850g, 1罐",$920,https://www.tw.coupang.com/products/unikid-%E4%BD%91%E7%88%BE%E5%BA%B7%E9%87%91%E8%B2%9D%E8%A6%AA-%E9%87%91%E8%B2%9D%E8%A6%AA%E9%85%8D%E6%96%B9%E9%A3%9F%E5%93%81-1%E8%99%9F-0-12%E5%80%8B%E6%9C%88-264978380570624?itemId=264978380570625&vendorItemId=264979404013568&sourceType=search&rank=16&searchId=03270ec21f86418295e703cf6c611f02&q=65%E5%88%86%E8%B2%9D
