product_name,product_price,product_url
"CLEAN PACK 日式6in1分格密封保鮮盒, 外盒3200ml+內盒380ml, 1個",$264,https://www.tw.coupang.com/products/CLEAN-PACK-%E6%97%A5%E5%BC%8F6in1%E5%88%86%E6%A0%BC%E5%AF%86%E5%B0%81%E4%BF%9D%E9%AE%AE%E7%9B%92-167078904414209?itemId=167079374209041&vendorItemId=167079822983182&sourceType=search&rank=&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"YOrSUn 悠森兒 Poli 波力 敏弱呵護3in1洗髮沐浴泡泡露 寶寶乳香, 500ml, 6瓶",$894,https://www.tw.coupang.com/products/YOrSUn-%E6%82%A0%E6%A3%AE%E5%85%92-Poli-%E6%B3%A2%E5%8A%9B-%E6%95%8F%E5%BC%B1%E5%91%B5%E8%AD%B73in1%E6%B4%97%E9%AB%AE%E6%B2%90%E6%B5%B4%E6%B3%A1%E6%B3%A1%E9%9C%B2-%E5%AF%B6%E5%AF%B6%E4%B9%B3%E9%A6%99-313832979267597?itemId=417564895150089&vendorItemId=417564895199241&sourceType=search&rank=1&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
Simba 小獅王辛巴 極柔感紗布手帕 6入,$111,https://www.tw.coupang.com/products/Simba-%E5%B0%8F%E7%8D%85%E7%8E%8B%E8%BE%9B%E5%B7%B4-%E6%A5%B5%E6%9F%94%E6%84%9F%E7%B4%97%E5%B8%83%E6%89%8B%E5%B8%95-6%E5%85%A5-240707893706752?itemId=240707893706753&vendorItemId=243897192103941&sourceType=search&rank=2&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"VIOLA 綜合穀粒殼片 6 Grain Muesli, 1kg, 1包",$174,https://www.tw.coupang.com/products/VIOLA-%E7%B6%9C%E5%90%88%E7%A9%80%E7%B2%92%E6%AE%BC%E7%89%87-6-Grain-Muesli-200011275026459?itemId=159447494131712&vendorItemId=159447489937421&sourceType=search&rank=3&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"YOrSUn 悠森兒 Poli 波力 敏弱呵護3in1洗髮沐浴泡泡露 熱帶果香, 500ml, 6瓶",$894,https://www.tw.coupang.com/products/YOrSUn-%E6%82%A0%E6%A3%AE%E5%85%92-Poli-%E6%B3%A2%E5%8A%9B-%E6%95%8F%E5%BC%B1%E5%91%B5%E8%AD%B73in1%E6%B4%97%E9%AB%AE%E6%B2%90%E6%B5%B4%E6%B3%A1%E6%B3%A1%E9%9C%B2-%E7%86%B1%E5%B8%B6%E6%9E%9C%E9%A6%99-313832035565574?itemId=417564895166470&vendorItemId=417564895199239&sourceType=search&rank=4&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"Edison Banana香蕉雙握把加大咬咬樂 6個月以上, 綠黃, 1個",$181,https://www.tw.coupang.com/products/Edison-Banana%E9%A6%99%E8%95%89%E9%9B%99%E6%8F%A1%E6%8A%8A%E5%8A%A0%E5%A4%A7%E5%92%AC%E5%92%AC%E6%A8%82-6%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A-270357315436549?itemId=270357315436545&vendorItemId=270358254944256&sourceType=search&rank=5&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"Super Love 6in1可替換式花漾彩妝刷組, 2組",$96,https://www.tw.coupang.com/products/Super-Love-6in1%E5%8F%AF%E6%9B%BF%E6%8F%9B%E5%BC%8F%E8%8A%B1%E6%BC%BE%E5%BD%A9%E5%A6%9D%E5%88%B7%E7%B5%84-277692284911618?itemId=385681687822342&vendorItemId=385681687805954&sourceType=search&rank=6&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"felo 電鍍六角板手組 17*9*1.5cm 6支入, 1組",$218,https://www.tw.coupang.com/products/felo-%E9%9B%BB%E9%8D%8D%E5%85%AD%E8%A7%92%E6%9D%BF%E6%89%8B%E7%B5%84-17*9*1.5cm-6%E6%94%AF%E5%85%A5-151916197691395?itemId=151916197691396&vendorItemId=151916193497088&sourceType=search&rank=7&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"VIOLA 綜合穀粒殼片 6 Grain Muesli, 1kg, 2包",$331,https://www.tw.coupang.com/products/VIOLA-%E7%B6%9C%E5%90%88%E7%A9%80%E7%B2%92%E6%AE%BC%E7%89%87-6-Grain-Muesli-200011275026459?itemId=200011275026460&vendorItemId=200011270832186&sourceType=search&rank=8&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"郭老師 寶寶粥 6個月以上, 五色蔬菜雞, 300g, 1盒",$112,https://www.tw.coupang.com/products/%E9%83%AD%E8%80%81%E5%B8%AB-%E5%AF%B6%E5%AF%B6%E7%B2%A5-6%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A-199051328831514?itemId=149351473070086&vendorItemId=239977917005824&sourceType=search&rank=9&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
"CLIO 十色眼影盤 6g, 14 Atelier In Hannam, 1個",$349,https://www.tw.coupang.com/products/CLIO-%E5%8D%81%E8%89%B2%E7%9C%BC%E5%BD%B1%E7%9B%A4-6g-167152548036615?itemId=167152556425219&vendorItemId=167152086630400&sourceType=search&rank=10&searchId=65a586a758f4466d8a3e0a23f8368dfd&q=6in1
