product_name,product_price,product_url
"Vitantonio 三明治機橫紋烤盤 PVHS-10B-HT 14.5 x 12.2 x 2.4cm, 14.5cm, 1個",$514,https://www.tw.coupang.com/products/Vitantonio-%E4%B8%89%E6%98%8E%E6%B2%BB%E6%A9%9F%E6%A9%AB%E7%B4%8B%E7%83%A4%E7%9B%A4-PVHS-10B-HT-14.5-x-12.2-x-2.4cm-450877991092224?itemId=450877991092225&vendorItemId=450877986897924&sourceType=search&rank=&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"comet 雙面鬆餅烤盤, 16*35*3cm, 1入",$424,https://www.tw.coupang.com/products/comet-%E9%9B%99%E9%9D%A2%E9%AC%86%E9%A4%85%E7%83%A4%E7%9B%A4-161776935092226?itemId=161777358700546&vendorItemId=161776935092224&sourceType=search&rank=1&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"Kitchen-Art 圓形多功能烤盤, 38cm, 1個",$573,https://www.tw.coupang.com/products/Kitchen-Art-%E5%9C%93%E5%BD%A2%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%83%A4%E7%9B%A4-21001321960643?itemId=21002343284750&vendorItemId=21004577958341&sourceType=search&rank=2&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"NORDIC PAPER 烘焙烤紙 23*4.5cm 100入, 1組",$200,https://www.tw.coupang.com/products/NORDIC-PAPER-%E7%83%98%E7%84%99%E7%83%A4%E7%B4%99-23*4.5cm-100%E5%85%A5-21001593940155?itemId=21002723217421&vendorItemId=21070713423067&sourceType=search&rank=3&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"Lacuzin 六段烤色厚片防燙烤麵包機 珍珠白 1.9kg, LCZ330WT",$730,https://www.tw.coupang.com/products/Lacuzin-%E5%85%AD%E6%AE%B5%E7%83%A4%E8%89%B2%E5%8E%9A%E7%89%87%E9%98%B2%E7%87%99%E7%83%A4%E9%BA%B5%E5%8C%85%E6%A9%9F-%E7%8F%8D%E7%8F%A0%E7%99%BD-1.9kg-450865538220035?itemId=450865538252802&vendorItemId=450865538236417&sourceType=search&rank=4&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"易家烘焙12孔圓形達克瓦烤盤 6cm, 1個",$242,https://www.tw.coupang.com/products/%E6%98%93%E5%AE%B6%E7%83%98%E7%84%9912%E5%AD%94%E5%9C%93%E5%BD%A2%E9%81%94%E5%85%8B%E7%93%A6%E7%83%A4%E7%9B%A4-6cm-21007180419983?itemId=21018108675373&vendorItemId=21085260428213&sourceType=search&rank=5&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"Bestom Wiswell 烤箱麵包盤 43L 僅烤箱, 1個",$249,https://www.tw.coupang.com/products/Bestom-Wiswell-%E7%83%A4%E7%AE%B1%E9%BA%B5%E5%8C%85%E7%9B%A4-43L-%E5%83%85%E7%83%A4%E7%AE%B1-21005374791322?itemId=21007965138470&vendorItemId=21075254164888&sourceType=search&rank=6&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"Goute 烘焙用不沾散熱烤網, 1入",$130,https://www.tw.coupang.com/products/Goute-%E7%83%98%E7%84%99%E7%94%A8%E4%B8%8D%E6%B2%BE%E6%95%A3%E7%86%B1%E7%83%A4%E7%B6%B2-21000026809300?itemId=21000103721051&vendorItemId=21003197571751&sourceType=search&rank=7&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"Kitchen-Art 烤盤, 32 x 29 x 3 厘米, 1個",$696,https://www.tw.coupang.com/products/Kitchen-Art-%E7%83%A4%E7%9B%A4-21000113904922?itemId=21000341960164&vendorItemId=21003205158082&sourceType=search&rank=8&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
"E.V.A 烘焙專用麵包烤盤, 1個",$138,https://www.tw.coupang.com/products/E.V.A-%E7%83%98%E7%84%99%E5%B0%88%E7%94%A8%E9%BA%B5%E5%8C%85%E7%83%A4%E7%9B%A4-21000154699617?itemId=21000446010572&vendorItemId=21004104497451&sourceType=search&rank=9&searchId=891ad160c2cb4fdfa079dc25d9a7cb8c&q=6%E6%AE%B5%E7%83%98%E7%83%A4
