product_name,product_price,product_url
"Koken 8400M 6P SQ 套筒手用短六角 85mm, 1個","$9,100",https://www.tw.coupang.com/products/Koken-8400M-6P-SQ-%E5%A5%97%E7%AD%92%E6%89%8B%E7%94%A8%E7%9F%AD%E5%85%AD%E8%A7%92-85mm-21007268404843?itemId=21018530965391&vendorItemId=21085669360385&sourceType=search&rank=&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 95mm Hand 短六角, 1個","$7,491",https://www.tw.coupang.com/products/Koken-Socket-8400M-95mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279133729?itemId=21018580806380&vendorItemId=21085717454184&sourceType=search&rank=1&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken 8400M 6P SQ 套筒手短六角 80mm, 1個","$4,531",https://www.tw.coupang.com/products/Koken-8400M-6P-SQ-%E5%A5%97%E7%AD%92%E6%89%8B%E7%9F%AD%E5%85%AD%E8%A7%92-80mm-21007268404656?itemId=21018530964650&vendorItemId=21085669359798&sourceType=search&rank=2&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"短六角 70mm 用於 Koken 8400M 6P SQ 套筒手, 1個","$5,585",https://www.tw.coupang.com/products/%E7%9F%AD%E5%85%AD%E8%A7%92-70mm-%E7%94%A8%E6%96%BC-Koken-8400M-6P-SQ-%E5%A5%97%E7%AD%92%E6%89%8B-21007268404889?itemId=21018530965550&vendorItemId=21085669360548&sourceType=search&rank=3&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"短六角 100mm 8400M (6P) 適用於 Koken 1 方形套筒手, 1個","$7,853",https://www.tw.coupang.com/products/%E7%9F%AD%E5%85%AD%E8%A7%92-100mm-8400M-(6P)-%E9%81%A9%E7%94%A8%E6%96%BC-Koken-1-%E6%96%B9%E5%BD%A2%E5%A5%97%E7%AD%92%E6%89%8B-21007279513114?itemId=21018582326011&vendorItemId=21085718915328&sourceType=search&rank=4&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 54mm Hand 短六角, 1個","$1,818",https://www.tw.coupang.com/products/Koken-Socket-8400M-54mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279134060?itemId=21018580807928&vendorItemId=21085717455646&sourceType=search&rank=5&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken 8400M 6P SQ 套筒手用短六角 83mm, 1個","$4,650",https://www.tw.coupang.com/products/Koken-8400M-6P-SQ-%E5%A5%97%E7%AD%92%E6%89%8B%E7%94%A8%E7%9F%AD%E5%85%AD%E8%A7%92-83mm-21007268404643?itemId=21018530964609&vendorItemId=21085669359696&sourceType=search&rank=6&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken 套筒 8400M 短六角，用於 75mm 手, 1個","$3,805",https://www.tw.coupang.com/products/Koken-%E5%A5%97%E7%AD%92-8400M-%E7%9F%AD%E5%85%AD%E8%A7%92%EF%BC%8C%E7%94%A8%E6%96%BC-75mm-%E6%89%8B-21007279133902?itemId=21018580807343&vendorItemId=21085717454915&sourceType=search&rank=7&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Coken 套筒 8400M 短六角 63mm 手, 1個","$2,377",https://www.tw.coupang.com/products/Coken-%E5%A5%97%E7%AD%92-8400M-%E7%9F%AD%E5%85%AD%E8%A7%92-63mm-%E6%89%8B-21007279133547?itemId=21018580805618&vendorItemId=21085717453493&sourceType=search&rank=8&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 41mm Hand 短六角, 1個","$1,043",https://www.tw.coupang.com/products/Koken-Socket-8400M-41mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279134027?itemId=21018580807782&vendorItemId=21085717455435&sourceType=search&rank=9&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Coken 套筒 8400M 短六角 90mm 手, 1個","$5,741",https://www.tw.coupang.com/products/Coken-%E5%A5%97%E7%AD%92-8400M-%E7%9F%AD%E5%85%AD%E8%A7%92-90mm-%E6%89%8B-21007279133898?itemId=21018580807318&vendorItemId=21085717454886&sourceType=search&rank=10&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken 8400M 6P SQ 套筒手用短六角 65mm, 1個","$4,376",https://www.tw.coupang.com/products/Koken-8400M-6P-SQ-%E5%A5%97%E7%AD%92%E6%89%8B%E7%94%A8%E7%9F%AD%E5%85%AD%E8%A7%92-65mm-21007268404744?itemId=21018530965026&vendorItemId=21085669360018&sourceType=search&rank=11&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 38mm Hand 短六角, 1個","$1,022",https://www.tw.coupang.com/products/Koken-Socket-8400M-38mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279133635?itemId=21018580805929&vendorItemId=21085717453826&sourceType=search&rank=12&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 68mm Hand 短六角, 1個","$2,644",https://www.tw.coupang.com/products/Koken-Socket-8400M-68mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279134084?itemId=21018580807985&vendorItemId=21085717455713&sourceType=search&rank=13&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 58mm Hand 短六角, 1個","$1,766",https://www.tw.coupang.com/products/Koken-Socket-8400M-58mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279133969?itemId=21018580807623&vendorItemId=21085717455170&sourceType=search&rank=14&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 32mm Hand 短六角, 1個","$1,350",https://www.tw.coupang.com/products/Koken-Socket-8400M-32mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279133855?itemId=21018580806993&vendorItemId=21085717454751&sourceType=search&rank=15&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 27mm Hand 短六角, 1個","$1,356",https://www.tw.coupang.com/products/Koken-Socket-8400M-27mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279133689?itemId=21018580806215&vendorItemId=21085717454008&sourceType=search&rank=16&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 33mm Hand 短六角, 1個","$1,350",https://www.tw.coupang.com/products/Koken-Socket-8400M-33mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279133965?itemId=21018580807619&vendorItemId=21085717455160&sourceType=search&rank=17&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"短六角 71mm 用於 Koken 8400M 6P SQ 套筒手, 1個","$3,176",https://www.tw.coupang.com/products/%E7%9F%AD%E5%85%AD%E8%A7%92-71mm-%E7%94%A8%E6%96%BC-Koken-8400M-6P-SQ-%E5%A5%97%E7%AD%92%E6%89%8B-21007268404698?itemId=21018530964807&vendorItemId=21085669359889&sourceType=search&rank=18&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"Koken Socket 8400M 67mm Hand 短六角, 1個","$2,597",https://www.tw.coupang.com/products/Koken-Socket-8400M-67mm-Hand-%E7%9F%AD%E5%85%AD%E8%A7%92-21007279133582?itemId=21018580805737&vendorItemId=21085717453632&sourceType=search&rank=19&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
"短六角 60mm 用於 Koken 8400M 6P SQ 套筒手, 1個","$3,261",https://www.tw.coupang.com/products/%E7%9F%AD%E5%85%AD%E8%A7%92-60mm-%E7%94%A8%E6%96%BC-Koken-8400M-6P-SQ-%E5%A5%97%E7%AD%92%E6%89%8B-21007268405032?itemId=21018530966015&vendorItemId=21085669360994&sourceType=search&rank=20&searchId=fb63ef8984334dd7b9a17cc37badd280&q=8400m
