product_name,product_price,product_url
"DR.FORHAIR 海鹽頭皮去角質凝露, 300g, 1瓶",$364,https://www.tw.coupang.com/products/DR.FORHAIR-%E6%B5%B7%E9%B9%BD%E9%A0%AD%E7%9A%AE%E5%8E%BB%E8%A7%92%E8%B3%AA%E5%87%9D%E9%9C%B2-21007851581633?itemId=21021402344581&vendorItemId=21071465207873&sourceType=search&rank=&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"CLEAR 淨 冰爽薄荷止癢型 去屑洗髮乳, 750g, 1瓶",$139,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E5%86%B0%E7%88%BD%E8%96%84%E8%8D%B7%E6%AD%A2%E7%99%A2%E5%9E%8B-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-257318683901965?itemId=257316830003214&vendorItemId=257318683901956&sourceType=search&rank=1&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"CLEAR 淨 去屑洗髮乳 冰恬薄荷止癢型, 750g, 1瓶",$142,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-%E5%86%B0%E6%81%AC%E8%96%84%E8%8D%B7%E6%AD%A2%E7%99%A2%E5%9E%8B-171873123926017?itemId=171872155025409&vendorItemId=171872155025408&sourceType=search&rank=2&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"a'rin 氧潤 酷樂頭皮止癢液, 120ml, 1瓶",$293,https://www.tw.coupang.com/products/a'rin-%E6%B0%A7%E6%BD%A4-%E9%85%B7%E6%A8%82%E9%A0%AD%E7%9A%AE%E6%AD%A2%E7%99%A2%E6%B6%B2-163796899315715?itemId=163796446298117&vendorItemId=163796899315712&sourceType=search&rank=3&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"MEKELONG 金美克能 抗屑洗髮乳 止癢配方, 750ml, 1瓶",$79,https://www.tw.coupang.com/products/MEKELONG-%E9%87%91%E7%BE%8E%E5%85%8B%E8%83%BD-%E6%8A%97%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-%E6%AD%A2%E7%99%A2%E9%85%8D%E6%96%B9-158388805681170?itemId=158388382023698&vendorItemId=158389212512257&sourceType=search&rank=4&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"MEN's Biore ONE 髮顏體全效潔淨露 爽勁草本, 480ml, 1瓶",$122,https://www.tw.coupang.com/products/MEN's-Biore-ONE-%E9%AB%AE%E9%A1%8F%E9%AB%94%E5%85%A8%E6%95%88%E6%BD%94%E6%B7%A8%E9%9C%B2-%E7%88%BD%E5%8B%81%E8%8D%89%E6%9C%AC-261325972258824?itemId=261327868100618&vendorItemId=261326974730241&sourceType=search&rank=5&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"J'SOOP 鎮靜蜂蠟頭皮止癢去屑清涼護髮水, 1個, 200ml",$384,https://www.tw.coupang.com/products/J'SOOP-%E9%8E%AE%E9%9D%9C%E8%9C%82%E8%A0%9F%E9%A0%AD%E7%9A%AE%E6%AD%A2%E7%99%A2%E5%8E%BB%E5%B1%91%E6%B8%85%E6%B6%BC%E8%AD%B7%E9%AB%AE%E6%B0%B4-21008176275148?itemId=21023365543051&vendorItemId=21090395868642&sourceType=search&rank=6&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"Ryo Jayangyunmo 脫髮症狀護理洗髮水, 400ml, 1瓶",$204,https://www.tw.coupang.com/products/Ryo-Jayangyunmo-%E8%84%AB%E9%AB%AE%E7%97%87%E7%8B%80%E8%AD%B7%E7%90%86%E6%B4%97%E9%AB%AE%E6%B0%B4-21008207960544?itemId=21018999769186&vendorItemId=21076498469805&sourceType=search&rank=7&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"claynal 克萊諾 胺基酸白泥頭皮SPA護理護髮素 生薑柚子, 450ml, 1瓶",$495,https://www.tw.coupang.com/products/claynal-%E5%85%8B%E8%90%8A%E8%AB%BE-%E8%83%BA%E5%9F%BA%E9%85%B8%E7%99%BD%E6%B3%A5%E9%A0%AD%E7%9A%AESPA%E8%AD%B7%E7%90%86%E8%AD%B7%E9%AB%AE%E7%B4%A0-%E7%94%9F%E8%96%91%E6%9F%9A%E5%AD%90-225030663274500?itemId=225029149114373&vendorItemId=225029946064897&sourceType=search&rank=8&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
"Biomed Professional Volume 高級發霧, 250ml, 3個",$456,https://www.tw.coupang.com/products/Biomed-Professional-Volume-%E9%AB%98%E7%B4%9A%E7%99%BC%E9%9C%A7-21007759756800?itemId=21018817944294&vendorItemId=21085948352255&sourceType=search&rank=9&searchId=3c3461f76e3c459ba386d49ffc7a867d&q=antiqu
