product_name,product_price,product_url
"ALESSI 黑比諾漏斗 ASG12, 1個, 混色, 單品",$807,https://www.tw.coupang.com/products/ALESSI-%E9%BB%91%E6%AF%94%E8%AB%BE%E6%BC%8F%E6%96%97-ASG12-21007942869056?itemId=21021883658075&vendorItemId=21089607574781&sourceType=search&rank=&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"ASG 安地斯雪蔘 精勇黑金剛瑪卡膠囊, 30顆, 1盒",$374,https://www.tw.coupang.com/products/ASG-%E5%AE%89%E5%9C%B0%E6%96%AF%E9%9B%AA%E8%94%98-%E7%B2%BE%E5%8B%87%E9%BB%91%E9%87%91%E5%89%9B%E7%91%AA%E5%8D%A1%E8%86%A0%E5%9B%8A-169596774498305?itemId=169597235855363&vendorItemId=169596287926273&sourceType=search&rank=1&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"ASG 安地斯雪蔘 精勇黑金剛瑪卡膠囊, 30顆, 3盒","$1,305",https://www.tw.coupang.com/products/ASG-%E5%AE%89%E5%9C%B0%E6%96%AF%E9%9B%AA%E8%94%98-%E7%B2%BE%E5%8B%87%E9%BB%91%E9%87%91%E5%89%9B%E7%91%AA%E5%8D%A1%E8%86%A0%E5%9B%8A-169596774498305?itemId=393290415325188&vendorItemId=393290415308800&sourceType=search&rank=2&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"ASG 安地斯雪蔘 精勇黑金剛瑪卡膠囊, 30顆, 2盒",$770,https://www.tw.coupang.com/products/ASG-%E5%AE%89%E5%9C%B0%E6%96%AF%E9%9B%AA%E8%94%98-%E7%B2%BE%E5%8B%87%E9%BB%91%E9%87%91%E5%89%9B%E7%91%AA%E5%8D%A1%E8%86%A0%E5%9B%8A-169596774498305?itemId=393290415308803&vendorItemId=393290415325184&sourceType=search&rank=3&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"ASG 安地斯雪蔘 精勇黑金剛瑪卡膠囊, 30顆, 4盒","$1,840",https://www.tw.coupang.com/products/ASG-%E5%AE%89%E5%9C%B0%E6%96%AF%E9%9B%AA%E8%94%98-%E7%B2%BE%E5%8B%87%E9%BB%91%E9%87%91%E5%89%9B%E7%91%AA%E5%8D%A1%E8%86%A0%E5%9B%8A-169596774498305?itemId=393290415325194&vendorItemId=393290415308801&sourceType=search&rank=4&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"ASG 安地斯雪蔘 秘魯印加果油液態膠囊 63g, 90顆, 1罐",$392,https://www.tw.coupang.com/products/ASG-%E5%AE%89%E5%9C%B0%E6%96%AF%E9%9B%AA%E8%94%98-%E7%A7%98%E9%AD%AF%E5%8D%B0%E5%8A%A0%E6%9E%9C%E6%B2%B9%E6%B6%B2%E6%85%8B%E8%86%A0%E5%9B%8A-63g-169596287926274?itemId=169596774498306&vendorItemId=169597235855361&sourceType=search&rank=5&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"ASG 安地斯雪蔘 秘魯印加果油液態膠囊 63g, 90顆, 2罐",$820,https://www.tw.coupang.com/products/ASG-%E5%AE%89%E5%9C%B0%E6%96%AF%E9%9B%AA%E8%94%98-%E7%A7%98%E9%AD%AF%E5%8D%B0%E5%8A%A0%E6%9E%9C%E6%B2%B9%E6%B6%B2%E6%85%8B%E8%86%A0%E5%9B%8A-63g-169596287926274?itemId=393290666967040&vendorItemId=393290662772737&sourceType=search&rank=6&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"Aspen pet 半自動寵物飲水器 2.8L, 1個, 灰色的",$494,https://www.tw.coupang.com/products/Aspen-pet-%E5%8D%8A%E8%87%AA%E5%8B%95%E5%AF%B5%E7%89%A9%E9%A3%B2%E6%B0%B4%E5%99%A8-2.8L-21000303743123?itemId=21000955551535&vendorItemId=21005352843710&sourceType=search&rank=7&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"Aspen pet 寵物半自動飲水器 5.68L, 1個, 米色+透明",$732,https://www.tw.coupang.com/products/Aspen-pet-%E5%AF%B5%E7%89%A9%E5%8D%8A%E8%87%AA%E5%8B%95%E9%A3%B2%E6%B0%B4%E5%99%A8-5.68L-21000107538908?itemId=21000325595625&vendorItemId=21003797053484&sourceType=search&rank=8&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"Aspen pet 半自動寵物餵食器, 灰色的, 2.7公斤",$775,https://www.tw.coupang.com/products/Aspen-pet-%E5%8D%8A%E8%87%AA%E5%8B%95%E5%AF%B5%E7%89%A9%E9%A4%B5%E9%A3%9F%E5%99%A8-21000303743114?itemId=21000955551513&vendorItemId=21005352843670&sourceType=search&rank=9&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
"Aspen pet 寵物半自動餵食器, 米色+透明, 1.4公斤",$485,https://www.tw.coupang.com/products/Aspen-pet-%E5%AF%B5%E7%89%A9%E5%8D%8A%E8%87%AA%E5%8B%95%E9%A4%B5%E9%A3%9F%E5%99%A8-21000107538909?itemId=21000325595627&vendorItemId=21003797053541&sourceType=search&rank=10&searchId=904214fa4b9f499c85c8a0529f96230f&q=asg
