product_name,product_price,product_url
"SIERO Jealousy Archive Lip Plumper 潤色護唇膏, Jealousy Red, 3.3g, 1支",$238,https://www.tw.coupang.com/products/SIERO-Jealousy-Archive-Lip-Plumper-%E6%BD%A4%E8%89%B2%E8%AD%B7%E5%94%87%E8%86%8F-253365510455306?itemId=253365510455314&vendorItemId=253365510455302&sourceType=search&rank=&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"NIVEA 妮維雅 果漾潤彩蜜唇膏, 西瓜, 4.8g, 1支",$90,https://www.tw.coupang.com/products/NIVEA-%E5%A6%AE%E7%B6%AD%E9%9B%85-%E6%9E%9C%E6%BC%BE%E6%BD%A4%E5%BD%A9%E8%9C%9C%E5%94%87%E8%86%8F-257990221348872?itemId=257989239848965&vendorItemId=257989239848960&sourceType=search&rank=1&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"Rich Moist 純淨修護潤唇膏, 天竺薰衣草, 5.5g, 1支",$72,https://www.tw.coupang.com/products/Rich-Moist-%E7%B4%94%E6%B7%A8%E4%BF%AE%E8%AD%B7%E6%BD%A4%E5%94%87%E8%86%8F-214547642155035?itemId=163852989710338&vendorItemId=163853874724867&sourceType=search&rank=2&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"ETUDE Ginger Sugar保濕潤唇膏, 單色, 3.7g, 1支",$145,https://www.tw.coupang.com/products/ETUDE-Ginger-Sugar%E4%BF%9D%E6%BF%95%E6%BD%A4%E5%94%87%E8%86%8F-21006659710434?itemId=21015283309962&vendorItemId=21082503795212&sourceType=search&rank=3&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"Natinda Art In Black 唇膏, 01 Lovely Girl, 3.5克, 1支",$239,https://www.tw.coupang.com/products/Natinda-Art-In-Black-%E5%94%87%E8%86%8F-21000241932228?itemId=21000768735240&vendorItemId=21004940825506&sourceType=search&rank=4&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"Siero Jealousy Archive Lip Plumper 潤色護唇膏, JEALOUSY RED, 3.3g, 1支",$310,https://www.tw.coupang.com/products/Siero-Jealousy-Archive-Lip-Plumper-%E6%BD%A4%E8%89%B2%E8%AD%B7%E5%94%87%E8%86%8F-21001826415936?itemId=21003107474404&vendorItemId=21071095231442&sourceType=search&rank=5&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"MERZY Glossy Melting有色潤唇膏, GL3 About Fig, 4g, 1支",$239,https://www.tw.coupang.com/products/MERZY-Glossy-Melting%E6%9C%89%E8%89%B2%E6%BD%A4%E5%94%87%E8%86%8F-21007186596611?itemId=21018135712462&vendorItemId=21085286306063&sourceType=search&rank=6&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"BBIA 保濕粉嫩潤唇膏, 10g, 1罐",$192,https://www.tw.coupang.com/products/BBIA-%E4%BF%9D%E6%BF%95%E7%B2%89%E5%AB%A9%E6%BD%A4%E5%94%87%E8%86%8F-21007295296356?itemId=21018655097821&vendorItemId=21075146095307&sourceType=search&rank=7&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"ILLIYOON 一理潤 神經酰胺無香護唇膏, 無色, 3.2g, 1支",$188,https://www.tw.coupang.com/products/ILLIYOON-%E4%B8%80%E7%90%86%E6%BD%A4-%E7%A5%9E%E7%B6%93%E9%85%B0%E8%83%BA%E7%84%A1%E9%A6%99%E8%AD%B7%E5%94%87%E8%86%8F-21005239736670?itemId=21007397504038&vendorItemId=21074688654966&sourceType=search&rank=8&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"freshian 感性潤唇膏, 02 情意, 1個, 3.3克",$609,https://www.tw.coupang.com/products/freshian-%E6%84%9F%E6%80%A7%E6%BD%A4%E5%94%87%E8%86%8F-21007201284753?itemId=21018203581495&vendorItemId=21088374346212&sourceType=search&rank=9&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
"Code Glokolor 固定水潤唇膏色調, 03號Crush Carol, 4.5g, 1支",$239,https://www.tw.coupang.com/products/Code-Glokolor-%E5%9B%BA%E5%AE%9A%E6%B0%B4%E6%BD%A4%E5%94%87%E8%86%8F%E8%89%B2%E8%AA%BF-21008161413318?itemId=21023269681044&vendorItemId=21090389662975&sourceType=search&rank=10&searchId=fc08c05fc2f747ebbc76f49b6cdf7d1f&q=at%20hooks
