product_name,product_price,product_url
"PUKU 藍色企鵝 Sunny Bike遮陽三輪車, 水色, 1台","$1,718",https://www.tw.coupang.com/products/PUKU-%E8%97%8D%E8%89%B2%E4%BC%81%E9%B5%9D-Sunny-Bike%E9%81%AE%E9%99%BD%E4%B8%89%E8%BC%AA%E8%BB%8A-350064119595010?itemId=350064119595011&vendorItemId=350064119578624&sourceType=search&rank=&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
Doctor Bike 溫控騎乘 USB 加熱背心,$626,https://www.tw.coupang.com/products/Doctor-Bike-%E6%BA%AB%E6%8E%A7%E9%A8%8E%E4%B9%98-USB-%E5%8A%A0%E7%86%B1%E8%83%8C%E5%BF%83-21007614969495?itemId=21020176312927&vendorItemId=21087268203702&sourceType=search&rank=1&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
"Unknown Bike Oreo 腳踏帶 2p, 黑色的, 1組",$387,https://www.tw.coupang.com/products/Unknown-Bike-Oreo-%E8%85%B3%E8%B8%8F%E5%B8%B6-2p-21005844725357?itemId=21010153692600&vendorItemId=21077436375436&sourceType=search&rank=2&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
"BIKE HAND 自行車手工具組 YC-737, 1套","$1,624",https://www.tw.coupang.com/products/BIKE-HAND-%E8%87%AA%E8%A1%8C%E8%BB%8A%E6%89%8B%E5%B7%A5%E5%85%B7%E7%B5%84-YC-737-21005219942719?itemId=21007323255135&vendorItemId=21074614506914&sourceType=search&rank=3&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
"Urban Car 摩托車 Touch Bike Glove, 黑色",$264,https://www.tw.coupang.com/products/Urban-Car-%E6%91%A9%E6%89%98%E8%BB%8A-Touch-Bike-Glove-21005683425542?itemId=21009392507308&vendorItemId=21076677538727&sourceType=search&rank=4&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
"9FX 夏季耳掛式涼感圍脖, 黑色",$358,https://www.tw.coupang.com/products/9FX-%E5%A4%8F%E5%AD%A3%E8%80%B3%E6%8E%9B%E5%BC%8F%E6%B6%BC%E6%84%9F%E5%9C%8D%E8%84%96-21005391757381?itemId=21008043542608&vendorItemId=21075332152145&sourceType=search&rank=5&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
Aden Bike 女款 Better Cycling 騎乘服,"$1,515",https://www.tw.coupang.com/products/Aden-Bike-%E5%A5%B3%E6%AC%BE-Better-Cycling-%E9%A8%8E%E4%B9%98%E6%9C%8D-21007467323386?itemId=21019477266798&vendorItemId=21086837144847&sourceType=search&rank=6&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
"Hobi BIKE HAND 三角扳手, 1個",$90,https://www.tw.coupang.com/products/Hobi-BIKE-HAND-%E4%B8%89%E8%A7%92%E6%89%B3%E6%89%8B-21006973663587?itemId=21017016158178&vendorItemId=21071425034211&sourceType=search&rank=7&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
"Doctor Bike 耐用 4 級數位鑰匙自行車鎖 110 厘米, 黑色, 1個",$108,https://www.tw.coupang.com/products/Doctor-Bike-%E8%80%90%E7%94%A8-4-%E7%B4%9A%E6%95%B8%E4%BD%8D%E9%91%B0%E5%8C%99%E8%87%AA%E8%A1%8C%E8%BB%8A%E9%8E%96-110-%E5%8E%98%E7%B1%B3-21007675417183?itemId=21020486711494&vendorItemId=21087565424753&sourceType=search&rank=8&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
"Hobi bike 套筒扳手 8/9/10 毫米, 1個",$138,https://www.tw.coupang.com/products/Hobi-bike-%E5%A5%97%E7%AD%92%E6%89%B3%E6%89%8B-8%2F9%2F10-%E6%AF%AB%E7%B1%B3-21005155690032?itemId=21007092199848&vendorItemId=21074384188439&sourceType=search&rank=9&searchId=f9ddf497e3af4df5b84f78d9db10480c&q=bike
