product_name,product_price,product_url
"1/72 美國海軍 F-8E VF-162“獵人”, AC12521, 1盒",$324,https://www.tw.coupang.com/products/1%2F72-%E7%BE%8E%E5%9C%8B%E6%B5%B7%E8%BB%8D-F-8E-VF-162%E2%80%9C%E7%8D%B5%E4%BA%BA%E2%80%9D-21000001340282?itemId=21000005796488&vendorItemId=21003007390015&sourceType=search&rank=&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"ACADEMY PLASTIC MODEL 1:144美國空軍B-52H轟炸機模型, 1個",$517,https://www.tw.coupang.com/products/ACADEMY-PLASTIC-MODEL-1%3A144%E7%BE%8E%E5%9C%8B%E7%A9%BA%E8%BB%8DB-52H%E8%BD%9F%E7%82%B8%E6%A9%9F%E6%A8%A1%E5%9E%8B-21005581957636?itemId=21008924813489&vendorItemId=21076211401852&sourceType=search&rank=1&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"ENZYMEDICA Natto-K, 1個, 30 件",$385,https://www.tw.coupang.com/products/ENZYMEDICA-Natto-K-21008269160461?itemId=21000002438392&vendorItemId=21003215399837&sourceType=search&rank=2&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"ACADEMY PLASTIC MODEL 1:72 美國海軍 EA-18G VAQ-141 塑膠模型戰鬥機, 1個",$441,https://www.tw.coupang.com/products/ACADEMY-PLASTIC-MODEL-1%3A72-%E7%BE%8E%E5%9C%8B%E6%B5%B7%E8%BB%8D-EA-18G-VAQ-141-%E5%A1%91%E8%86%A0%E6%A8%A1%E5%9E%8B%E6%88%B0%E9%AC%A5%E6%A9%9F-21001377099325?itemId=21002410658149&vendorItemId=21070405160934&sourceType=search&rank=3&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"科學院科學 美國空軍 F-104C 越戰攔截機 1:72 12576, 1個",$308,https://www.tw.coupang.com/products/%E7%A7%91%E5%AD%B8%E9%99%A2%E7%A7%91%E5%AD%B8-%E7%BE%8E%E5%9C%8B%E7%A9%BA%E8%BB%8D-F-104C-%E8%B6%8A%E6%88%B0%E6%94%94%E6%88%AA%E6%A9%9F-1%3A72-12576-21007687778461?itemId=21020550080023&vendorItemId=21087626271046&sourceType=search&rank=4&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"ACADEMY PLASTIC MODEL 1/35 美國海軍陸戰隊AH-1Z 戰鬥直升機塑膠模型, 1個",$586,https://www.tw.coupang.com/products/ACADEMY-PLASTIC-MODEL-1%2F35-%E7%BE%8E%E5%9C%8B%E6%B5%B7%E8%BB%8D%E9%99%B8%E6%88%B0%E9%9A%8AAH-1Z-%E6%88%B0%E9%AC%A5%E7%9B%B4%E5%8D%87%E6%A9%9F%E5%A1%91%E8%86%A0%E6%A8%A1%E5%9E%8B-21001377099453?itemId=21002410658276&vendorItemId=21070405161198&sourceType=search&rank=5&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"Bio- Strath Whole Food Supplement Tablet GMO&Lactose Free, 1個, 100 件",$628,https://www.tw.coupang.com/products/Bio--Strath-Whole-Food-Supplement-Tablet-GMO%26Lactose-Free-21000000295722?itemId=21000000685849&vendorItemId=21003123009835&sourceType=search&rank=6&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"Kitchen-Art Sten Darai, 1個",$400,https://www.tw.coupang.com/products/Kitchen-Art-Sten-Darai-21004736390732?itemId=21006012102753&vendorItemId=21073309823405&sourceType=search&rank=7&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"E-Home Baking Deep Stenball 2p, 單一顏色",$215,https://www.tw.coupang.com/products/E-Home-Baking-Deep-Stenball-2p-21006717880749?itemId=21015617365856&vendorItemId=21082835189883&sourceType=search&rank=8&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
"Kitchen-Art Adjust-a-tspoon 量勺 紅色, 1個",$228,https://www.tw.coupang.com/products/Kitchen-Art-Adjust-a-tspoon-%E9%87%8F%E5%8B%BA-%E7%B4%85%E8%89%B2-21000108191667?itemId=21000327481797&vendorItemId=21003802788511&sourceType=search&rank=9&searchId=96e9af0118f2441db35b01b37efce424&q=co-ed
