product_name,product_price,product_url
"Dr.Banggiwon Lab 防脫育髮精華, 150ml, 2瓶",$293,https://www.tw.coupang.com/products/Dr.Banggiwon-Lab-%E9%98%B2%E8%84%AB%E8%82%B2%E9%AB%AE%E7%B2%BE%E8%8F%AF-21006441383569?itemId=21018580961089&vendorItemId=21090149960411&sourceType=search&rank=&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.Groot 多重完美強健髮根頭皮營養護理液, 1瓶, 150ml",$523,https://www.tw.coupang.com/products/Dr.Groot-%E5%A4%9A%E9%87%8D%E5%AE%8C%E7%BE%8E%E5%BC%B7%E5%81%A5%E9%AB%AE%E6%A0%B9%E9%A0%AD%E7%9A%AE%E7%87%9F%E9%A4%8A%E8%AD%B7%E7%90%86%E6%B6%B2-21007840544993?itemId=21021343311945&vendorItemId=21088401173483&sourceType=search&rank=1&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.CPU 洋甘菊凝膠, 1000ml, 1瓶",$918,https://www.tw.coupang.com/products/Dr.CPU-%E6%B4%8B%E7%94%98%E8%8F%8A%E5%87%9D%E8%86%A0-181652064026628?itemId=181651510345733&vendorItemId=181652064026625&sourceType=search&rank=2&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.Banggiwon 抗痘頭皮舒緩強健髮根泡沫護髮素, 1個, 150ml",$203,https://www.tw.coupang.com/products/Dr.Banggiwon-%E6%8A%97%E7%97%98%E9%A0%AD%E7%9A%AE%E8%88%92%E7%B7%A9%E5%BC%B7%E5%81%A5%E9%AB%AE%E6%A0%B9%E6%B3%A1%E6%B2%AB%E8%AD%B7%E9%AB%AE%E7%B4%A0-21007702609712?itemId=21020627379335&vendorItemId=21088010313803&sourceType=search&rank=3&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.SEED 黑豆頭皮養髮液, 1瓶, 150ml",$184,https://www.tw.coupang.com/products/Dr.SEED-%E9%BB%91%E8%B1%86%E9%A0%AD%E7%9A%AE%E9%A4%8A%E9%AB%AE%E6%B6%B2-21006728677518?itemId=21015671617868&vendorItemId=21082887168462&sourceType=search&rank=4&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.Groot 強健髮根護髮安瓶, 250ml, 1瓶",$552,https://www.tw.coupang.com/products/Dr.Groot-%E5%BC%B7%E5%81%A5%E9%AB%AE%E6%A0%B9%E8%AD%B7%E9%AB%AE%E5%AE%89%E7%93%B6-21007851151344?itemId=21021400452822&vendorItemId=21088457085388&sourceType=search&rank=5&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"DR.HSIEH 達特醫 洋甘菊萃取精華, 30ml, 1瓶",$237,https://www.tw.coupang.com/products/DR.HSIEH-%E9%81%94%E7%89%B9%E9%86%AB-%E6%B4%8B%E7%94%98%E8%8F%8A%E8%90%83%E5%8F%96%E7%B2%BE%E8%8F%AF-163901580754948?itemId=163902012751877&vendorItemId=163901580754944&sourceType=search&rank=6&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.G 聚絲蛋白護理面霜, 50ml, 1罐",$373,https://www.tw.coupang.com/products/Dr.G-%E8%81%9A%E7%B5%B2%E8%9B%8B%E7%99%BD%E8%AD%B7%E7%90%86%E9%9D%A2%E9%9C%9C-21000156976461?itemId=21019587261773&vendorItemId=21004119000652&sourceType=search&rank=7&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.Twenty project 啤酒酵母頭皮舒緩保濕護髮素, 200ml, 1入",$180,https://www.tw.coupang.com/products/Dr.Twenty-project-%E5%95%A4%E9%85%92%E9%85%B5%E6%AF%8D%E9%A0%AD%E7%9A%AE%E8%88%92%E7%B7%A9%E4%BF%9D%E6%BF%95%E8%AD%B7%E9%AB%AE%E7%B4%A0-21006059668540?itemId=21011136726094&vendorItemId=21078415218208&sourceType=search&rank=8&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.Deep 蜂膠協同精華, 100ml, 1入",$787,https://www.tw.coupang.com/products/Dr.Deep-%E8%9C%82%E8%86%A0%E5%8D%94%E5%90%8C%E7%B2%BE%E8%8F%AF-21000018348077?itemId=21000073814066&vendorItemId=21003121672677&sourceType=search&rank=9&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.Groot 啤酒酵母強健髮根集中護理蛋白質護髮安瓶, 250ml, 1瓶",$528,https://www.tw.coupang.com/products/Dr.Groot-%E5%95%A4%E9%85%92%E9%85%B5%E6%AF%8D%E5%BC%B7%E5%81%A5%E9%AB%AE%E6%A0%B9%E9%9B%86%E4%B8%AD%E8%AD%B7%E7%90%86%E8%9B%8B%E7%99%BD%E8%B3%AA%E8%AD%B7%E9%AB%AE%E5%AE%89%E7%93%B6-21007022718268?itemId=21019272372233&vendorItemId=21088342490138&sourceType=search&rank=10&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr. Christopher's Formulas Herbal Cough Syrup, 1個, 118毫升",$431,https://www.tw.coupang.com/products/Dr.-Christopher's-Formulas-Herbal-Cough-Syrup-21000003292252?itemId=21000000426512&vendorItemId=21003275469918&sourceType=search&rank=11&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
"Dr.CPU 幹細胞精華露, 300ml, 1瓶","$1,230",https://www.tw.coupang.com/products/Dr.CPU-%E5%B9%B9%E7%B4%B0%E8%83%9E%E7%B2%BE%E8%8F%AF%E9%9C%B2-181642530373635?itemId=181642530373636&vendorItemId=181642530373632&sourceType=search&rank=12&searchId=b4700e717774481c9035ef7b1594b2b7&q=dragen
