product_name,product_price,product_url
"camEL 安裝 GMA2 Premium 第二臂顯示器支架, 1個","$1,428",https://www.tw.coupang.com/products/camEL-%E5%AE%89%E8%A3%9D-GMA2-Premium-%E7%AC%AC%E4%BA%8C%E8%87%82%E9%A1%AF%E7%A4%BA%E5%99%A8%E6%94%AF%E6%9E%B6-21000176846288?itemId=21000505580611&vendorItemId=21004294734656&sourceType=search&rank=&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 運動鞋 GMA105,$511,https://www.tw.coupang.com/products/GMASK-%E9%81%8B%E5%8B%95%E9%9E%8B-GMA105-21006150285544?itemId=21011866356877&vendorItemId=21079139475942&sourceType=search&rank=1&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
the day Girls Molang 紮染抓絨衛衣 GMA20D1M,"$2,356",https://www.tw.coupang.com/products/the-day-Girls-Molang-%E7%B4%AE%E6%9F%93%E6%8A%93%E7%B5%A8%E8%A1%9B%E8%A1%A3-GMA20D1M-21006112701605?itemId=21011531131466&vendorItemId=21086214005882&sourceType=search&rank=2&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
"camEL 1段式螢幕支架 GMA-1, 混色, 1個","$2,012",https://www.tw.coupang.com/products/camEL-1%E6%AE%B5%E5%BC%8F%E8%9E%A2%E5%B9%95%E6%94%AF%E6%9E%B6-GMA-1-21000176846359?itemId=21000505580852&vendorItemId=21004294735367&sourceType=search&rank=3&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
Mooda 男士GMA204,$872,https://www.tw.coupang.com/products/Mooda-%E7%94%B7%E5%A3%ABGMA204-21006189774964?itemId=21012209554326&vendorItemId=21079480409826&sourceType=search&rank=4&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 運動鞋 GMA304,$956,https://www.tw.coupang.com/products/GMASK-%E9%81%8B%E5%8B%95%E9%9E%8B-GMA304-21006155237637?itemId=21011910036391&vendorItemId=21079182954837&sourceType=search&rank=5&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 運動鞋 GMA303,$977,https://www.tw.coupang.com/products/GMASK-%E9%81%8B%E5%8B%95%E9%9E%8B-GMA303-21006150260801?itemId=21011866092033&vendorItemId=21079139212830&sourceType=search&rank=6&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 運動鞋 GMA402,$737,https://www.tw.coupang.com/products/GMASK-%E9%81%8B%E5%8B%95%E9%9E%8B-GMA402-21006148833177?itemId=21011853724437&vendorItemId=21079126928521&sourceType=search&rank=7&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 運動鞋 GMA102,$604,https://www.tw.coupang.com/products/GMASK-%E9%81%8B%E5%8B%95%E9%9E%8B-GMA102-21006150280866?itemId=21011866302747&vendorItemId=21079139421938&sourceType=search&rank=8&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 女式皮草靴 GMA108,$560,https://www.tw.coupang.com/products/GMASK-%E5%A5%B3%E5%BC%8F%E7%9A%AE%E8%8D%89%E9%9D%B4-GMA108-21006149150053?itemId=21011856190063&vendorItemId=21079129367778&sourceType=search&rank=9&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
"camEL mount 雙顯示器支架 GMA-2D, 混色, 1個","$3,199",https://www.tw.coupang.com/products/camEL-mount-%E9%9B%99%E9%A1%AF%E7%A4%BA%E5%99%A8%E6%94%AF%E6%9E%B6-GMA-2D-21000176846395?itemId=21000505581027&vendorItemId=21004294735875&sourceType=search&rank=10&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
"GME 無咖啡因柴茶, 1個, 56克",$528,https://www.tw.coupang.com/products/GME-%E7%84%A1%E5%92%96%E5%95%A1%E5%9B%A0%E6%9F%B4%E8%8C%B6-21000022438462?itemId=21000087114882&vendorItemId=21003148481072&sourceType=search&rank=11&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 女款刷毛雪靴 GMA109,$563,https://www.tw.coupang.com/products/GMASK-%E5%A5%B3%E6%AC%BE%E5%88%B7%E6%AF%9B%E9%9B%AA%E9%9D%B4-GMA109-21006149174726?itemId=21011856368310&vendorItemId=21079129544912&sourceType=search&rank=12&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 女款羊毛靴 GMA110 灰色 240mm,$534,https://www.tw.coupang.com/products/GMASK-%E5%A5%B3%E6%AC%BE%E7%BE%8A%E6%AF%9B%E9%9D%B4-GMA110-%E7%81%B0%E8%89%B2-240mm-21006155239636?itemId=21011910051627&vendorItemId=21079182970296&sourceType=search&rank=13&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
GMASK 女式皮草靴 GMA107,$541,https://www.tw.coupang.com/products/GMASK-%E5%A5%B3%E5%BC%8F%E7%9A%AE%E8%8D%89%E9%9D%B4-GMA107-21006150151603?itemId=21011865215770&vendorItemId=21079138340557&sourceType=search&rank=14&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
"KOKIRI LIVING 多功能廚房衣架壁掛式長掛鉤 GMA-0711, 白色的, 8個",$408,https://www.tw.coupang.com/products/KOKIRI-LIVING-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%BB%9A%E6%88%BF%E8%A1%A3%E6%9E%B6%E5%A3%81%E6%8E%9B%E5%BC%8F%E9%95%B7%E6%8E%9B%E9%89%A4-GMA-0711-21004805607625?itemId=21006175319809&vendorItemId=21073471368258&sourceType=search&rank=15&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
口罩靴 GMA206,$888,https://www.tw.coupang.com/products/%E5%8F%A3%E7%BD%A9%E9%9D%B4-GMA206-21006189772509?itemId=21012209535100&vendorItemId=21079480390338&sourceType=search&rank=16&searchId=d4985151e9a24360946f4f5833b9f26d&q=gma
