product_name,product_price,product_url
"hanbit edu 有趣又快速的韓語寫作 1：沒有支持的單詞：, 漢比特教育",$184,https://www.tw.coupang.com/products/hanbit-edu-%E6%9C%89%E8%B6%A3%E5%8F%88%E5%BF%AB%E9%80%9F%E7%9A%84%E9%9F%93%E8%AA%9E%E5%AF%AB%E4%BD%9C-1%EF%BC%9A%E6%B2%92%E6%9C%89%E6%94%AF%E6%8C%81%E7%9A%84%E5%96%AE%E8%A9%9E%EF%BC%9A-21000161673203?itemId=21000464331412&vendorItemId=21004160907853&sourceType=search&rank=&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"Hyoreewon 動物農場：關於動物的佳寓言小說, 孝利園",$212,https://www.tw.coupang.com/products/Hyoreewon-%E5%8B%95%E7%89%A9%E8%BE%B2%E5%A0%B4%EF%BC%9A%E9%97%9C%E6%96%BC%E5%8B%95%E7%89%A9%E7%9A%84%E4%BD%B3%E5%AF%93%E8%A8%80%E5%B0%8F%E8%AA%AA-21000004422166?itemId=21000020801086&vendorItemId=21003058422143&sourceType=search&rank=1&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"I LOVE PAINTING 鑽石畫DIY組 SUPER JUNIOR款, 始源, 1套",$812,https://www.tw.coupang.com/products/I-LOVE-PAINTING-%E9%91%BD%E7%9F%B3%E7%95%ABDIY%E7%B5%84-SUPER-JUNIOR%E6%AC%BE-21006222326165?itemId=21012458861304&vendorItemId=21079727853344&sourceType=search&rank=2&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"JPLUS Kwai Rush Ehan Rank 1練習冊：童趣漢語, J加",$108,https://www.tw.coupang.com/products/JPLUS-Kwai-Rush-Ehan-Rank-1%E7%B7%B4%E7%BF%92%E5%86%8A%EF%BC%9A%E7%AB%A5%E8%B6%A3%E6%BC%A2%E8%AA%9E-21000063483417?itemId=21000216214488&vendorItemId=21003521220913&sourceType=search&rank=3&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"Paola Reina 04418克里斯蒂32cm娃娃, 混色","$1,319",https://www.tw.coupang.com/products/Paola-Reina-04418%E5%85%8B%E9%87%8C%E6%96%AF%E8%92%8232cm%E5%A8%83%E5%A8%83-21001217834240?itemId=21002207885901&vendorItemId=21070205708393&sourceType=search&rank=4&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"hanbit edu 什麼是跳動的心：表達內心的情感詞 - 有趣快速的詞彙講故事（美化）, 漢比特教育",$256,https://www.tw.coupang.com/products/hanbit-edu-%E4%BB%80%E9%BA%BC%E6%98%AF%E8%B7%B3%E5%8B%95%E7%9A%84%E5%BF%83%EF%BC%9A%E8%A1%A8%E9%81%94%E5%85%A7%E5%BF%83%E7%9A%84%E6%83%85%E6%84%9F%E8%A9%9E---%E6%9C%89%E8%B6%A3%E5%BF%AB%E9%80%9F%E7%9A%84%E8%A9%9E%E5%BD%99%E8%AC%9B%E6%95%85%E4%BA%8B%EF%BC%88%E7%BE%8E%E5%8C%96%EF%BC%89-21005110119448?itemId=21006971828507&vendorItemId=21074264217004&sourceType=search&rank=5&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"hanbit edu 有趣又快速的聽寫 1 教科書基本單詞, 漢比特教育",$152,https://www.tw.coupang.com/products/hanbit-edu-%E6%9C%89%E8%B6%A3%E5%8F%88%E5%BF%AB%E9%80%9F%E7%9A%84%E8%81%BD%E5%AF%AB-1-%E6%95%99%E7%A7%91%E6%9B%B8%E5%9F%BA%E6%9C%AC%E5%96%AE%E8%A9%9E-21000270843921?itemId=21000850912380&vendorItemId=21005161898985&sourceType=search&rank=6&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"Yerimdang Kakao Friends 益智畫廊, 108件, 振作起來",$174,https://www.tw.coupang.com/products/Yerimdang-Kakao-Friends-%E7%9B%8A%E6%99%BA%E7%95%AB%E5%BB%8A-21007319921226?itemId=21018771985590&vendorItemId=21085903612695&sourceType=search&rank=7&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"Mangong韓國歷史高麗高麗青瓷東洋寺3D益智益智, 混色",$119,https://www.tw.coupang.com/products/Mangong%E9%9F%93%E5%9C%8B%E6%AD%B7%E5%8F%B2%E9%AB%98%E9%BA%97%E9%AB%98%E9%BA%97%E9%9D%92%E7%93%B7%E6%9D%B1%E6%B4%8B%E5%AF%BA3D%E7%9B%8A%E6%99%BA%E7%9B%8A%E6%99%BA-21002145204881?itemId=21003642547433&vendorItemId=21071628069696&sourceType=search&rank=8&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"HumanEorini 小學生初識漢字5：中文版：再見，熊貓舞！, 人類的孩子",$218,https://www.tw.coupang.com/products/HumanEorini-%E5%B0%8F%E5%AD%B8%E7%94%9F%E5%88%9D%E8%AD%98%E6%BC%A2%E5%AD%975%EF%BC%9A%E4%B8%AD%E6%96%87%E7%89%88%EF%BC%9A%E5%86%8D%E8%A6%8B%EF%BC%8C%E7%86%8A%E8%B2%93%E8%88%9E%EF%BC%81-21000005599155?itemId=21000137585702&vendorItemId=21003295469517&sourceType=search&rank=9&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
"PS4 荒野大鏢客：救贖 韓國版, 荒野大鏢客:救贖","$1,613",https://www.tw.coupang.com/products/PS4-%E8%8D%92%E9%87%8E%E5%A4%A7%E9%8F%A2%E5%AE%A2%EF%BC%9A%E6%95%91%E8%B4%96-%E9%9F%93%E5%9C%8B%E7%89%88-21007650801442?itemId=21020356290588&vendorItemId=21087475421498&sourceType=search&rank=10&searchId=fb05b4acabcf49bf8c8f5b3aed1f4f43&q=negotiating
