product_name,product_price,product_url
"allgood 咖啡師燕麥奶, 1L, 6瓶",$432,https://www.tw.coupang.com/products/allgood-%E5%92%96%E5%95%A1%E5%B8%AB%E7%87%95%E9%BA%A5%E5%A5%B6-21006572030497?itemId=21014756134006&vendorItemId=21081996455413&sourceType=search&rank=&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"perfection 奶粉分裝袋, 120入, 1盒",$249,https://www.tw.coupang.com/products/perfection-%E5%A5%B6%E7%B2%89%E5%88%86%E8%A3%9D%E8%A2%8B-21000003335747?itemId=21000015571972&vendorItemId=21003023423258&sourceType=search&rank=1&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"Kinyo 日系甜美造型體重計 DS6573 300*265*19mm 粉色 1.1kg, 1個",$216,https://www.tw.coupang.com/products/Kinyo-%E6%97%A5%E7%B3%BB%E7%94%9C%E7%BE%8E%E9%80%A0%E5%9E%8B%E9%AB%94%E9%87%8D%E8%A8%88-DS6573-300*265*19mm-%E7%B2%89%E8%89%B2-1.1kg-154018525462535?itemId=154018907127820&vendorItemId=154018907127811&sourceType=search&rank=2&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"光泉 優質蛋白牛乳, 200ml, 24入",$277,https://www.tw.coupang.com/products/%E5%85%89%E6%B3%89-%E5%84%AA%E8%B3%AA%E8%9B%8B%E7%99%BD%E7%89%9B%E4%B9%B3-184913387012115?itemId=184913961664531&vendorItemId=184913387012109&sourceType=search&rank=3&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"perfection 奶粉分裝袋, 120個, 1盒",$516,https://www.tw.coupang.com/products/perfection-%E5%A5%B6%E7%B2%89%E5%88%86%E8%A3%9D%E8%A2%8B-196763872903168?itemId=196764455895040&vendorItemId=196763226947585&sourceType=search&rank=4&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"Nutrilon 諾優能 諾優貝金版配方食品 1號 0-12個月, 900g, 1罐",$775,https://www.tw.coupang.com/products/Nutrilon-%E8%AB%BE%E5%84%AA%E8%83%BD-%E8%AB%BE%E5%84%AA%E8%B2%9D%E9%87%91%E7%89%88%E9%85%8D%E6%96%B9%E9%A3%9F%E5%93%81-1%E8%99%9F-0-12%E5%80%8B%E6%9C%88-270324398538752?itemId=270325338046468&vendorItemId=270325338046465&sourceType=search&rank=5&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"Nuby 智能七段定溫調乳器 36.5*22*29cm 3.15kg 5L, 甜心粉, 1個","$3,688",https://www.tw.coupang.com/products/Nuby-%E6%99%BA%E8%83%BD%E4%B8%83%E6%AE%B5%E5%AE%9A%E6%BA%AB%E8%AA%BF%E4%B9%B3%E5%99%A8-36.5*22*29cm-3.15kg-5L-220059796455426?itemId=220060572434433&vendorItemId=220059796455424&sourceType=search&rank=6&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"OATLY! 咖啡師燕麥奶, 1L, 6個",$671,https://www.tw.coupang.com/products/OATLY!-%E5%92%96%E5%95%A1%E5%B8%AB%E7%87%95%E9%BA%A5%E5%A5%B6-21008157268957?itemId=21017909089360&vendorItemId=21087733628177&sourceType=search&rank=7&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"Maeil 每日 Amazing Oat無糖燕麥飲, 190ml, 24入",$327,https://www.tw.coupang.com/products/Maeil-%E6%AF%8F%E6%97%A5-Amazing-Oat%E7%84%A1%E7%B3%96%E7%87%95%E9%BA%A5%E9%A3%B2-21007234890895?itemId=21018631933209&vendorItemId=21079330982955&sourceType=search&rank=8&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
"OATLY! 原味燕麥奶, 1L, 2入",$265,https://www.tw.coupang.com/products/OATLY!-%E5%8E%9F%E5%91%B3%E7%87%95%E9%BA%A5%E5%A5%B6-21006595487878?itemId=21015906808101&vendorItemId=21087721779584&sourceType=search&rank=9&searchId=ec9d33e391dd48bba21bd5f5a6910128&q=quality%20control
