product_name,product_price,product_url
"workman publishing Brain Quest Math Basics Grade 2 : 1000 Questions & Answers to Build Math Smarts Ages 7~8, Marjorie",$337,https://www.tw.coupang.com/products/workman-publishing-Brain-Quest-Math-Basics-Grade-2-%3A-1000-Questions-%26-Answers-to-Build-Math-Smarts-Ages-7~8-197556319518729?itemId=197555732332554&vendorItemId=197555082182657&sourceType=search&rank=&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
"Ottogi Delicious Cup Rice Chuncheon Dakgalbi Rice Bowl, 310g, 12入",$685,https://www.tw.coupang.com/products/Ottogi-Delicious-Cup-Rice-Chuncheon-Dakgalbi-Rice-Bowl-21007500455950?itemId=21003428422715&vendorItemId=21003063781617&sourceType=search&rank=1&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
"Bandai PG 1/60 Gundam Astray 紅框, 1個","$4,791",https://www.tw.coupang.com/products/Bandai-PG-1%2F60-Gundam-Astray-%E7%B4%85%E6%A1%86-21007447122390?itemId=21019378976657&vendorItemId=21086491570686&sourceType=search&rank=2&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
"Zenblock Shopping Street Shop Block 232p C0347D, 書店",$206,https://www.tw.coupang.com/products/Zenblock-Shopping-Street-Shop-Block-232p-C0347D-21005876779612?itemId=21010297315915&vendorItemId=21077579694267&sourceType=search&rank=3&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Urban Prop Vincent Van Gogh Masterpiece Painting Set of 7 類型 A,$124,https://www.tw.coupang.com/products/Urban-Prop-Vincent-Van-Gogh-Masterpiece-Painting-Set-of-7-%E9%A1%9E%E5%9E%8B-A-21007115476252?itemId=21017801287242&vendorItemId=21084965356747&sourceType=search&rank=4&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Baumarket 4 合 1 Kalgall Black,$256,https://www.tw.coupang.com/products/Baumarket-4-%E5%90%88-1-Kalgall-Black-21006522831004?itemId=21014459071121&vendorItemId=21081702523681&sourceType=search&rank=5&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
indigo Study Alone Study Checker（6 個月）Study Planner 1ea,$236,https://www.tw.coupang.com/products/indigo-Study-Alone-Study-Checker%EF%BC%886-%E5%80%8B%E6%9C%88%EF%BC%89Study-Planner-1ea-21004996778935?itemId=21006672433127&vendorItemId=21073966156119&sourceType=search&rank=6&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
JY books Five Little Men in a Flying Saucer:Paperback & CD Set,$291,https://www.tw.coupang.com/products/JY-books-Five-Little-Men-in-a-Flying-Saucer%3APaperback-%26-CD-Set-197555082182677?itemId=197556319518741&vendorItemId=197555082182662&sourceType=search&rank=7&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
MAISONTEXTILE Artbox/ Napkin Mono 6套組,$835,https://www.tw.coupang.com/products/MAISONTEXTILE-Artbox%2F-Napkin-Mono-6%E5%A5%97%E7%B5%84-21000001311795?itemId=21000005679690&vendorItemId=21003013730670&sourceType=search&rank=8&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Urban Prop Masterpiece 圖片組 15 Type C,$166,https://www.tw.coupang.com/products/Urban-Prop-Masterpiece-%E5%9C%96%E7%89%87%E7%B5%84-15-Type-C-21007289718914?itemId=21018628890661&vendorItemId=21085764229679&sourceType=search&rank=9&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
"egenedu Peer Quiz 初級英語詞彙1200 1+2套 3~4年級全2冊, 現在教育",$426,https://www.tw.coupang.com/products/egenedu-Peer-Quiz-%E5%88%9D%E7%B4%9A%E8%8B%B1%E8%AA%9E%E8%A9%9E%E5%BD%991200-1%2B2%E5%A5%97-3~4%E5%B9%B4%E7%B4%9A%E5%85%A82%E5%86%8A-21006348197859?itemId=21013347109250&vendorItemId=21080602292620&sourceType=search&rank=10&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
SolRoom 8 Mini Mini小型Kalim bar wood love,$356,https://www.tw.coupang.com/products/SolRoom-8-Mini-Mini%E5%B0%8F%E5%9E%8BKalim-bar-wood-love-21006771697859?itemId=21015901607104&vendorItemId=21083109600866&sourceType=search&rank=11&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
NE Build&Grow Grammar Stage Starter 3:Student Book/Workbook,$361,https://www.tw.coupang.com/products/NE-Build%26Grow-Grammar-Stage-Starter-3%3AStudent-Book%2FWorkbook-197506214379555?itemId=197506214379556&vendorItemId=197506214379553&sourceType=search&rank=12&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Tingall Clear 17 Sound Haibara Kalimba Type 11,$414,https://www.tw.coupang.com/products/Tingall-Clear-17-Sound-Haibara-Kalimba-Type-11-21006875510143?itemId=21016461648070&vendorItemId=21083651675367&sourceType=search&rank=13&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
WEMODERN Canvas Interior Framed Dreaming Sky 2,"$1,254",https://www.tw.coupang.com/products/WEMODERN-Canvas-Interior-Framed-Dreaming-Sky-2-21004590477318?itemId=21005643332499&vendorItemId=21072942345859&sourceType=search&rank=14&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Tingall Clear 17 Sound Haibara Kalimba Type 16,$414,https://www.tw.coupang.com/products/Tingall-Clear-17-Sound-Haibara-Kalimba-Type-16-21006875511092?itemId=21016461652303&vendorItemId=21083651679900&sourceType=search&rank=15&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
MiCRONiCS COOLMAX VISION 2 700W ATX CVS2700NPE12H,"$1,494",https://www.tw.coupang.com/products/MiCRONiCS-COOLMAX-VISION-2-700W-ATX-CVS2700NPE12H-21006441861963?itemId=21013947719513&vendorItemId=21089967124663&sourceType=search&rank=16&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
WEMODERN Canvas Interior Frame Before Sunset 4,"$1,225",https://www.tw.coupang.com/products/WEMODERN-Canvas-Interior-Frame-Before-Sunset-4-21004590476568?itemId=21005643329918&vendorItemId=21072942345436&sourceType=search&rank=17&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
5.11TACTICAL Flex 6.9 Pouch Ranger Green,"$1,160",https://www.tw.coupang.com/products/5.11TACTICAL-Flex-6.9-Pouch-Ranger-Green-21006718186374?itemId=21015618760200&vendorItemId=21082836533986&sourceType=search&rank=18&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Tingall Clear 17 Sound Haibara Kalimba Type 15,$396,https://www.tw.coupang.com/products/Tingall-Clear-17-Sound-Haibara-Kalimba-Type-15-21006875509071?itemId=21016461644268&vendorItemId=21083651671086&sourceType=search&rank=19&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Tingall Clear 17 Sound Haibara Kalimba Type 20,$397,https://www.tw.coupang.com/products/Tingall-Clear-17-Sound-Haibara-Kalimba-Type-20-21006875510472?itemId=21016461649361&vendorItemId=21083651677015&sourceType=search&rank=20&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
applebee Baby Focus Book Set + Rattle Coco Coco.Co 2 套,$568,https://www.tw.coupang.com/products/applebee-Baby-Focus-Book-Set-%2B-Rattle-Coco-Coco.Co-2-%E5%A5%97-21000206817450?itemId=21000611107483&vendorItemId=21004592593483&sourceType=search&rank=21&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
INTODECO Albena Fruit Still Life 3 Frame,"$1,024",https://www.tw.coupang.com/products/INTODECO-Albena-Fruit-Still-Life-3-Frame-21000001545014?itemId=21000006745333&vendorItemId=21003008870550&sourceType=search&rank=22&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Western329 West Street 6個,"$1,623",https://www.tw.coupang.com/products/Western329-West-Street-6%E5%80%8B-21000002343589?itemId=21000010775550&vendorItemId=21003016117142&sourceType=search&rank=23&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
The Art Matisse Minimalist Emotional Interior Frame 36 MTS Reading Woman,"$1,365",https://www.tw.coupang.com/products/The-Art-Matisse-Minimalist-Emotional-Interior-Frame-36-MTS-Reading-Woman-21002342774804?itemId=21004059779650&vendorItemId=21072043881362&sourceType=search&rank=24&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
"egenedu Peer Quiz 初級英語詞彙 1200 3 + 4 Set All 2 books for 5~6 grade, 現在教育",$436,https://www.tw.coupang.com/products/egenedu-Peer-Quiz-%E5%88%9D%E7%B4%9A%E8%8B%B1%E8%AA%9E%E8%A9%9E%E5%BD%99-1200-3-%2B-4-Set-All-2-books-for-5~6-grade-21006348197857?itemId=21013347109249&vendorItemId=21080602292592&sourceType=search&rank=25&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Crowlite Kalimba 17th 2nd Brown,$747,https://www.tw.coupang.com/products/Crowlite-Kalimba-17th-2nd-Brown-21006640644628?itemId=21015179094083&vendorItemId=21082400379524&sourceType=search&rank=26&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
LAMINA 藝術與收藏 Paul Klee Series Masterpiece 003 Small Portrait of a Yellow Woman,"$1,775",https://www.tw.coupang.com/products/LAMINA-%E8%97%9D%E8%A1%93%E8%88%87%E6%94%B6%E8%97%8F-Paul-Klee-Series-Masterpiece-003-Small-Portrait-of-a-Yellow-Woman-21000081332874?itemId=21000259387544&vendorItemId=21003630294817&sourceType=search&rank=27&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Velian Thumb 8th Scale Mini Beginner Kalimba Type A+弦樂隨機送套組,$352,https://www.tw.coupang.com/products/Velian-Thumb-8th-Scale-Mini-Beginner-Kalimba-Type-A%2B%E5%BC%A6%E6%A8%82%E9%9A%A8%E6%A9%9F%E9%80%81%E5%A5%97%E7%B5%84-21006717908312?itemId=21015617495136&vendorItemId=21082835315041&sourceType=search&rank=28&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
Scholastic The Last Firehawk 1~10 Box set (with CD & Storyplus)+生詞本,"$2,656",https://www.tw.coupang.com/products/Scholastic-The-Last-Firehawk-1~10-Box-set-(with-CD-%26-Storyplus)%2B%E7%94%9F%E8%A9%9E%E6%9C%AC-21006538413686?itemId=21014546925481&vendorItemId=21083558864609&sourceType=search&rank=29&searchId=d8faec9585e74326a4738ef893304aea&q=quisition
"Cartem Battery Protect Thermal Cover Kia Morning/New Morning 40 標準版, 1個",$543,https://www.tw.coupang.com/products/Cartem-Battery-Protect-Thermal-Cover-Kia-Morning%2FNew-Morning-40-%E6%A8%99%E6%BA%96%E7%89%88-21000142371921?itemId=21000414174644&vendorItemId=21004016699735&sourceType=search&rank=&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
MUAJIN iPhone MagSafe 保護殼 JK1,$503,https://www.tw.coupang.com/products/MUAJIN-iPhone-MagSafe-%E4%BF%9D%E8%AD%B7%E6%AE%BC-JK1-21006887785364?itemId=21016526219988&vendorItemId=21085927611690&sourceType=search&rank=1&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
Tingall 17 級 High Kalimba Simple Pink,$402,https://www.tw.coupang.com/products/Tingall-17-%E7%B4%9A-High-Kalimba-Simple-Pink-21006875510747?itemId=21016461650699&vendorItemId=21083651678336&sourceType=search&rank=2&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
SEKWANG Bonokalimba 硬殼,$343,https://www.tw.coupang.com/products/SEKWANG-Bonokalimba-%E7%A1%AC%E6%AE%BC-21005761296863?itemId=21009757623923&vendorItemId=21077041341951&sourceType=search&rank=3&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
DABell Kalimba 硬殼,$322,https://www.tw.coupang.com/products/DABell-Kalimba-%E7%A1%AC%E6%AE%BC-21005572751676?itemId=21008881675535&vendorItemId=21076168357394&sourceType=search&rank=4&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
Lodi Electric Multi Chopper M2-CP700 2.5L,$696,https://www.tw.coupang.com/products/Lodi-Electric-Multi-Chopper-M2-CP700-2.5L-21002022698586?itemId=21003440554189&vendorItemId=21071589334167&sourceType=search&rank=5&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
Tingall Clear 17 Sound Haibara Kalimba Type 14,$408,https://www.tw.coupang.com/products/Tingall-Clear-17-Sound-Haibara-Kalimba-Type-14-21006875510470?itemId=21016461649360&vendorItemId=21083651677020&sourceType=search&rank=6&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
"megabooks Reading Essay B3 通向教科書的主題：A community together, 論文/寫作",$204,https://www.tw.coupang.com/products/megabooks-Reading-Essay-B3-%E9%80%9A%E5%90%91%E6%95%99%E7%A7%91%E6%9B%B8%E7%9A%84%E4%B8%BB%E9%A1%8C%EF%BC%9AA-community-together-21000069664556?itemId=21000233267680&vendorItemId=21003569822711&sourceType=search&rank=7&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
EFuture My First Writing 2練習冊 level 2,$178,https://www.tw.coupang.com/products/EFuture-My-First-Writing-2%E7%B7%B4%E7%BF%92%E5%86%8A-level-2-21000231470162?itemId=21000733999954&vendorItemId=21004899859516&sourceType=search&rank=8&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
"A List Grammar Cue Plus 3 (B+W+Hybrid CD) 2nd edition, LanguageWorld, 1本",$369,https://www.tw.coupang.com/products/A-List-Grammar-Cue-Plus-3-(B%2BW%2BHybrid-CD)-2nd-edition-197506814148611?itemId=197505581006852&vendorItemId=197506814148608&sourceType=search&rank=9&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
Tingall 17 級 High Kalimba Sun,$440,https://www.tw.coupang.com/products/Tingall-17-%E7%B4%9A-High-Kalimba-Sun-21006875510141?itemId=21016461648065&vendorItemId=21083651675361&sourceType=search&rank=10&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
Tingall 17 級 High Kalimba Simplewood,$375,https://www.tw.coupang.com/products/Tingall-17-%E7%B4%9A-High-Kalimba-Simplewood-21006875510753?itemId=21016461650711&vendorItemId=21083651678323&sourceType=search&rank=11&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
Tingall Clear 17 Sound Haibara Kalimba Type 4,$412,https://www.tw.coupang.com/products/Tingall-Clear-17-Sound-Haibara-Kalimba-Type-4-21006875510742?itemId=21016461650689&vendorItemId=21083651678331&sourceType=search&rank=12&searchId=56bb6c98bc484df4a22ced43a8e82cc8&q=quisition
