product_name,product_price,product_url
"NutriD-Day 高濃度血橙亮白錠, 90顆, 1罐",$167,https://www.tw.coupang.com/products/NutriD-Day-%E9%AB%98%E6%BF%83%E5%BA%A6%E8%A1%80%E6%A9%99%E4%BA%AE%E7%99%BD%E9%8C%A0-21007505873118?itemId=21013944725054&vendorItemId=21081193981774&sourceType=search&rank=&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"nutricost HMB 1000mg膠囊, 120顆, 1罐",$396,https://www.tw.coupang.com/products/nutricost-HMB-1000mg%E8%86%A0%E5%9B%8A-21006834095671?itemId=21014018527478&vendorItemId=21081267058230&sourceType=search&rank=1&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"Medi-Peel 勝肽 9 容量多效合一精華液專業版, 100ml, 1個",$448,https://www.tw.coupang.com/products/Medi-Peel-%E5%8B%9D%E8%82%BD-9-%E5%AE%B9%E9%87%8F%E5%A4%9A%E6%95%88%E5%90%88%E4%B8%80%E7%B2%BE%E8%8F%AF%E6%B6%B2%E5%B0%88%E6%A5%AD%E7%89%88-21007953211466?itemId=21021962620960&vendorItemId=21086941919568&sourceType=search&rank=2&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"VITALBEAUTIE 纖活錠, 37.8g, 1瓶",$595,https://www.tw.coupang.com/products/VITALBEAUTIE-%E7%BA%96%E6%B4%BB%E9%8C%A0-21001654499273?itemId=21002818741628&vendorItemId=21079530596462&sourceType=search&rank=3&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"nutricost TUDCA膠囊 250mg, 2罐, 60顆","$1,709",https://www.tw.coupang.com/products/nutricost-TUDCA%E8%86%A0%E5%9B%8A-250mg-21000216731377?itemId=21014685739148&vendorItemId=21081926650380&sourceType=search&rank=4&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"nutricost White Kidney Bean膠囊 650mg, 1個, 120 件",$380,https://www.tw.coupang.com/products/nutricost-White-Kidney-Bean%E8%86%A0%E5%9B%8A-650mg-21006907975721?itemId=21002292056528&vendorItemId=21081267095921&sourceType=search&rank=5&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"NutriD-Day Xanthigen身材管理保健膠囊, 30顆, 2罐",$602,https://www.tw.coupang.com/products/NutriD-Day-Xanthigen%E8%BA%AB%E6%9D%90%E7%AE%A1%E7%90%86%E4%BF%9D%E5%81%A5%E8%86%A0%E5%9B%8A-21007761538579?itemId=21020931739337&vendorItemId=21075665400534&sourceType=search&rank=6&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"NutriD-Day 膠原蛋白生物素補充錠, 60顆, 1瓶",$250,https://www.tw.coupang.com/products/NutriD-Day-%E8%86%A0%E5%8E%9F%E8%9B%8B%E7%99%BD%E7%94%9F%E7%89%A9%E7%B4%A0%E8%A3%9C%E5%85%85%E9%8C%A0-21007576128309?itemId=21019990017317&vendorItemId=21080594709003&sourceType=search&rank=7&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"nutricost 蛋白質保健食品膠囊 500mg, 120 入, 1個",$458,https://www.tw.coupang.com/products/nutricost-%E8%9B%8B%E7%99%BD%E8%B3%AA%E4%BF%9D%E5%81%A5%E9%A3%9F%E5%93%81%E8%86%A0%E5%9B%8A-500mg-21000216731400?itemId=21000666485002&vendorItemId=21004722785877&sourceType=search&rank=8&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
"nutricost 蛋白質保健膠囊 750mg, 180 入, 1個",$414,https://www.tw.coupang.com/products/nutricost-%E8%9B%8B%E7%99%BD%E8%B3%AA%E4%BF%9D%E5%81%A5%E8%86%A0%E5%9B%8A-750mg-21000216731445?itemId=21000666485131&vendorItemId=21004722786194&sourceType=search&rank=9&searchId=e7705ca8d77249dfa7a870e55a09fff8&q=retribu
