product_name,product_price,product_url
"MERYTHOD 閃亮水光唇油, 04 Starlet Coral, 3.5ml, 1支",$248,https://www.tw.coupang.com/products/MERYTHOD-%E9%96%83%E4%BA%AE%E6%B0%B4%E5%85%89%E5%94%87%E6%B2%B9-21007197120547?itemId=21018183585274&vendorItemId=21085332539776&sourceType=search&rank=&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
JACKID 男童 Starlet 衛衣,$324,https://www.tw.coupang.com/products/JACKID-%E7%94%B7%E7%AB%A5-Starlet-%E8%A1%9B%E8%A1%A3-21006710859746?itemId=21015579492768&vendorItemId=21082798562240&sourceType=search&rank=1&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"施華洛世奇美甲石 2494 Starlet 美甲零件 6 毫米 7 件, AB, 1個",$166,https://www.tw.coupang.com/products/%E6%96%BD%E8%8F%AF%E6%B4%9B%E4%B8%96%E5%A5%87%E7%BE%8E%E7%94%B2%E7%9F%B3-2494-Starlet-%E7%BE%8E%E7%94%B2%E9%9B%B6%E4%BB%B6-6-%E6%AF%AB%E7%B1%B3-7-%E4%BB%B6-21005471798704?itemId=21008410412740&vendorItemId=21075698053273&sourceType=search&rank=2&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
Fellowes 斐樂 塑料環裝訂機 Starlet2+ 120,"$2,117",https://www.tw.coupang.com/products/Fellowes-%E6%96%90%E6%A8%82-%E5%A1%91%E6%96%99%E7%92%B0%E8%A3%9D%E8%A8%82%E6%A9%9F-Starlet2%2B-120-21000000955871?itemId=21000003948791&vendorItemId=21003004730609&sourceType=search&rank=3&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"MERYTHOD 閃亮水光唇油, 04 Starlet Coral, 3.5ml, 2支",$496,https://www.tw.coupang.com/products/MERYTHOD-%E9%96%83%E4%BA%AE%E6%B0%B4%E5%85%89%E5%94%87%E6%B2%B9-21007197120547?itemId=21019171172113&vendorItemId=21086289371432&sourceType=search&rank=4&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"MERYTHOD 閃亮水光唇油, 04 Starlet Coral, 3.5ml, 5支","$1,204",https://www.tw.coupang.com/products/MERYTHOD-%E9%96%83%E4%BA%AE%E6%B0%B4%E5%85%89%E5%94%87%E6%B2%B9-21007197120547?itemId=21019171167606&vendorItemId=21086289366961&sourceType=search&rank=5&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"MERYTHOD 閃亮水光唇油, 04 Starlet Coral, 3.5ml, 3支",$732,https://www.tw.coupang.com/products/MERYTHOD-%E9%96%83%E4%BA%AE%E6%B0%B4%E5%85%89%E5%94%87%E6%B2%B9-21007197120547?itemId=21019171172185&vendorItemId=21086289371506&sourceType=search&rank=6&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"MERYTHOD 閃亮水光唇油, 04 Starlet Coral, 3.5ml, 6支","$1,440",https://www.tw.coupang.com/products/MERYTHOD-%E9%96%83%E4%BA%AE%E6%B0%B4%E5%85%89%E5%94%87%E6%B2%B9-21007197120547?itemId=21019171167741&vendorItemId=21086289367136&sourceType=search&rank=7&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"MERYTHOD 閃亮水光唇油, 04 Starlet Coral, 3.5ml, 4支",$968,https://www.tw.coupang.com/products/MERYTHOD-%E9%96%83%E4%BA%AE%E6%B0%B4%E5%85%89%E5%94%87%E6%B2%B9-21007197120547?itemId=21019171167635&vendorItemId=21086289367003&sourceType=search&rank=8&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"womanizer 女性成人情趣玩具 紫色+潤滑凝膠 2入, 1個, 紫色","$2,356",https://www.tw.coupang.com/products/womanizer-%E5%A5%B3%E6%80%A7%E6%88%90%E4%BA%BA%E6%83%85%E8%B6%A3%E7%8E%A9%E5%85%B7-%E7%B4%AB%E8%89%B2%2B%E6%BD%A4%E6%BB%91%E5%87%9D%E8%86%A0-2%E5%85%A5-21006595173891?itemId=21014898457093&vendorItemId=21082137206186&sourceType=search&rank=9&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"PENTHOUSE 雙面 Heather Starlet 男位置裝置 + 小凝膠 20ml, 混色, 1套","$1,316",https://www.tw.coupang.com/products/PENTHOUSE-%E9%9B%99%E9%9D%A2-Heather-Starlet-%E7%94%B7%E4%BD%8D%E7%BD%AE%E8%A3%9D%E7%BD%AE-%2B-%E5%B0%8F%E5%87%9D%E8%86%A0-20ml-21000035827524?itemId=21000133026740&vendorItemId=21003279874414&sourceType=search&rank=10&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"Kwailnara Scent Dreamer 護手霜 Shine Starlet, 80ml, 1個",$33,https://www.tw.coupang.com/products/Kwailnara-Scent-Dreamer-%E8%AD%B7%E6%89%8B%E9%9C%9C-Shine-Starlet-21007312969079?itemId=21018738827421&vendorItemId=21085871152988&sourceType=search&rank=11&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"MERYTHOD 雙色漸層眼影棒組 4款 各2入, 01 Golden Hazel, Royal Beige, Mauve Petal, Starlet Coral, 1組","$1,923",https://www.tw.coupang.com/products/MERYTHOD-%E9%9B%99%E8%89%B2%E6%BC%B8%E5%B1%A4%E7%9C%BC%E5%BD%B1%E6%A3%92%E7%B5%84-4%E6%AC%BE-%E5%90%842%E5%85%A5-21006060630149?itemId=21011142882952&vendorItemId=21078421288954&sourceType=search&rank=12&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"Kwailnara Scent Dreamer 護手霜 Shine Starlet, 80ml, 2個",$68,https://www.tw.coupang.com/products/Kwailnara-Scent-Dreamer-%E8%AD%B7%E6%89%8B%E9%9C%9C-Shine-Starlet-21007312969079?itemId=21018839794617&vendorItemId=21085969516460&sourceType=search&rank=13&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"施華洛世奇美甲石 2494 Starlet 美甲零件 6 毫米 7 件, 輕暹羅, 1個",$166,https://www.tw.coupang.com/products/%E6%96%BD%E8%8F%AF%E6%B4%9B%E4%B8%96%E5%A5%87%E7%BE%8E%E7%94%B2%E7%9F%B3-2494-Starlet-%E7%BE%8E%E7%94%B2%E9%9B%B6%E4%BB%B6-6-%E6%AF%AB%E7%B1%B3-7-%E4%BB%B6-21008215624704?itemId=21008410412739&vendorItemId=21075698053246&sourceType=search&rank=14&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"Intercolor 漂亮的指甲花美甲, 308 Starlet Berry, 5份",$103,https://www.tw.coupang.com/products/Intercolor-%E6%BC%82%E4%BA%AE%E7%9A%84%E6%8C%87%E7%94%B2%E8%8A%B1%E7%BE%8E%E7%94%B2-21000102025755?itemId=21000310850851&vendorItemId=21003765304699&sourceType=search&rank=15&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"Kwailnara Scent Dreamer 護手霜 Shine Starlet, 80ml, 3個",$101,https://www.tw.coupang.com/products/Kwailnara-Scent-Dreamer-%E8%AD%B7%E6%89%8B%E9%9C%9C-Shine-Starlet-21007312969079?itemId=21018839794762&vendorItemId=21085969516595&sourceType=search&rank=16&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"Kwailnara Scent Dreamer 護手霜 Shine Starlet, 80ml, 6個",$203,https://www.tw.coupang.com/products/Kwailnara-Scent-Dreamer-%E8%AD%B7%E6%89%8B%E9%9C%9C-Shine-Starlet-21007312969079?itemId=21018839802641&vendorItemId=21085969524087&sourceType=search&rank=17&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
"Kwailnara Scent Dreamer 護手霜 Shine Starlet, 80ml, 4個",$135,https://www.tw.coupang.com/products/Kwailnara-Scent-Dreamer-%E8%AD%B7%E6%89%8B%E9%9C%9C-Shine-Starlet-21007312969079?itemId=21018839802231&vendorItemId=21085969523655&sourceType=search&rank=18&searchId=893318b7d4b94a47a9316dd843585507&q=starlet
