product_name,product_price,product_url
"TAKARA TOMY first order special forces tie fighter TSW-05, 1個",$123,https://www.tw.coupang.com/products/TAKARA-TOMY-first-order-special-forces-tie-fighter-TSW-05-326214711492608?itemId=326214711492609&vendorItemId=326214711443457&sourceType=search&rank=&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"hp 碳粉 W2310A 215A 碳粉 M155A NW M182N M183FW, 黑色的, 1個","$1,676",https://www.tw.coupang.com/products/hp-%E7%A2%B3%E7%B2%89-W2310A-215A-%E7%A2%B3%E7%B2%89-M155A-NW-M182N-M183FW-21005100099320?itemId=21006946722626&vendorItemId=21074239225125&sourceType=search&rank=1&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"R4U Modern Curve Long Water Stop 深灰色 1.5L, 1個",$317,https://www.tw.coupang.com/products/R4U-Modern-Curve-Long-Water-Stop-%E6%B7%B1%E7%81%B0%E8%89%B2-1.5L-21007091069930?itemId=21017670912574&vendorItemId=21084836297227&sourceType=search&rank=2&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"Kitchen-Art Coco Multipot 1.5L, KP-1002FT",$407,https://www.tw.coupang.com/products/Kitchen-Art-Coco-Multipot-1.5L-21005803260444?itemId=21009959978403&vendorItemId=21077243127121&sourceType=search&rank=3&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"hp No.202X 大容量原裝碳粉 CF501X, 藍色, 1個","$3,381",https://www.tw.coupang.com/products/hp-No.202X-%E5%A4%A7%E5%AE%B9%E9%87%8F%E5%8E%9F%E8%A3%9D%E7%A2%B3%E7%B2%89-CF501X-21000110814721?itemId=21000333966860&vendorItemId=21003819572095&sourceType=search&rank=4&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"Canon 佳能 CRG-416C 原裝碳粉, 青色, 1個","$1,655",https://www.tw.coupang.com/products/Canon-%E4%BD%B3%E8%83%BD-CRG-416C-%E5%8E%9F%E8%A3%9D%E7%A2%B3%E7%B2%89-21000001640976?itemId=21000007149142&vendorItemId=21003009565302&sourceType=search&rank=5&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"Canon 佳能 CRG-416Y 原裝碳粉, 1個, 黃色的","$1,679",https://www.tw.coupang.com/products/Canon-%E4%BD%B3%E8%83%BD-CRG-416Y-%E5%8E%9F%E8%A3%9D%E7%A2%B3%E7%B2%89-21000001640978?itemId=21000007149144&vendorItemId=21003009565306&sourceType=search&rank=6&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"Canon大容量非原裝碳粉 CRG-045H, 藍色, 1個",$348,https://www.tw.coupang.com/products/Canon%E5%A4%A7%E5%AE%B9%E9%87%8F%E9%9D%9E%E5%8E%9F%E8%A3%9D%E7%A2%B3%E7%B2%89-CRG-045H-21001335649237?itemId=21002361421349&vendorItemId=21070357785191&sourceType=search&rank=7&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"【Coupang進口】Coluna Denmark Memory Foam Spine Pillow Cushion Pillow, 白色, 1個",$402,https://www.tw.coupang.com/products/%E3%80%90Coupang%E9%80%B2%E5%8F%A3%E3%80%91Coluna-Denmark-Memory-Foam-Spine-Pillow-Cushion-Pillow-21006090191773?itemId=21011348127306&vendorItemId=21078624539613&sourceType=search&rank=8&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
"Jeil Electric Industrial Adonis Switch Black Pearl 1-ro 5-ball 2 pcs., 1個",$983,https://www.tw.coupang.com/products/Jeil-Electric-Industrial-Adonis-Switch-Black-Pearl-1-ro-5-ball-2-pcs.-21006269376804?itemId=21012812745669&vendorItemId=21080078660999&sourceType=search&rank=9&searchId=90cabc7fb3c64fe6ad3f272648d61a6d&q=stealth%20fighter
