product_name,product_price,product_url
"Dailylike 矽膠擋水板, 北極熊款, 1個",$406,https://www.tw.coupang.com/products/Dailylike-%E7%9F%BD%E8%86%A0%E6%93%8B%E6%B0%B4%E6%9D%BF-252673307672578?itemId=252672179421187&vendorItemId=252672179421184&sourceType=search&rank=&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"字母流理臺防濺擋水板, Enjoy Style 透明色, 1個",$194,https://www.tw.coupang.com/products/%E5%AD%97%E6%AF%8D%E6%B5%81%E7%90%86%E8%87%BA%E9%98%B2%E6%BF%BA%E6%93%8B%E6%B0%B4%E6%9D%BF-263530632675331?itemId=263530632675333&vendorItemId=263529726722048&sourceType=search&rank=1&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"incoc 矽膠防水擋板, 淺褐色, 1份",$276,https://www.tw.coupang.com/products/incoc-%E7%9F%BD%E8%86%A0%E9%98%B2%E6%B0%B4%E6%93%8B%E6%9D%BF-21005030373673?itemId=21006756302682&vendorItemId=21074049166625&sourceType=search&rank=2&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"Dailylike 矽膠擋水板 50*6*13.6cm, 1個, 藍灰色",$450,https://www.tw.coupang.com/products/Dailylike-%E7%9F%BD%E8%86%A0%E6%93%8B%E6%B0%B4%E6%9D%BF-50*6*13.6cm-246116872323080?itemId=246115135864832&vendorItemId=246116054450182&sourceType=search&rank=3&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"樓梯安全防護網, 1個, 白色的",$351,https://www.tw.coupang.com/products/%E6%A8%93%E6%A2%AF%E5%AE%89%E5%85%A8%E9%98%B2%E8%AD%B7%E7%B6%B2-21006123653237?itemId=21011625587855&vendorItemId=21078900214493&sourceType=search&rank=4&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"Saenghwalgongsik 安全方形網狀洗衣網三件套, 白色, 1組",$164,https://www.tw.coupang.com/products/Saenghwalgongsik-%E5%AE%89%E5%85%A8%E6%96%B9%E5%BD%A2%E7%B6%B2%E7%8B%80%E6%B4%97%E8%A1%A3%E7%B6%B2%E4%B8%89%E4%BB%B6%E5%A5%97-21008035185568?itemId=21022479185539&vendorItemId=21090189422315&sourceType=search&rank=5&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"矽膠門擋, 2入, 藍色",$227,https://www.tw.coupang.com/products/%E7%9F%BD%E8%86%A0%E9%96%80%E6%93%8B-21006512374290?itemId=21014389642357&vendorItemId=21081633900172&sourceType=search&rank=6&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"Dailylike 矽膠擋水板, 北極熊款, 1個",$367,https://www.tw.coupang.com/products/Dailylike-%E7%9F%BD%E8%86%A0%E6%93%8B%E6%B0%B4%E6%9D%BF-21005876534373?itemId=21010296092331&vendorItemId=21077578454048&sourceType=search&rank=7&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"BAZAR後蓋範網2p, 白色的",$80,https://www.tw.coupang.com/products/BAZAR%E5%BE%8C%E8%93%8B%E7%AF%84%E7%B6%B22p-21000132508238?itemId=21000389706024&vendorItemId=21083809921117&sourceType=search&rank=8&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"Dailylike 矽膠擋水板 50*6*13.6cm, 灰色鯨魚款, 1個",$455,https://www.tw.coupang.com/products/Dailylike-%E7%9F%BD%E8%86%A0%E6%93%8B%E6%B0%B4%E6%9D%BF-50*6*13.6cm-252673030848527?itemId=252671227281408&vendorItemId=252672179421195&sourceType=search&rank=9&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"矽膠門擋, 4入, 綠色",$191,https://www.tw.coupang.com/products/%E7%9F%BD%E8%86%A0%E9%96%80%E6%93%8B-21006518036667?itemId=21014428382275&vendorItemId=21081672146289&sourceType=search&rank=10&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"Kotech 門擋2入組, 3組, 透明",$104,https://www.tw.coupang.com/products/Kotech-%E9%96%80%E6%93%8B2%E5%85%A5%E7%B5%84-21000093461298?itemId=21000289691972&vendorItemId=21003712283977&sourceType=search&rank=11&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"家庭多功能網, 棕色的, 1個",$98,https://www.tw.coupang.com/products/%E5%AE%B6%E5%BA%AD%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%B6%B2-21000154432674?itemId=21000445285876&vendorItemId=21004102810913&sourceType=search&rank=12&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"多功能彈性網 35*35cm, 紅色, 1入",$145,https://www.tw.coupang.com/products/%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%BD%88%E6%80%A7%E7%B6%B2-35*35cm-21000151844276?itemId=21000438365029&vendorItemId=21004083882968&sourceType=search&rank=13&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"stopia Decos Inn Punching低打孔網絡, 銀色",$210,https://www.tw.coupang.com/products/stopia-Decos-Inn-Punching%E4%BD%8E%E6%89%93%E5%AD%94%E7%B6%B2%E7%B5%A1-21006610882236?itemId=21014989714067&vendorItemId=21082212686395&sourceType=search&rank=14&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"防墜落安全網, 白色, 1個",$509,https://www.tw.coupang.com/products/%E9%98%B2%E5%A2%9C%E8%90%BD%E5%AE%89%E5%85%A8%E7%B6%B2-21006211216588?itemId=21012381711776&vendorItemId=21079651421134&sourceType=search&rank=15&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"MKZONE 多功能網, 棕色, 2個",$112,https://www.tw.coupang.com/products/MKZONE-%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%B6%B2-21007723394636?itemId=21020734049670&vendorItemId=21087804599869&sourceType=search&rank=16&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
"ABM 門擋 s-1354, 單色, 10入",$376,https://www.tw.coupang.com/products/ABM-%E9%96%80%E6%93%8B-s-1354-21005151615653?itemId=21007079353688&vendorItemId=21074371348949&sourceType=search&rank=17&searchId=1e8e5339373149c1bb0b4aa2740e6a78&q=t%E5%AD%97%E7%B6%B2%E6%93%8B
