product_name,product_price,product_url
"Relove 瞬淨Ku溜零毛髮霜, 80ml, 1條",$553,https://www.tw.coupang.com/products/Relove-%E7%9E%AC%E6%B7%A8Ku%E6%BA%9C%E9%9B%B6%E6%AF%9B%E9%AB%AE%E9%9C%9C-149336054808584?itemId=149336419696642&vendorItemId=149336415502341&sourceType=search&rank=&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"treatroom 6X Cream免沖洗護髮霜, 1條, 100ml",$176,https://www.tw.coupang.com/products/treatroom-6X-Cream%E5%85%8D%E6%B2%96%E6%B4%97%E8%AD%B7%E9%AB%AE%E9%9C%9C-21007553759100?itemId=21019885173685&vendorItemId=21003563652940&sourceType=search&rank=1&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"DASHU 每日護髮霜, 150ml, 1條",$254,https://www.tw.coupang.com/products/DASHU-%E6%AF%8F%E6%97%A5%E8%AD%B7%E9%AB%AE%E9%9C%9C-21006962284500?itemId=21002686171137&vendorItemId=21070676652037&sourceType=search&rank=2&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"J'SOOP 水光潤澤護髮精華油, 100ml, 1瓶",$360,https://www.tw.coupang.com/products/J'SOOP-%E6%B0%B4%E5%85%89%E6%BD%A4%E6%BE%A4%E8%AD%B7%E9%AB%AE%E7%B2%BE%E8%8F%AF%E6%B2%B9-21001123845236?itemId=21002089831010&vendorItemId=21070088792654&sourceType=search&rank=3&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"treatroom 玻尿酸保濕霜, 155ml, 1個",$169,https://www.tw.coupang.com/products/treatroom-%E7%8E%BB%E5%B0%BF%E9%85%B8%E4%BF%9D%E6%BF%95%E9%9C%9C-21007523262109?itemId=21019736157610&vendorItemId=21086839967611&sourceType=search&rank=4&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"treatroom 玻尿酸積雪草護理霜, 155ml, 1個",$165,https://www.tw.coupang.com/products/treatroom-%E7%8E%BB%E5%B0%BF%E9%85%B8%E7%A9%8D%E9%9B%AA%E8%8D%89%E8%AD%B7%E7%90%86%E9%9C%9C-21007525022947?itemId=21019744688304&vendorItemId=21086848311678&sourceType=search&rank=5&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"MACKLIN Head Spa水潤護髮素, 2個, 200ml",$302,https://www.tw.coupang.com/products/MACKLIN-Head-Spa%E6%B0%B4%E6%BD%A4%E8%AD%B7%E9%AB%AE%E7%B4%A0-21006224546804?itemId=21012475370525&vendorItemId=21079744191127&sourceType=search&rank=6&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"Prreti 保濕護髮霜, 150g, 1個",$167,https://www.tw.coupang.com/products/Prreti-%E4%BF%9D%E6%BF%95%E8%AD%B7%E9%AB%AE%E9%9C%9C-21007268592583?itemId=21018531773565&vendorItemId=21086149611943&sourceType=search&rank=7&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"NARD Bouquet Garni Damage RX 護理, 1個, 500ml",$477,https://www.tw.coupang.com/products/NARD-Bouquet-Garni-Damage-RX-%E8%AD%B7%E7%90%86-21008131006588?itemId=21023090797204&vendorItemId=21090124229020&sourceType=search&rank=8&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"NARD Bouquet Garni Damage RX 護髮精華, 70ml, 1個",$381,https://www.tw.coupang.com/products/NARD-Bouquet-Garni-Damage-RX-%E8%AD%B7%E9%AB%AE%E7%B2%BE%E8%8F%AF-21008130993539?itemId=21023090745122&vendorItemId=21090124176916&sourceType=search&rank=9&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"athe' VitalC亮白膠囊精華水, 1個, 130ml",$472,https://www.tw.coupang.com/products/athe'-VitalC%E4%BA%AE%E7%99%BD%E8%86%A0%E5%9B%8A%E7%B2%BE%E8%8F%AF%E6%B0%B4-21007188919457?itemId=21018146172913&vendorItemId=21085296525189&sourceType=search&rank=10&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"LIFENET 護髮精華乳, 1個, 150ml",$288,https://www.tw.coupang.com/products/LIFENET-%E8%AD%B7%E9%AB%AE%E7%B2%BE%E8%8F%AF%E4%B9%B3-21006840729050?itemId=21016265822432&vendorItemId=21083458616674&sourceType=search&rank=11&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"SAM'U 水到安瓿頭髮護理, 1個, 200ml",$847,https://www.tw.coupang.com/products/SAM'U-%E6%B0%B4%E5%88%B0%E5%AE%89%E7%93%BF%E9%A0%AD%E9%AB%AE%E8%AD%B7%E7%90%86-21007866646967?itemId=21021478685080&vendorItemId=21088763907611&sourceType=search&rank=12&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"Scandipop Scandia Moss Canvas Spring Green 巴黎, 1個",$757,https://www.tw.coupang.com/products/Scandipop-Scandia-Moss-Canvas-Spring-Green-%E5%B7%B4%E9%BB%8E-21006056199857?itemId=21011118224841&vendorItemId=21078396967991&sourceType=search&rank=13&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"E STANDARD 奢華護髮油, 50ml, 1瓶",$876,https://www.tw.coupang.com/products/E-STANDARD-%E5%A5%A2%E8%8F%AF%E8%AD%B7%E9%AB%AE%E6%B2%B9-151869284384781?itemId=151868911108110&vendorItemId=151869284384770&sourceType=search&rank=14&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"REUZEL 每日護髮素, 1瓶, 100ml",$376,https://www.tw.coupang.com/products/REUZEL-%E6%AF%8F%E6%97%A5%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000133132935?itemId=21000391377522&vendorItemId=21005292002439&sourceType=search&rank=15&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"SAM'U PH 敏感臉部護理, 50ml, 1個",$940,https://www.tw.coupang.com/products/SAM'U-PH-%E6%95%8F%E6%84%9F%E8%87%89%E9%83%A8%E8%AD%B7%E7%90%86-21007842759308?itemId=21021354470880&vendorItemId=21088412073663&sourceType=search&rank=16&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"JOICO 保濕護髮素, 1個, 50ml",$225,https://www.tw.coupang.com/products/JOICO-%E4%BF%9D%E6%BF%95%E8%AD%B7%E9%AB%AE%E7%B4%A0-21008208230649?itemId=21000294786011&vendorItemId=21003725297632&sourceType=search&rank=17&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"BOUQUET GARNI Nad Damage RX 免沖洗處理, 100ml, 1個",$381,https://www.tw.coupang.com/products/BOUQUET-GARNI-Nad-Damage-RX-%E5%85%8D%E6%B2%96%E6%B4%97%E8%99%95%E7%90%86-21008131098365?itemId=21023091180278&vendorItemId=21090124609124&sourceType=search&rank=18&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"NARD Bouquet Garni Damage RX 強化護理, 180ml, 1個",$429,https://www.tw.coupang.com/products/NARD-Bouquet-Garni-Damage-RX-%E5%BC%B7%E5%8C%96%E8%AD%B7%E7%90%86-21008131010251?itemId=21023090811069&vendorItemId=21090124242784&sourceType=search&rank=19&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"R+Co PARK AVE護髮霜, 1個, 147ml",$652,https://www.tw.coupang.com/products/R%2BCo-PARK-AVE%E8%AD%B7%E9%AB%AE%E9%9C%9C-21006374938367?itemId=21013518600287&vendorItemId=21080772577221&sourceType=search&rank=20&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"ReEn Jayoon 光澤增強護理, 1個, 200ml",$143,https://www.tw.coupang.com/products/ReEn-Jayoon-%E5%85%89%E6%BE%A4%E5%A2%9E%E5%BC%B7%E8%AD%B7%E7%90%86-21007829919441?itemId=21021293273547&vendorItemId=21088353131264&sourceType=search&rank=21&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"Mane 'n Tail 保濕護髮乳, 1入, 355ml",$312,https://www.tw.coupang.com/products/Mane-'n-Tail-%E4%BF%9D%E6%BF%95%E8%AD%B7%E9%AB%AE%E4%B9%B3-21000001158106?itemId=21000004994416&vendorItemId=21003255635641&sourceType=search&rank=22&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"Dr.Twenty project 護髮油, 1個, 95ml",$641,https://www.tw.coupang.com/products/Dr.Twenty-project-%E8%AD%B7%E9%AB%AE%E6%B2%B9-21006320644254?itemId=21013171157305&vendorItemId=21080429822529&sourceType=search&rank=23&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"Gelcure Peel Serum Face Herb Fragrance, 5ml, 1入",$208,https://www.tw.coupang.com/products/Gelcure-Peel-Serum-Face-Herb-Fragrance-21006109281966?itemId=21002543960288&vendorItemId=21003597674331&sourceType=search&rank=24&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"NUABELINE 亮澤護髮精華, 1個, 150ml",$230,https://www.tw.coupang.com/products/NUABELINE-%E4%BA%AE%E6%BE%A4%E8%AD%B7%E9%AB%AE%E7%B2%BE%E8%8F%AF-21006126856122?itemId=21012634440970&vendorItemId=21079902045333&sourceType=search&rank=25&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"豐盈舒緩補品, 1個, 100ml","$1,028",https://www.tw.coupang.com/products/%E8%B1%90%E7%9B%88%E8%88%92%E7%B7%A9%E8%A3%9C%E5%93%81-21007274985889?itemId=21018562528786&vendorItemId=21088753011740&sourceType=search&rank=26&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
"AHA配方護髮霜, 250ml, 1個",$358,https://www.tw.coupang.com/products/AHA%E9%85%8D%E6%96%B9%E8%AD%B7%E9%AB%AE%E9%9C%9C-21000212638778?itemId=21000239048076&vendorItemId=21003588618017&sourceType=search&rank=27&searchId=bda47ef795e74110bddbdb304276d996&q=une%20r
