product_name,product_price,product_url
"Kinyo 多合一旅行萬國轉接頭 MPP-3456, 1個",$419,https://www.tw.coupang.com/products/Kinyo-%E5%A4%9A%E5%90%88%E4%B8%80%E6%97%85%E8%A1%8C%E8%90%AC%E5%9C%8B%E8%BD%89%E6%8E%A5%E9%A0%AD-MPP-3456-451534743633921?itemId=451534743601155&vendorItemId=451534743617536&sourceType=search&rank=&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"Seoga 8pin耳機轉接線 3.5mm, 白色, 1個",$108,https://www.tw.coupang.com/products/Seoga-8pin%E8%80%B3%E6%A9%9F%E8%BD%89%E6%8E%A5%E7%B7%9A-3.5mm-21002346805467?itemId=21004069520186&vendorItemId=21072053599172&sourceType=search&rank=1&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"808STORE USB C 3.0轉USB A 3.0轉接頭, 黑色, 15cm, 1個",$136,https://www.tw.coupang.com/products/808STORE-USB-C-3.0%E8%BD%89USB-A-3.0%E8%BD%89%E6%8E%A5%E9%A0%AD-21006199547094?itemId=21012292193119&vendorItemId=21079562475647&sourceType=search&rank=2&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"Seoga 3.5mm+Type-c雙孔轉接頭, 白色的",$179,https://www.tw.coupang.com/products/Seoga-3.5mm%2BType-c%E9%9B%99%E5%AD%94%E8%BD%89%E6%8E%A5%E9%A0%AD-21005884475805?itemId=21010329582517&vendorItemId=21077611807502&sourceType=search&rank=3&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"duble d iPhone MFI 連接線 8pin, 1.2m, 金屬黑",$228,https://www.tw.coupang.com/products/duble-d-iPhone-MFI-%E9%80%A3%E6%8E%A5%E7%B7%9A-8pin-21006189729326?itemId=21012209155949&vendorItemId=21079480014867&sourceType=search&rank=4&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"NEXT USB 3.0轉RS-232轉接線 RS232U30, NEXT-RS232U30, 1條",$276,https://www.tw.coupang.com/products/NEXT-USB-3.0%E8%BD%89RS-232%E8%BD%89%E6%8E%A5%E7%B7%9A-RS232U30-21000001634748?itemId=21000007123772&vendorItemId=21003009529925&sourceType=search&rank=5&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"iETOP C 型轉 3.5mm 二合一轉接器 MH-CM33s, 1個, 單色",$477,https://www.tw.coupang.com/products/iETOP-C-%E5%9E%8B%E8%BD%89-3.5mm-%E4%BA%8C%E5%90%88%E4%B8%80%E8%BD%89%E6%8E%A5%E5%99%A8-MH-CM33s-21000333490892?itemId=21001065014859&vendorItemId=21090388868818&sourceType=search&rank=6&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"nexi HDMI2.0轉DVI金色金屬線 3m, 1條",$128,https://www.tw.coupang.com/products/nexi-HDMI2.0%E8%BD%89DVI%E9%87%91%E8%89%B2%E9%87%91%E5%B1%AC%E7%B7%9A-3m-21001801472783?itemId=21000803123624&vendorItemId=21005041125876&sourceType=search&rank=7&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"808 Fabric USB Type C轉3.5mm單耳機轉換性別, 12cm, 1個, 灰色",$110,https://www.tw.coupang.com/products/808-Fabric-USB-Type-C%E8%BD%893.5mm%E5%96%AE%E8%80%B3%E6%A9%9F%E8%BD%89%E6%8F%9B%E6%80%A7%E5%88%A5-21007052754095?itemId=21017466806645&vendorItemId=21084634540364&sourceType=search&rank=8&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"Anyport USB 3.0 轉 8pin OTG 公母, AP-IU30",$175,https://www.tw.coupang.com/products/Anyport-USB-3.0-%E8%BD%89-8pin-OTG-%E5%85%AC%E6%AF%8D-21006936748055?itemId=21016806607528&vendorItemId=21083987004276&sourceType=search&rank=9&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
"Kalron C-USB 3 連接埠性別 KC-3IN1 OTG, 1個, 24cm, 黑+紅",$239,https://www.tw.coupang.com/products/Kalron-C-USB-3-%E9%80%A3%E6%8E%A5%E5%9F%A0%E6%80%A7%E5%88%A5-KC-3IN1-OTG-21008214895497?itemId=21023594143258&vendorItemId=21090620009214&sourceType=search&rank=10&searchId=ecfa0921f0d9405e9e0938a4fcb7cf28&q=%E4%BA%8C%E5%90%88%E4%B8%80%E6%8E%A5%E5%8F%A3
