product_name,product_price,product_url
"Dr.P 包大人 看護墊 XL, 60*90cm, 8片, 6包",$415,https://www.tw.coupang.com/products/Dr.P-%E5%8C%85%E5%A4%A7%E4%BA%BA-%E7%9C%8B%E8%AD%B7%E5%A2%8A-XL-150841583435779?itemId=358973806952462&vendorItemId=358973806968841&sourceType=search&rank=&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"TROMSO 西班牙復古花磚陶瓷隔熱墊, C54, 1個",$90,https://www.tw.coupang.com/products/TROMSO-%E8%A5%BF%E7%8F%AD%E7%89%99%E5%BE%A9%E5%8F%A4%E8%8A%B1%E7%A3%9A%E9%99%B6%E7%93%B7%E9%9A%94%E7%86%B1%E5%A2%8A-168890797621248?itemId=168890336264196&vendorItemId=168890793426945&sourceType=search&rank=1&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"來復易 看護墊, 40*70cm, 10片, 3包",$176,https://www.tw.coupang.com/products/%E4%BE%86%E5%BE%A9%E6%98%93-%E7%9C%8B%E8%AD%B7%E5%A2%8A-303398301696005?itemId=371883530747907&vendorItemId=371883530715137&sourceType=search&rank=2&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"PMU 必美優 EVA 素色舒柔墊 4片, 藍色, 1組",$392,https://www.tw.coupang.com/products/PMU-%E5%BF%85%E7%BE%8E%E5%84%AA-EVA-%E7%B4%A0%E8%89%B2%E8%88%92%E6%9F%94%E5%A2%8A-4%E7%89%87-167047497482241?itemId=167046578913280&vendorItemId=167047497482240&sourceType=search&rank=3&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"PMU 必美優 EVA舒柔墊 10片, 動物款, 1組",$211,https://www.tw.coupang.com/products/PMU-%E5%BF%85%E7%BE%8E%E5%84%AA-EVA%E8%88%92%E6%9F%94%E5%A2%8A-10%E7%89%87-154012414328837?itemId=154012812820486&vendorItemId=154012414328833&sourceType=search&rank=4&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"包如意 加強型 看護墊, 70 x 40cm, 20片, 12包",$772,https://www.tw.coupang.com/products/%E5%8C%85%E5%A6%82%E6%84%8F-%E5%8A%A0%E5%BC%B7%E5%9E%8B-%E7%9C%8B%E8%AD%B7%E5%A2%8A-456644194435074?itemId=456644194418691&vendorItemId=456644194418690&sourceType=search&rank=5&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"TROMSO 西班牙復古花磚陶瓷隔熱墊, T34, 1個",$146,https://www.tw.coupang.com/products/TROMSO-%E8%A5%BF%E7%8F%AD%E7%89%99%E5%BE%A9%E5%8F%A4%E8%8A%B1%E7%A3%9A%E9%99%B6%E7%93%B7%E9%9A%94%E7%86%B1%E5%A2%8A-168890189463553?itemId=168890646626306&vendorItemId=168890646626304&sourceType=search&rank=6&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"Kleannara Soonsoohanmyeon 護墊 18cm, 加長型, 70入, 1組",$151,https://www.tw.coupang.com/products/Kleannara-Soonsoohanmyeon-%E8%AD%B7%E5%A2%8A-18cm-21001414288990?itemId=21002329581738&vendorItemId=21070326157919&sourceType=search&rank=7&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"TROMSO 西班牙復古花磚陶瓷隔熱墊, T31, 1個",$139,https://www.tw.coupang.com/products/TROMSO-%E8%A5%BF%E7%8F%AD%E7%89%99%E5%BE%A9%E5%8F%A4%E8%8A%B1%E7%A3%9A%E9%99%B6%E7%93%B7%E9%9A%94%E7%86%B1%E5%A2%8A-168889866469376?itemId=168889866469377&vendorItemId=168890806009856&sourceType=search&rank=8&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"BEST GREEN 人造草皮 100*100cm P800, 1組",$304,https://www.tw.coupang.com/products/BEST-GREEN-%E4%BA%BA%E9%80%A0%E8%8D%89%E7%9A%AE-100*100cm-P800-21000005364091?itemId=21000024350088&vendorItemId=21003035877121&sourceType=search&rank=9&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"Leway 直型可更換成人護墊, 24*54cm(一字型), 30入, 1包",$148,https://www.tw.coupang.com/products/Leway-%E7%9B%B4%E5%9E%8B%E5%8F%AF%E6%9B%B4%E6%8F%9B%E6%88%90%E4%BA%BA%E8%AD%B7%E5%A2%8A-21007326593032?itemId=21019657468634&vendorItemId=21086763318896&sourceType=search&rank=10&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"AROMATICA 艾瑪植萃 可重複使用的竹棉墊, 5件, 1個",$236,https://www.tw.coupang.com/products/AROMATICA-%E8%89%BE%E7%91%AA%E6%A4%8D%E8%90%83-%E5%8F%AF%E9%87%8D%E8%A4%87%E4%BD%BF%E7%94%A8%E7%9A%84%E7%AB%B9%E6%A3%89%E5%A2%8A-21006771114699?itemId=21015898902809&vendorItemId=21083107006090&sourceType=search&rank=11&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"成人防水保潔墊 白色, 1張, 1組",$568,https://www.tw.coupang.com/products/%E6%88%90%E4%BA%BA%E9%98%B2%E6%B0%B4%E4%BF%9D%E6%BD%94%E5%A2%8A-%E7%99%BD%E8%89%B2-21000058201521?itemId=21000201969721&vendorItemId=21003626550017&sourceType=search&rank=12&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"JM Garden Terrace 人造草坪 30 x 30 cm 高度 2.5cm, 1個",$430,https://www.tw.coupang.com/products/JM-Garden-Terrace-%E4%BA%BA%E9%80%A0%E8%8D%89%E5%9D%AA-30-x-30-cm-%E9%AB%98%E5%BA%A6-2.5cm-21007235516064?itemId=21018370798479&vendorItemId=21085514305985&sourceType=search&rank=13&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"Nature Hike單人自產墊細6.0, 淺褐色","$1,896",https://www.tw.coupang.com/products/Nature-Hike%E5%96%AE%E4%BA%BA%E8%87%AA%E7%94%A2%E5%A2%8A%E7%B4%B06.0-21007709021423?itemId=21020659681559&vendorItemId=21087184893066&sourceType=search&rank=14&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"人造草 PX2000 50*300cm, 1個",$508,https://www.tw.coupang.com/products/%E4%BA%BA%E9%80%A0%E8%8D%89-PX2000-50*300cm-21001947295774?itemId=21003306232267&vendorItemId=21071293138189&sourceType=search&rank=15&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"人造草 PX2000 100*100cm, 1個",$437,https://www.tw.coupang.com/products/%E4%BA%BA%E9%80%A0%E8%8D%89-PX2000-100*100cm-21001296944737?itemId=21002309759404&vendorItemId=21070306580059&sourceType=search&rank=16&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"Depend 利清爽 男用成人護墊, 19cm, 24片, 1包",$149,https://www.tw.coupang.com/products/Depend-%E5%88%A9%E6%B8%85%E7%88%BD-%E7%94%B7%E7%94%A8%E6%88%90%E4%BA%BA%E8%AD%B7%E5%A2%8A-21007578905218?itemId=21020002571288&vendorItemId=21003702095418&sourceType=search&rank=17&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
"Edola 韓方草本護墊, 2入, 25入",$826,https://www.tw.coupang.com/products/Edola-%E9%9F%93%E6%96%B9%E8%8D%89%E6%9C%AC%E8%AD%B7%E5%A2%8A-21004961610519?itemId=21006573185542&vendorItemId=21073867212338&sourceType=search&rank=18&searchId=4ce4623af6ac47538107fbd07bcca6cf&q=%E4%BA%BA%E5%B7%A5%E8%8D%89%E5%A2%8A
