product_name,product_price,product_url
"Neogence 霓淨思 玻尿酸保濕滲透乳液, 50ml, 1瓶",$269,https://www.tw.coupang.com/products/Neogence-%E9%9C%93%E6%B7%A8%E6%80%9D-%E7%8E%BB%E5%B0%BF%E9%85%B8%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E4%B9%B3%E6%B6%B2-263891737083906?itemId=263890826936322&vendorItemId=263891737083905&sourceType=search&rank=&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"BAUSCH LOMB 博士倫 水漾清新多效保養液, 355ml, 1瓶",$112,https://www.tw.coupang.com/products/BAUSCH-LOMB-%E5%8D%9A%E5%A3%AB%E5%80%AB-%E6%B0%B4%E6%BC%BE%E6%B8%85%E6%96%B0%E5%A4%9A%E6%95%88%E4%BF%9D%E9%A4%8A%E6%B6%B2-164226073067520?itemId=164225179664399&vendorItemId=164226068873225&sourceType=search&rank=1&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"farcent 花仙子 小通 水管疏通膠, 880g, 1瓶",$72,https://www.tw.coupang.com/products/farcent-%E8%8A%B1%E4%BB%99%E5%AD%90-%E5%B0%8F%E9%80%9A-%E6%B0%B4%E7%AE%A1%E7%96%8F%E9%80%9A%E8%86%A0-257311872368643?itemId=257311872368644&vendorItemId=257310890868746&sourceType=search&rank=2&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"Avene 雅漾 舒護活泉水, 300ml, 3瓶",$470,https://www.tw.coupang.com/products/Avene-%E9%9B%85%E6%BC%BE-%E8%88%92%E8%AD%B7%E6%B4%BB%E6%B3%89%E6%B0%B4-268641647968259?itemId=212084277067777&vendorItemId=212085661204480&sourceType=search&rank=3&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"BAUSCH LOMB 博士倫 瑞霖 水漾清新多效保養液 355ml*1+120ml*1, 1組",$244,https://www.tw.coupang.com/products/BAUSCH-LOMB-%E5%8D%9A%E5%A3%AB%E5%80%AB-%E7%91%9E%E9%9C%96-%E6%B0%B4%E6%BC%BE%E6%B8%85%E6%96%B0%E5%A4%9A%E6%95%88%E4%BF%9D%E9%A4%8A%E6%B6%B2-355ml*1%2B120ml*1-164225179664392?itemId=164225636876298&vendorItemId=164225636876290&sourceType=search&rank=4&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"碧珍 強效排水管清潔劑, 2L, 1桶",$84,https://www.tw.coupang.com/products/%E7%A2%A7%E7%8F%8D-%E5%BC%B7%E6%95%88%E6%8E%92%E6%B0%B4%E7%AE%A1%E6%B8%85%E6%BD%94%E5%8A%91-283847283408913?itemId=153685963259910&vendorItemId=153686361751553&sourceType=search&rank=5&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"Neogence 霓淨思 玻尿酸舒活噴霧水, 300ml, 1瓶",$209,https://www.tw.coupang.com/products/Neogence-%E9%9C%93%E6%B7%A8%E6%80%9D-%E7%8E%BB%E5%B0%BF%E9%85%B8%E8%88%92%E6%B4%BB%E5%99%B4%E9%9C%A7%E6%B0%B4-263890873073673?itemId=263889853825035&vendorItemId=263890873073667&sourceType=search&rank=6&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"明星花露水 一號 大號水, 170ml, 1瓶",$95,https://www.tw.coupang.com/products/%E6%98%8E%E6%98%9F%E8%8A%B1%E9%9C%B2%E6%B0%B4-%E4%B8%80%E8%99%9F-%E5%A4%A7%E8%99%9F%E6%B0%B4-268903573864449?itemId=268904509177857&vendorItemId=268902529449984&sourceType=search&rank=7&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"明星花露水 經典噴式磅裝, 310ml, 1瓶",$154,https://www.tw.coupang.com/products/%E6%98%8E%E6%98%9F%E8%8A%B1%E9%9C%B2%E6%B0%B4-%E7%B6%93%E5%85%B8%E5%99%B4%E5%BC%8F%E7%A3%85%E8%A3%9D-287729317298181?itemId=287729317298182&vendorItemId=287730286166019&sourceType=search&rank=8&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
"KLAVUU 克拉優 藍珍珠 海洋八杯水 膠原保濕安瓶, 50ml, 1瓶",$287,https://www.tw.coupang.com/products/KLAVUU-%E5%85%8B%E6%8B%89%E5%84%AA-%E8%97%8D%E7%8F%8D%E7%8F%A0-%E6%B5%B7%E6%B4%8B%E5%85%AB%E6%9D%AF%E6%B0%B4-%E8%86%A0%E5%8E%9F%E4%BF%9D%E6%BF%95%E5%AE%89%E7%93%B6-286706796314644?itemId=286705739317256&vendorItemId=286706796314638&sourceType=search&rank=9&searchId=1047974e0bb84b86ab49c073d7d2fbd6&q=%E4%BF%9D%E6%BF%95%E6%BB%B2%E9%80%8F%E6%B0%B4
