product_name,product_price,product_url
"ENVIN Baby&Kids 神經醯胺積雪草嬰兒舒緩凝膠, 500ml, 1瓶",$288,https://www.tw.coupang.com/products/ENVIN-Baby%26Kids-%E7%A5%9E%E7%B6%93%E9%86%AF%E8%83%BA%E7%A9%8D%E9%9B%AA%E8%8D%89%E5%AC%B0%E5%85%92%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-230937417728027?itemId=230938164297756&vendorItemId=230936587223040&sourceType=search&rank=&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"MIP 鬍後修護凝膠, 65g, 1個",$393,https://www.tw.coupang.com/products/MIP-%E9%AC%8D%E5%BE%8C%E4%BF%AE%E8%AD%B7%E5%87%9D%E8%86%A0-151469378453505?itemId=151470133444610&vendorItemId=151469378453504&sourceType=search&rank=1&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"MIP 鬍後修護凝膠, 65g, 1入",$498,https://www.tw.coupang.com/products/MIP-%E9%AC%8D%E5%BE%8C%E4%BF%AE%E8%AD%B7%E5%87%9D%E8%86%A0-21006835089867?itemId=21003244417629&vendorItemId=21071231591357&sourceType=search&rank=2&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"Kim Jeong Moon 金正文 CURE 蘆薈凝膠 150ml*1條+強效EX修護霜 3.5g*2罐, 1組",$314,https://www.tw.coupang.com/products/Kim-Jeong-Moon-%E9%87%91%E6%AD%A3%E6%96%87-CURE-%E8%98%86%E8%96%88%E5%87%9D%E8%86%A0-150ml*1%E6%A2%9D%2B%E5%BC%B7%E6%95%88EX%E4%BF%AE%E8%AD%B7%E9%9C%9C-3.5g*2%E7%BD%90-21007490608029?itemId=21019586366386&vendorItemId=21071540539782&sourceType=search&rank=3&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"ENVIN Baby&Kids 神經醯胺積雪草嬰兒舒緩凝膠, 500ml, 2瓶",$576,https://www.tw.coupang.com/products/ENVIN-Baby%26Kids-%E7%A5%9E%E7%B6%93%E9%86%AF%E8%83%BA%E7%A9%8D%E9%9B%AA%E8%8D%89%E5%AC%B0%E5%85%92%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-230937417728027?itemId=394744517591041&vendorItemId=394744517574656&sourceType=search&rank=4&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"MIP 鬍後修護凝膠, 65g, 2個",$824,https://www.tw.coupang.com/products/MIP-%E9%AC%8D%E5%BE%8C%E4%BF%AE%E8%AD%B7%E5%87%9D%E8%86%A0-151469378453505?itemId=428065469431813&vendorItemId=428065469464576&sourceType=search&rank=5&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"Atopalm Kids Cica 蘆薈舒緩凝膠, 1入, 250ml",$239,https://www.tw.coupang.com/products/Atopalm-Kids-Cica-%E8%98%86%E8%96%88%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-21006426595002?itemId=21020563618397&vendorItemId=21081100788358&sourceType=search&rank=6&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"PAUL MEDISON 孩童舒緩凝膠, 1瓶, 510ml",$247,https://www.tw.coupang.com/products/PAUL-MEDISON-%E5%AD%A9%E7%AB%A5%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-21001583659924?itemId=21002707098173&vendorItemId=21070697374705&sourceType=search&rank=7&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"PHARM TREE 純淨舒緩凝膠, 125ml, 1條",$433,https://www.tw.coupang.com/products/PHARM-TREE-%E7%B4%94%E6%B7%A8%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-21000029023630?itemId=21000110992072&vendorItemId=21003217509274&sourceType=search&rank=8&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
"MIP 鬍後修護凝膠, 65g, 3個","$1,386",https://www.tw.coupang.com/products/MIP-%E9%AC%8D%E5%BE%8C%E4%BF%AE%E8%AD%B7%E5%87%9D%E8%86%A0-151469378453505?itemId=428065465237507&vendorItemId=428065465253890&sourceType=search&rank=9&searchId=26762b727fd4481191ce263d7ff41a27&q=%E4%BF%AE%E8%AD%B7%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0
