product_name,product_price,product_url
"Flyto 旅行小豬鼻子 220V 轉換 110V 插頭 1 E-9710, 44毫米, 3個",$119,https://www.tw.coupang.com/products/Flyto-%E6%97%85%E8%A1%8C%E5%B0%8F%E8%B1%AC%E9%BC%BB%E5%AD%90-220V-%E8%BD%89%E6%8F%9B-110V-%E6%8F%92%E9%A0%AD-1-E-9710-21007294517064?itemId=21018651601228&vendorItemId=21085786447903&sourceType=search&rank=&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Yoitch Type-C轉USB轉接器, 單色, 1個",$120,https://www.tw.coupang.com/products/Yoitch-Type-C%E8%BD%89USB%E8%BD%89%E6%8E%A5%E5%99%A8-21005049183372?itemId=21006807706131&vendorItemId=21074100376921&sourceType=search&rank=1&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"JUPAZIP 含USB孔旅行轉接頭, 1組",$540,https://www.tw.coupang.com/products/JUPAZIP-%E5%90%ABUSB%E5%AD%94%E6%97%85%E8%A1%8C%E8%BD%89%E6%8E%A5%E9%A0%AD-21001790506588?itemId=21003047146823&vendorItemId=21071035179514&sourceType=search&rank=2&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Seoga 3.5mm+Type-c雙孔轉接頭, 白色的",$179,https://www.tw.coupang.com/products/Seoga-3.5mm%2BType-c%E9%9B%99%E5%AD%94%E8%BD%89%E6%8E%A5%E9%A0%AD-21005884475805?itemId=21010329582517&vendorItemId=21077611807502&sourceType=search&rank=3&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"nexi USB 2.0 HDMI轉接器, NX-CAP02",$376,https://www.tw.coupang.com/products/nexi-USB-2.0-HDMI%E8%BD%89%E6%8E%A5%E5%99%A8-21004965323397?itemId=21006582468393&vendorItemId=21073876437983&sourceType=search&rank=4&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"轉接器 YE650A, TY-01016, 1個",$278,https://www.tw.coupang.com/products/%E8%BD%89%E6%8E%A5%E5%99%A8-YE650A-21005293735083?itemId=21007620687330&vendorItemId=21074911169558&sourceType=search&rank=5&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"HOHOO OTG轉接器 HMG-L005, 白色, 1入",$546,https://www.tw.coupang.com/products/HOHOO-OTG%E8%BD%89%E6%8E%A5%E5%99%A8-HMG-L005-21001349940488?itemId=21002378086810&vendorItemId=21070373635570&sourceType=search&rank=6&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"NEXT CAT 6 8P8C網路連接器 100入, NEXT-RJ45C6",$282,https://www.tw.coupang.com/products/NEXT-CAT-6-8P8C%E7%B6%B2%E8%B7%AF%E9%80%A3%E6%8E%A5%E5%99%A8-100%E5%85%A5-21001999028003?itemId=21003402257593&vendorItemId=21071388882037&sourceType=search&rank=7&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"anyclear USB TypeC轉HDMI+USB 3.0+PD轉接線, PDB-TCH10",$517,https://www.tw.coupang.com/products/anyclear-USB-TypeC%E8%BD%89HDMI%2BUSB-3.0%2BPD%E8%BD%89%E6%8E%A5%E7%B7%9A-21001380374569?itemId=21002414714184&vendorItemId=21070409084286&sourceType=search&rank=8&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"COSY 含2孔USB孔旅行轉接頭 TA3467U, 1個",$387,https://www.tw.coupang.com/products/COSY-%E5%90%AB2%E5%AD%94USB%E5%AD%94%E6%97%85%E8%A1%8C%E8%BD%89%E6%8E%A5%E9%A0%AD-TA3467U-21001316659754?itemId=21002335800091&vendorItemId=21070332435740&sourceType=search&rank=9&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"3合1 Tpye-C 轉接器 CA3, 混色, 1個",$602,https://www.tw.coupang.com/products/3%E5%90%881-Tpye-C-%E8%BD%89%E6%8E%A5%E5%99%A8-CA3-21004833106083?itemId=21006238984014&vendorItemId=21073534786920&sourceType=search&rank=10&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"VENTION 威迅 轉接頭, 單品",$225,https://www.tw.coupang.com/products/VENTION-%E5%A8%81%E8%BF%85-%E8%BD%89%E6%8E%A5%E9%A0%AD-21001762313416?itemId=21003001540074&vendorItemId=21070989787038&sourceType=search&rank=11&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"nexi USB 2.0 4 端口選擇器, NX-U241S",$348,https://www.tw.coupang.com/products/nexi-USB-2.0-4-%E7%AB%AF%E5%8F%A3%E9%81%B8%E6%93%87%E5%99%A8-21001945804998?itemId=21003303616492&vendorItemId=21071290531892&sourceType=search&rank=12&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"AlphaO 無帶瞬時線連接器 AC 5 種 x 10p 套組 2, 1套",$604,https://www.tw.coupang.com/products/AlphaO-%E7%84%A1%E5%B8%B6%E7%9E%AC%E6%99%82%E7%B7%9A%E9%80%A3%E6%8E%A5%E5%99%A8-AC-5-%E7%A8%AE-x-10p-%E5%A5%97%E7%B5%84-2-21001666837369?itemId=21002840042448&vendorItemId=21074499693343&sourceType=search&rank=13&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"COSY 含USB/Type-C孔旅行轉接頭 TA3349UP, 1個",$707,https://www.tw.coupang.com/products/COSY-%E5%90%ABUSB%2FType-C%E5%AD%94%E6%97%85%E8%A1%8C%E8%BD%89%E6%8E%A5%E9%A0%AD-TA3349UP-21000177235004?itemId=21000506829192&vendorItemId=21004298782410&sourceType=search&rank=14&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"AlphaO 分支型無帶連接器 T-32 100p, 1個",$987,https://www.tw.coupang.com/products/AlphaO-%E5%88%86%E6%94%AF%E5%9E%8B%E7%84%A1%E5%B8%B6%E9%80%A3%E6%8E%A5%E5%99%A8-T-32-100p-21001098449303?itemId=21008919013096&vendorItemId=21076205611213&sourceType=search&rank=15&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"AlphaO 分支型無帶連接器 T-22 100p, 1個",$834,https://www.tw.coupang.com/products/AlphaO-%E5%88%86%E6%94%AF%E5%9E%8B%E7%84%A1%E5%B8%B6%E9%80%A3%E6%8E%A5%E5%99%A8-T-22-100p-21005581044585?itemId=21008919013089&vendorItemId=21076205611249&sourceType=search&rank=16&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"J-PRO Speakon 公連接器, JC48, 混色",$96,https://www.tw.coupang.com/products/J-PRO-Speakon-%E5%85%AC%E9%80%A3%E6%8E%A5%E5%99%A8-21007373496014?itemId=21019026105190&vendorItemId=21086504091135&sourceType=search&rank=17&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"nexi HDMI 外接影像擷取器, NX-V106","$1,646",https://www.tw.coupang.com/products/nexi-HDMI-%E5%A4%96%E6%8E%A5%E5%BD%B1%E5%83%8F%E6%93%B7%E5%8F%96%E5%99%A8-21005200677579?itemId=21007248218352&vendorItemId=21074540148459&sourceType=search&rank=18&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Sergio 接線阻塞高容量彩色多接頭 2 埠, 1個, 象牙白, 1.4m",$463,https://www.tw.coupang.com/products/Sergio-%E6%8E%A5%E7%B7%9A%E9%98%BB%E5%A1%9E%E9%AB%98%E5%AE%B9%E9%87%8F%E5%BD%A9%E8%89%B2%E5%A4%9A%E6%8E%A5%E9%A0%AD-2-%E5%9F%A0-21007925827307?itemId=21021788566200&vendorItemId=21088837251080&sourceType=search&rank=19&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"MBF CAT 6 RJ45 易插穿式連接器 MBF-C6-EZ, 22mm, 透明, 1盒",$436,https://www.tw.coupang.com/products/MBF-CAT-6-RJ45-%E6%98%93%E6%8F%92%E7%A9%BF%E5%BC%8F%E9%80%A3%E6%8E%A5%E5%99%A8-MBF-C6-EZ-21007951178059?itemId=21021946492869&vendorItemId=21088994323134&sourceType=search&rank=20&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"水晶雲 USB C 型 3 連接埠多重插座 1 連接埠 CC-303, 70.5mm, 單色, 1個",$479,https://www.tw.coupang.com/products/%E6%B0%B4%E6%99%B6%E9%9B%B2-USB-C-%E5%9E%8B-3-%E9%80%A3%E6%8E%A5%E5%9F%A0%E5%A4%9A%E9%87%8D%E6%8F%92%E5%BA%A7-1-%E9%80%A3%E6%8E%A5%E5%9F%A0-CC-303-21007689963495?itemId=21020561909803&vendorItemId=21087637671675&sourceType=search&rank=21&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Sergio 接線阻塞高容量彩色多接頭 3 插腳, 1個, 天藍色, 2.9m",$568,https://www.tw.coupang.com/products/Sergio-%E6%8E%A5%E7%B7%9A%E9%98%BB%E5%A1%9E%E9%AB%98%E5%AE%B9%E9%87%8F%E5%BD%A9%E8%89%B2%E5%A4%9A%E6%8E%A5%E9%A0%AD-3-%E6%8F%92%E8%85%B3-21007925827288?itemId=21021788566076&vendorItemId=21088837250984&sourceType=search&rank=22&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"COSY 含USB孔旅行轉接頭 TA3348UQ, 1個",$781,https://www.tw.coupang.com/products/COSY-%E5%90%ABUSB%E5%AD%94%E6%97%85%E8%A1%8C%E8%BD%89%E6%8E%A5%E9%A0%AD-TA3348UQ-21000177232084?itemId=21000506819128&vendorItemId=21004298743778&sourceType=search&rank=23&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"UGREEN 綠聯 USB3.0轉接器, U-20256",$549,https://www.tw.coupang.com/products/UGREEN-%E7%B6%A0%E8%81%AF-USB3.0%E8%BD%89%E6%8E%A5%E5%99%A8-21005010641626?itemId=21006707303465&vendorItemId=21074000878460&sourceType=search&rank=24&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Type-C多合一轉接器, 單品, 金子",$476,https://www.tw.coupang.com/products/Type-C%E5%A4%9A%E5%90%88%E4%B8%80%E8%BD%89%E6%8E%A5%E5%99%A8-21000205148220?itemId=21000603900588&vendorItemId=21004582827534&sourceType=search&rank=25&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"ELECOM 室內 4K HDMI 連接線 白色 DH-HDP14EY20WH, 1個, 2m",$618,https://www.tw.coupang.com/products/ELECOM-%E5%AE%A4%E5%85%A7-4K-HDMI-%E9%80%A3%E6%8E%A5%E7%B7%9A-%E7%99%BD%E8%89%B2-DH-HDP14EY20WH-21006271440988?itemId=21012827436076&vendorItemId=21080093182610&sourceType=search&rank=26&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Type-C多用途轉接器 CA2, 混色, 1個",$484,https://www.tw.coupang.com/products/Type-C%E5%A4%9A%E7%94%A8%E9%80%94%E8%BD%89%E6%8E%A5%E5%99%A8-CA2-21004833105971?itemId=21006238983615&vendorItemId=21073534786913&sourceType=search&rank=27&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"DP1.4高階金屬連接線 PL-DP14-020S PL024, 1個, 2m",$220,https://www.tw.coupang.com/products/DP1.4%E9%AB%98%E9%9A%8E%E9%87%91%E5%B1%AC%E9%80%A3%E6%8E%A5%E7%B7%9A-PL-DP14-020S-PL024-21006055667119?itemId=21011115199042&vendorItemId=21090553270130&sourceType=search&rank=28&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Machlink DVI-D連接器轉接頭 ML-A8GD7, 1份, 3cm",$472,https://www.tw.coupang.com/products/Machlink-DVI-D%E9%80%A3%E6%8E%A5%E5%99%A8%E8%BD%89%E6%8E%A5%E9%A0%AD-ML-A8GD7-21004867348014?itemId=21006319893377&vendorItemId=21073615347616&sourceType=search&rank=29&searchId=4f745c06305243b4b0fa40dd912354db&q=%E5%80%92%E6%8E%A5
"Machlink 2排9針連接器轉接頭 100入, ML-DS9F",$653,https://www.tw.coupang.com/products/Machlink-2%E6%8E%929%E9%87%9D%E9%80%A3%E6%8E%A5%E5%99%A8%E8%BD%89%E6%8E%A5%E9%A0%AD-100%E5%85%A5-21000221496187?itemId=21000691896643&vendorItemId=21004772165498&sourceType=search&rank=&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"pines Type-C轉USB轉接器 2入, 銀色, 35mm",$175,https://www.tw.coupang.com/products/pines-Type-C%E8%BD%89USB%E8%BD%89%E6%8E%A5%E5%99%A8-2%E5%85%A5-21006475466394?itemId=21014151343305&vendorItemId=21081397859973&sourceType=search&rank=1&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"AlphaO 分支型無帶連接器 T-11 100p, 1個",$717,https://www.tw.coupang.com/products/AlphaO-%E5%88%86%E6%94%AF%E5%9E%8B%E7%84%A1%E5%B8%B6%E9%80%A3%E6%8E%A5%E5%99%A8-T-11-100p-21005581044599?itemId=21008919013128&vendorItemId=21076205611365&sourceType=search&rank=2&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"NEXT HDMI轉HDMI左彎連接器 -6662LD, 1個",$398,https://www.tw.coupang.com/products/NEXT-HDMI%E8%BD%89HDMI%E5%B7%A6%E5%BD%8E%E9%80%A3%E6%8E%A5%E5%99%A8--6662LD-21001322574723?itemId=21002344015041&vendorItemId=21070340571991&sourceType=search&rank=3&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"nexi HDMIV2.0連接線 NX-HD20100-SOHOT, 1個, 10m",$197,https://www.tw.coupang.com/products/nexi-HDMIV2.0%E9%80%A3%E6%8E%A5%E7%B7%9A-NX-HD20100-SOHOT-21001830198472?itemId=21003113266035&vendorItemId=21071101006690&sourceType=search&rank=4&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"SD和Micro SD轉接器 M1, 混色, 1個",$496,https://www.tw.coupang.com/products/SD%E5%92%8CMicro-SD%E8%BD%89%E6%8E%A5%E5%99%A8-M1-21004833105598?itemId=21006238982579&vendorItemId=21073534787120&sourceType=search&rank=5&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"Danong 獨立分接頭轉接器連接器 T6152, 1個, 混色",$144,https://www.tw.coupang.com/products/Danong-%E7%8D%A8%E7%AB%8B%E5%88%86%E6%8E%A5%E9%A0%AD%E8%BD%89%E6%8E%A5%E5%99%A8%E9%80%A3%E6%8E%A5%E5%99%A8-T6152-21006347745063?itemId=21013344597817&vendorItemId=21090568072925&sourceType=search&rank=6&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"DAEHAN T型螺絲照明設備轉接座 B-type, AD-02, 1個",$76,https://www.tw.coupang.com/products/DAEHAN-T%E5%9E%8B%E8%9E%BA%E7%B5%B2%E7%85%A7%E6%98%8E%E8%A8%AD%E5%82%99%E8%BD%89%E6%8E%A5%E5%BA%A7-B-type-21005586549798?itemId=21008945149008&vendorItemId=21076231694530&sourceType=search&rank=7&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"NEXT USB對接站 -952DCU3, 1個",$619,https://www.tw.coupang.com/products/NEXT-USB%E5%B0%8D%E6%8E%A5%E7%AB%99--952DCU3-21000001634724?itemId=21000007123741&vendorItemId=21003009529753&sourceType=search&rank=8&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"FLaITO 豬鼻子220V轉換110V無螺絲插頭旅行轉接器, 3個",$96,https://www.tw.coupang.com/products/FLaITO-%E8%B1%AC%E9%BC%BB%E5%AD%90220V%E8%BD%89%E6%8F%9B110V%E7%84%A1%E8%9E%BA%E7%B5%B2%E6%8F%92%E9%A0%AD%E6%97%85%E8%A1%8C%E8%BD%89%E6%8E%A5%E5%99%A8-21007858734625?itemId=21021439659487&vendorItemId=21088494303575&sourceType=search&rank=9&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"DGG 金屬轉換連接頭, 單品, 4件",$139,https://www.tw.coupang.com/products/DGG-%E9%87%91%E5%B1%AC%E8%BD%89%E6%8F%9B%E9%80%A3%E6%8E%A5%E9%A0%AD-21000109233581?itemId=21000330523810&vendorItemId=21003810830908&sourceType=search&rank=10&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"Coms IOS 8pin轉RJ45乙太網路轉接器, BT340",$711,https://www.tw.coupang.com/products/Coms-IOS-8pin%E8%BD%89RJ45%E4%B9%99%E5%A4%AA%E7%B6%B2%E8%B7%AF%E8%BD%89%E6%8E%A5%E5%99%A8-21001422627802?itemId=21002461495204&vendorItemId=21070454994565&sourceType=search&rank=11&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"HDMI和8pin轉接器 H2, 混色, 1個",$847,https://www.tw.coupang.com/products/HDMI%E5%92%8C8pin%E8%BD%89%E6%8E%A5%E5%99%A8-H2-21004833106447?itemId=21006238985040&vendorItemId=21073534787104&sourceType=search&rank=12&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"HIKVISION micro SD卡C1轉接頭附送, 16GB",$93,https://www.tw.coupang.com/products/HIKVISION-micro-SD%E5%8D%A1C1%E8%BD%89%E6%8E%A5%E9%A0%AD%E9%99%84%E9%80%81-21006899325287?itemId=21016588655648&vendorItemId=21083773791610&sourceType=search&rank=13&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"nexi DP轉DVI D轉接頭, NX-DPDV-G",$123,https://www.tw.coupang.com/products/nexi-DP%E8%BD%89DVI-D%E8%BD%89%E6%8E%A5%E9%A0%AD-21001942562760?itemId=21003297929203&vendorItemId=21071284861411&sourceType=search&rank=14&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"MBF CAT 5E RJ45 易插穿透連接器 MBF-C5E-EZ 100p 套裝, 透明, 22cm, 1組",$210,https://www.tw.coupang.com/products/MBF-CAT-5E-RJ45-%E6%98%93%E6%8F%92%E7%A9%BF%E9%80%8F%E9%80%A3%E6%8E%A5%E5%99%A8-MBF-C5E-EZ-100p-%E5%A5%97%E8%A3%9D-21007951180478?itemId=21021946512175&vendorItemId=21088994342482&sourceType=search&rank=15&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"TYPE-C TO USB轉接器 CH401, 混色",$191,https://www.tw.coupang.com/products/TYPE-C-TO-USB%E8%BD%89%E6%8E%A5%E5%99%A8-CH401-21005624083205?itemId=21009127174554&vendorItemId=21076413218845&sourceType=search&rank=16&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"ALTTEURI 連接器, 灰色, 20入",$200,https://www.tw.coupang.com/products/ALTTEURI-%E9%80%A3%E6%8E%A5%E5%99%A8-21002155389090?itemId=21003660957683&vendorItemId=21071646389889&sourceType=search&rank=17&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"4孔USB 3.1 Gen1轉接器 120cm, PEC-H080-P120, 單色",$393,https://www.tw.coupang.com/products/4%E5%AD%94USB-3.1-Gen1%E8%BD%89%E6%8E%A5%E5%99%A8-120cm-21005653712579?itemId=21009259745085&vendorItemId=21076545419780&sourceType=search&rank=18&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"AlphaO 直接連接分支型無條連接器 IT-33 100p, 1個",$987,https://www.tw.coupang.com/products/AlphaO-%E7%9B%B4%E6%8E%A5%E9%80%A3%E6%8E%A5%E5%88%86%E6%94%AF%E5%9E%8B%E7%84%A1%E6%A2%9D%E9%80%A3%E6%8E%A5%E5%99%A8-IT-33-100p-21005581044612?itemId=21008919013189&vendorItemId=21076205611422&sourceType=search&rank=19&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
"duble d iPhone MFI 連接線 8pin, 1.2m, 金屬黑",$228,https://www.tw.coupang.com/products/duble-d-iPhone-MFI-%E9%80%A3%E6%8E%A5%E7%B7%9A-8pin-21006189729326?itemId=21012209155949&vendorItemId=21079480014867&sourceType=search&rank=20&searchId=809950c57df7496d82b42bb1af3c4bb1&q=%E5%80%92%E6%8E%A5
