product_name,product_price,product_url
"TePe 緹碧 間隙專用刷 矯正專用 顏色隨機, 1入, 1支",$163,https://www.tw.coupang.com/products/TePe-%E7%B7%B9%E7%A2%A7-%E9%96%93%E9%9A%99%E5%B0%88%E7%94%A8%E5%88%B7-%E7%9F%AF%E6%AD%A3%E5%B0%88%E7%94%A8-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-215602744492041?itemId=151581630627843&vendorItemId=162088806744065&sourceType=search&rank=&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"Shallop 刷樂 纖柔護齦牙刷, 6支, 2包",$106,https://www.tw.coupang.com/products/Shallop-%E5%88%B7%E6%A8%82-%E7%BA%96%E6%9F%94%E8%AD%B7%E9%BD%A6%E7%89%99%E5%88%B7-280112612229120?itemId=280113572708355&vendorItemId=280112608034833&sourceType=search&rank=1&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"BANILA CO 指腹圓刷, 粉色, 1支",$125,https://www.tw.coupang.com/products/BANILA-CO-%E6%8C%87%E8%85%B9%E5%9C%93%E5%88%B7-157010033065999?itemId=157010448334861&vendorItemId=157010846777344&sourceType=search&rank=2&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"NutriD-Day 纖活錠, 60顆, 1罐",$167,https://www.tw.coupang.com/products/NutriD-Day-%E7%BA%96%E6%B4%BB%E9%8C%A0-21007515996011?itemId=21019703338435&vendorItemId=21003000085966&sourceType=search&rank=3&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"Shallop 刷樂 纖柔動感牙刷, 3支, 2組",$60,https://www.tw.coupang.com/products/Shallop-%E5%88%B7%E6%A8%82-%E7%BA%96%E6%9F%94%E5%8B%95%E6%84%9F%E7%89%99%E5%88%B7-279081786490896?itemId=416162579972104&vendorItemId=416162579972099&sourceType=search&rank=4&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"3M 8度角潔效抗菌牙刷 纖細尖柔毛 小刷頭 顏色隨機, 3支, 1包",$84,https://www.tw.coupang.com/products/3M-8%E5%BA%A6%E8%A7%92%E6%BD%94%E6%95%88%E6%8A%97%E8%8F%8C%E7%89%99%E5%88%B7-%E7%BA%96%E7%B4%B0%E5%B0%96%E6%9F%94%E6%AF%9B-%E5%B0%8F%E5%88%B7%E9%A0%AD-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-149761831190529?itemId=149761453670403&vendorItemId=149761826996224&sourceType=search&rank=5&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"99care 軟毛臼齒刷組, 1組, 4入",$209,https://www.tw.coupang.com/products/99care-%E8%BB%9F%E6%AF%9B%E8%87%BC%E9%BD%92%E5%88%B7%E7%B5%84-21006212584578?itemId=21012391452722&vendorItemId=21079661095471&sourceType=search&rank=6&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"Shallop 刷樂 彈力牙刷 家庭包, 9支, 2包",$133,https://www.tw.coupang.com/products/Shallop-%E5%88%B7%E6%A8%82-%E5%BD%88%E5%8A%9B%E7%89%99%E5%88%B7-%E5%AE%B6%E5%BA%AD%E5%8C%85-280113526571018?itemId=280111509094408&vendorItemId=280111509094400&sourceType=search&rank=7&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"奇麗屋 美樂地兩用刷, 1支",$427,https://www.tw.coupang.com/products/%E5%A5%87%E9%BA%97%E5%B1%8B-%E7%BE%8E%E6%A8%82%E5%9C%B0%E5%85%A9%E7%94%A8%E5%88%B7-165984686014466?itemId=165983775834115&vendorItemId=165983775834112&sourceType=search&rank=8&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
"Combi 康貝 Teteo電動牙刷替換刷頭 6個月以上, #13056, 藍色*1+綠色*1, 1組",$175,https://www.tw.coupang.com/products/Combi-%E5%BA%B7%E8%B2%9D-Teteo%E9%9B%BB%E5%8B%95%E7%89%99%E5%88%B7%E6%9B%BF%E6%8F%9B%E5%88%B7%E9%A0%AD-6%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A-247230283857942?itemId=247231210831893&vendorItemId=247232032899090&sourceType=search&rank=9&searchId=470fb000c93a44b982d2142866bb4159&q=%E5%81%A5%E7%BA%96%E9%AB%94%E5%88%B7
