product_name,product_price,product_url
"EVLUTIONNUTRITION ENGN 測試運動前引擎 + 睪固酮支持水果賓治口味, 1個, 285g",$448,https://www.tw.coupang.com/products/EVLUTIONNUTRITION-ENGN-%E6%B8%AC%E8%A9%A6%E9%81%8B%E5%8B%95%E5%89%8D%E5%BC%95%E6%93%8E-%2B-%E7%9D%AA%E5%9B%BA%E9%85%AE%E6%94%AF%E6%8C%81%E6%B0%B4%E6%9E%9C%E8%B3%93%E6%B2%BB%E5%8F%A3%E5%91%B3-21007912342363?itemId=21021715084541&vendorItemId=21088764458486&sourceType=search&rank=&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"Chieh Pao 潔豹 日式陶瓷刀, TH-95800, 1個",$396,https://www.tw.coupang.com/products/Chieh-Pao-%E6%BD%94%E8%B1%B9-%E6%97%A5%E5%BC%8F%E9%99%B6%E7%93%B7%E5%88%80-455247143059460?itemId=455247143092228&vendorItemId=455247143092226&sourceType=search&rank=1&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"專業精密鑷子, 單色, 1套",$112,https://www.tw.coupang.com/products/%E5%B0%88%E6%A5%AD%E7%B2%BE%E5%AF%86%E9%91%B7%E5%AD%90-21005606856359?itemId=21009048571506&vendorItemId=21076334941995&sourceType=search&rank=2&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"ProfessionalBeautySystemKorea 鑷子, 1入, 銀色",$268,https://www.tw.coupang.com/products/ProfessionalBeautySystemKorea-%E9%91%B7%E5%AD%90-21006134678651?itemId=21011723316984&vendorItemId=21078997405973&sourceType=search&rank=3&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"台灣 COSMOS 粉刺夾 尖, 602, 2支",$138,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3-COSMOS-%E7%B2%89%E5%88%BA%E5%A4%BE-%E5%B0%96-162430462148611?itemId=319698361090052&vendorItemId=319698361090048&sourceType=search&rank=4&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"VETUS 鑷子 ESD-15, 黑色, 1個",$120,https://www.tw.coupang.com/products/VETUS-%E9%91%B7%E5%AD%90-ESD-15-21000055453567?itemId=21000192992800&vendorItemId=21090226938482&sourceType=search&rank=5&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"ENZYMEDICA Natto-K, 1個, 30 件",$385,https://www.tw.coupang.com/products/ENZYMEDICA-Natto-K-21008269160461?itemId=21000002438392&vendorItemId=21003215399837&sourceType=search&rank=6&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"LASHOLIC 優質鑷子 LP-625, 單色, 1個",$132,https://www.tw.coupang.com/products/LASHOLIC-%E5%84%AA%E8%B3%AA%E9%91%B7%E5%AD%90-LP-625-21001899945819?itemId=21003227350339&vendorItemId=21071214586904&sourceType=search&rank=7&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"Goute Smeg High Madeleine 18區, 1個",$758,https://www.tw.coupang.com/products/Goute-Smeg-High-Madeleine-18%E5%8D%80-21007079735067?itemId=21017607851299&vendorItemId=21084773973574&sourceType=search&rank=8&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
"Gutte Smeg High Financi 20 區, 1個",$742,https://www.tw.coupang.com/products/Gutte-Smeg-High-Financi-20-%E5%8D%80-21007170587977?itemId=21017860364029&vendorItemId=21085023643591&sourceType=search&rank=9&searchId=e56987fcba2f43babad119ff92b969c0&q=%E5%82%AC%E5%AD%90
