product_name,product_price,product_url
"市場規劃液晶數字溫濕度計, 白色, 1個",$150,https://www.tw.coupang.com/products/%E5%B8%82%E5%A0%B4%E8%A6%8F%E5%8A%83%E6%B6%B2%E6%99%B6%E6%95%B8%E5%AD%97%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-21007337292742?itemId=21018850393755&vendorItemId=21085979725265&sourceType=search&rank=&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"LAB N TOOL 數字計時器 LT-291, 藍色, 1個",$104,https://www.tw.coupang.com/products/LAB-N-TOOL-%E6%95%B8%E5%AD%97%E8%A8%88%E6%99%82%E5%99%A8-LT-291-21006233755796?itemId=21012543111100&vendorItemId=21079811509976&sourceType=search&rank=1&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"Comet Wide 研究 LED 支架夾照明 23W, 白色",$710,https://www.tw.coupang.com/products/Comet-Wide-%E7%A0%94%E7%A9%B6-LED-%E6%94%AF%E6%9E%B6%E5%A4%BE%E7%85%A7%E6%98%8E-23W-21007608596658?itemId=21020145312764&vendorItemId=21087238564124&sourceType=search&rank=2&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"nelna. 專注於計時器紫色, 1個, 黑色",$835,https://www.tw.coupang.com/products/nelna.-%E5%B0%88%E6%B3%A8%E6%96%BC%E8%A8%88%E6%99%82%E5%99%A8%E7%B4%AB%E8%89%B2-21008201901563?itemId=21023514698571&vendorItemId=21090541091466&sourceType=search&rank=3&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"mooas 計時視覺多時鐘定時器白色, 1個",$457,https://www.tw.coupang.com/products/mooas-%E8%A8%88%E6%99%82%E8%A6%96%E8%A6%BA%E5%A4%9A%E6%99%82%E9%90%98%E5%AE%9A%E6%99%82%E5%99%A8%E7%99%BD%E8%89%B2-21008118546502?itemId=21023019986667&vendorItemId=21090053774143&sourceType=search&rank=4&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"顏色計數, 1個",$574,https://www.tw.coupang.com/products/%E9%A1%8F%E8%89%B2%E8%A8%88%E6%95%B8-21000052279226?itemId=21000184697574&vendorItemId=21003439564919&sourceType=search&rank=5&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"SIGMA Led LED T5 3-pin 8W 間接照明, 黃光色",$316,https://www.tw.coupang.com/products/SIGMA-Led-LED-T5-3-pin-8W-%E9%96%93%E6%8E%A5%E7%85%A7%E6%98%8E-21000119964198?itemId=21000357309505&vendorItemId=21003869651609&sourceType=search&rank=6&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"Bluetec 數位風速計 BO-826, 1個",$603,https://www.tw.coupang.com/products/Bluetec-%E6%95%B8%E4%BD%8D%E9%A2%A8%E9%80%9F%E8%A8%88-BO-826-21000302490140?itemId=21000951460291&vendorItemId=21087162991356&sourceType=search&rank=7&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"設計撥號計時器, 1個, 白色",$282,https://www.tw.coupang.com/products/%E8%A8%AD%E8%A8%88%E6%92%A5%E8%99%9F%E8%A8%88%E6%99%82%E5%99%A8-21007856194668?itemId=21021426513233&vendorItemId=21088482635781&sourceType=search&rank=8&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
"創藍光測量感測器整合照度計 BO-813A C4006880, 1個",$568,https://www.tw.coupang.com/products/%E5%89%B5%E8%97%8D%E5%85%89%E6%B8%AC%E9%87%8F%E6%84%9F%E6%B8%AC%E5%99%A8%E6%95%B4%E5%90%88%E7%85%A7%E5%BA%A6%E8%A8%88-BO-813A-C4006880-21005814218395?itemId=21010013526397&vendorItemId=21086807454107&sourceType=search&rank=9&searchId=3387c8be91cc4d5583c027cebe741ab4&q=%E5%85%89%E7%85%A7%E8%A8%88
