product_name,product_price,product_url
"FAmILyLIFE 生活 金鎗客神級無段式高壓噴射水柱槍 FL-103, 金色, 1個",$209,https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E9%87%91%E9%8E%97%E5%AE%A2%E7%A5%9E%E7%B4%9A%E7%84%A1%E6%AE%B5%E5%BC%8F%E9%AB%98%E5%A3%93%E5%99%B4%E5%B0%84%E6%B0%B4%E6%9F%B1%E6%A7%8D-FL-103-171723265622017?itemId=171723764776960&vendorItemId=171723265622016&sourceType=search&rank=&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"comet 高級鑷子3件組 黑色, 1組",$135,https://www.tw.coupang.com/products/comet-%E9%AB%98%E7%B4%9A%E9%91%B7%E5%AD%903%E4%BB%B6%E7%B5%84-%E9%BB%91%E8%89%B2-151467885281281?itemId=151468271190016&vendorItemId=151467885281280&sourceType=search&rank=1&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"comet HDPE材質破壞袋 35*40cm, 100個",$284,https://www.tw.coupang.com/products/comet-HDPE%E6%9D%90%E8%B3%AA%E7%A0%B4%E5%A3%9E%E8%A2%8B-35*40cm-168956035809280?itemId=168956518187008&vendorItemId=168956975349760&sourceType=search&rank=2&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"comet 戶外防滑鍊爪 附魔鬼氈*2個+收納袋*1個, 灰色",$453,https://www.tw.coupang.com/products/comet-%E6%88%B6%E5%A4%96%E9%98%B2%E6%BB%91%E9%8D%8A%E7%88%AA-%E9%99%84%E9%AD%94%E9%AC%BC%E6%B0%88*2%E5%80%8B%2B%E6%94%B6%E7%B4%8D%E8%A2%8B*1%E5%80%8B-170037407088641?itemId=170036454965248&vendorItemId=170036941537280&sourceType=search&rank=3&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"comet HDPE材質破壞袋 45*60cm, 100個",$499,https://www.tw.coupang.com/products/comet-HDPE%E6%9D%90%E8%B3%AA%E7%A0%B4%E5%A3%9E%E8%A2%8B-45*60cm-168956321021952?itemId=168956803399681&vendorItemId=168957260562432&sourceType=search&rank=4&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"Vibenzadi 入門填料 3 件套, 混色, 1組",$191,https://www.tw.coupang.com/products/Vibenzadi-%E5%85%A5%E9%96%80%E5%A1%AB%E6%96%99-3-%E4%BB%B6%E5%A5%97-21007910431756?itemId=21021703548412&vendorItemId=21088753065663&sourceType=search&rank=5&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"comet 出貨專用破壞帶, 100入",$142,https://www.tw.coupang.com/products/comet-%E5%87%BA%E8%B2%A8%E5%B0%88%E7%94%A8%E7%A0%B4%E5%A3%9E%E5%B8%B6-21007188341076?itemId=21018143666749&vendorItemId=21085294081750&sourceType=search&rank=6&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"組合式標價牌 66*16*17mm, 1個, 金子",$44,https://www.tw.coupang.com/products/%E7%B5%84%E5%90%88%E5%BC%8F%E6%A8%99%E5%83%B9%E7%89%8C-66*16*17mm-21006569824197?itemId=21014743733030&vendorItemId=21081984175282&sourceType=search&rank=7&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"comet 簡單、敏捷的工程師, 3個",$120,https://www.tw.coupang.com/products/comet-%E7%B0%A1%E5%96%AE%E3%80%81%E6%95%8F%E6%8D%B7%E7%9A%84%E5%B7%A5%E7%A8%8B%E5%B8%AB-21007773758357?itemId=21020994057242&vendorItemId=21088058400786&sourceType=search&rank=8&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
"comet 出貨專用破壞帶, 100入",$413,https://www.tw.coupang.com/products/comet-%E5%87%BA%E8%B2%A8%E5%B0%88%E7%94%A8%E7%A0%B4%E5%A3%9E%E5%B8%B6-21007327943002?itemId=21018143666747&vendorItemId=21085294081729&sourceType=search&rank=9&searchId=dfe1998d4b5446e6a8f0a00f3ba4c7be&q=%E5%85%8D%E7%A0%B4%E5%A3%9E
