product_name,product_price,product_url
"KIROCOS 男士保溼全效修護精華液, 1kg, 1瓶",$272,https://www.tw.coupang.com/products/KIROCOS-%E7%94%B7%E5%A3%AB%E4%BF%9D%E6%BA%BC%E5%85%A8%E6%95%88%E4%BF%AE%E8%AD%B7%E7%B2%BE%E8%8F%AF%E6%B6%B2-169951755206657?itemId=169950807277568&vendorItemId=169951755206656&sourceType=search&rank=&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"moremo 水奇蹟10秒護髮素, 200ml, 2個",$699,https://www.tw.coupang.com/products/moremo-%E6%B0%B4%E5%A5%87%E8%B9%9F10%E7%A7%92%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000073789669?itemId=21018173831529&vendorItemId=21085323088479&sourceType=search&rank=1&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"KIROCOS 男士保溼全效修護精華液, 1kg, 2瓶",$544,https://www.tw.coupang.com/products/KIROCOS-%E7%94%B7%E5%A3%AB%E4%BF%9D%E6%BA%BC%E5%85%A8%E6%95%88%E4%BF%AE%E8%AD%B7%E7%B2%BE%E8%8F%AF%E6%B6%B2-169951755206657?itemId=428427823792144&vendorItemId=428427823792143&sourceType=search&rank=2&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"KIROCOS 男士保溼全效修護精華液, 1kg, 3瓶",$867,https://www.tw.coupang.com/products/KIROCOS-%E7%94%B7%E5%A3%AB%E4%BF%9D%E6%BA%BC%E5%85%A8%E6%95%88%E4%BF%AE%E8%AD%B7%E7%B2%BE%E8%8F%AF%E6%B6%B2-169951755206657?itemId=428427823742986&vendorItemId=428427823742981&sourceType=search&rank=3&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"moremo 水奇蹟10秒護髮素, 200ml, 3個","$1,048",https://www.tw.coupang.com/products/moremo-%E6%B0%B4%E5%A5%87%E8%B9%9F10%E7%A7%92%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000073789669?itemId=21006510990798&vendorItemId=21085323089850&sourceType=search&rank=4&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"KIROCOS 男士保溼全效修護精華液, 1kg, 4瓶","$1,256",https://www.tw.coupang.com/products/KIROCOS-%E7%94%B7%E5%A3%AB%E4%BF%9D%E6%BA%BC%E5%85%A8%E6%95%88%E4%BF%AE%E8%AD%B7%E7%B2%BE%E8%8F%AF%E6%B6%B2-169951755206657?itemId=428428075450374&vendorItemId=428428075417603&sourceType=search&rank=5&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"KIROCOS 男士保溼全效修護精華液, 1kg, 6瓶","$2,034",https://www.tw.coupang.com/products/KIROCOS-%E7%94%B7%E5%A3%AB%E4%BF%9D%E6%BA%BC%E5%85%A8%E6%95%88%E4%BF%AE%E8%AD%B7%E7%B2%BE%E8%8F%AF%E6%B6%B2-169951755206657?itemId=428427823792136&vendorItemId=428427823792132&sourceType=search&rank=6&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"KIROCOS 男士保溼全效修護精華液, 1kg, 5瓶","$1,645",https://www.tw.coupang.com/products/KIROCOS-%E7%94%B7%E5%A3%AB%E4%BF%9D%E6%BA%BC%E5%85%A8%E6%95%88%E4%BF%AE%E8%AD%B7%E7%B2%BE%E8%8F%AF%E6%B6%B2-169951755206657?itemId=428427823742993&vendorItemId=428427823742992&sourceType=search&rank=7&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"moremo 水奇蹟10秒護髮素, 200ml, 5個","$1,748",https://www.tw.coupang.com/products/moremo-%E6%B0%B4%E5%A5%87%E8%B9%9F10%E7%A7%92%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000073789669?itemId=21006510990795&vendorItemId=21085323088483&sourceType=search&rank=8&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
"moremo 水奇蹟10秒護髮素, 200ml, 4個","$1,398",https://www.tw.coupang.com/products/moremo-%E6%B0%B4%E5%A5%87%E8%B9%9F10%E7%A7%92%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000073789669?itemId=21006510990794&vendorItemId=21085323090479&sourceType=search&rank=9&searchId=724e6102379549968e57c785412f80fd&q=%E5%85%A8%E6%95%88%E6%B0%B4
