product_name,product_price,product_url
"雙耳琺瑯造型隔熱泡麵碗 850ml, 顏色隨機, 2個",$105,https://www.tw.coupang.com/products/%E9%9B%99%E8%80%B3%E7%90%BA%E7%91%AF%E9%80%A0%E5%9E%8B%E9%9A%94%E7%86%B1%E6%B3%A1%E9%BA%B5%E7%A2%97-850ml-167174966558727?itemId=349399003643910&vendorItemId=349399003660289&sourceType=search&rank=&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Skater TOTORO 美濃燒陶瓷碗 12.8*8cm, 和風 櫻, 1個",$471,https://www.tw.coupang.com/products/Skater-TOTORO-%E7%BE%8E%E6%BF%83%E7%87%92%E9%99%B6%E7%93%B7%E7%A2%97-12.8*8cm-288177759698961?itemId=288177759698962&vendorItemId=288177759698959&sourceType=search&rank=1&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"韋斯萊復古古董早午餐碗, 18蕾絲花, 1個",$212,https://www.tw.coupang.com/products/%E9%9F%8B%E6%96%AF%E8%90%8A%E5%BE%A9%E5%8F%A4%E5%8F%A4%E8%91%A3%E6%97%A9%E5%8D%88%E9%A4%90%E7%A2%97-21006148512679?itemId=21011851031128&vendorItemId=21079124324513&sourceType=search&rank=2&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"PRACA Objet荷葉花邊圓碗 2件組, 1組, 中圓盤 2入",$475,https://www.tw.coupang.com/products/PRACA-Objet%E8%8D%B7%E8%91%89%E8%8A%B1%E9%82%8A%E5%9C%93%E7%A2%97-2%E4%BB%B6%E7%B5%84-21000327227268?itemId=21001047043889&vendorItemId=21005510223089&sourceType=search&rank=3&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Thesoulbean 陶瓷碗 200ml, 白色的, 6個",$413,https://www.tw.coupang.com/products/Thesoulbean-%E9%99%B6%E7%93%B7%E7%A2%97-200ml-21001867319024?itemId=21003173918593&vendorItemId=21071161429726&sourceType=search&rank=4&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Queen Rose 金邊玫瑰陶瓷碗, 象牙, 2個",$483,https://www.tw.coupang.com/products/Queen-Rose-%E9%87%91%E9%82%8A%E7%8E%AB%E7%91%B0%E9%99%B6%E7%93%B7%E7%A2%97-21000251162885?itemId=21000792542890&vendorItemId=21005011436089&sourceType=search&rank=5&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Wagensteiger Sten 304 員工球 2 件套, 碗300ml+530ml",$461,https://www.tw.coupang.com/products/Wagensteiger-Sten-304-%E5%93%A1%E5%B7%A5%E7%90%83-2-%E4%BB%B6%E5%A5%97-21007351107508?itemId=21018916876669&vendorItemId=21086044093826&sourceType=search&rank=6&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"現代G陶瓷藝術花卉義大利麵碗（寬20.5cm x 寬20.5cm x 高5.5cm）YJ309, 白色, 1個",$388,https://www.tw.coupang.com/products/%E7%8F%BE%E4%BB%A3G%E9%99%B6%E7%93%B7%E8%97%9D%E8%A1%93%E8%8A%B1%E5%8D%89%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%E7%A2%97%EF%BC%88%E5%AF%AC20.5cm-x-%E5%AF%AC20.5cm-x-%E9%AB%985.5cm%EF%BC%89YJ309-21007605225247?itemId=21020128447048&vendorItemId=21087222599141&sourceType=search&rank=7&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Queen Rose 金邊玫瑰陶瓷碗, 象牙, 2個",$585,https://www.tw.coupang.com/products/Queen-Rose-%E9%87%91%E9%82%8A%E7%8E%AB%E7%91%B0%E9%99%B6%E7%93%B7%E7%A2%97-21000251162932?itemId=21000792543012&vendorItemId=21005011436307&sourceType=search&rank=8&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"marui 陶瓷碗 14cm 3件組, 1套, 太陽, 星星, 月亮",$433,https://www.tw.coupang.com/products/marui-%E9%99%B6%E7%93%B7%E7%A2%97-14cm-3%E4%BB%B6%E7%B5%84-21006676219967?itemId=21015377657967&vendorItemId=21082597721988&sourceType=search&rank=9&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Polab 陶瓷碗2入組, 三葉草，雛菊, 1套",$484,https://www.tw.coupang.com/products/Polab-%E9%99%B6%E7%93%B7%E7%A2%972%E5%85%A5%E7%B5%84-21002244087592?itemId=21003835074144&vendorItemId=21071819912480&sourceType=search&rank=10&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Polab 花紋圖案陶瓷碗4入組, 雛菊+玫瑰+甜瓜+櫻桃, 1組","$1,185",https://www.tw.coupang.com/products/Polab-%E8%8A%B1%E7%B4%8B%E5%9C%96%E6%A1%88%E9%99%B6%E7%93%B7%E7%A2%974%E5%85%A5%E7%B5%84-21002286101844?itemId=21003929582308&vendorItemId=21071914092578&sourceType=search&rank=11&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Queen Rose 玫瑰陶瓷碗, 象牙, 2個",$868,https://www.tw.coupang.com/products/Queen-Rose-%E7%8E%AB%E7%91%B0%E9%99%B6%E7%93%B7%E7%A2%97-21000251162867?itemId=21000792542845&vendorItemId=21005011436021&sourceType=search&rank=12&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Queen Rose 金邊玫瑰陶瓷碗, 象牙, 2個",$750,https://www.tw.coupang.com/products/Queen-Rose-%E9%87%91%E9%82%8A%E7%8E%AB%E7%91%B0%E9%99%B6%E7%93%B7%E7%A2%97-21000251162857?itemId=21000792542831&vendorItemId=21005011435974&sourceType=search&rank=13&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"Gakujio 圓形陶碗和木炭, 1組",$384,https://www.tw.coupang.com/products/Gakujio-%E5%9C%93%E5%BD%A2%E9%99%B6%E7%A2%97%E5%92%8C%E6%9C%A8%E7%82%AD-21007368477281?itemId=21019001614352&vendorItemId=21086126587609&sourceType=search&rank=14&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"現代玫瑰圖案浮雕湯碗 280 毫升 12 x 6 公分 YJ333, 白色, 1個",$252,https://www.tw.coupang.com/products/%E7%8F%BE%E4%BB%A3%E7%8E%AB%E7%91%B0%E5%9C%96%E6%A1%88%E6%B5%AE%E9%9B%95%E6%B9%AF%E7%A2%97-280-%E6%AF%AB%E5%8D%87-12-x-6-%E5%85%AC%E5%88%86-YJ333-21007598453196?itemId=21020094352298&vendorItemId=21087189653329&sourceType=search&rank=15&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"L.loom 圓陶瓷碗, 白色, 2個",$297,https://www.tw.coupang.com/products/L.loom-%E5%9C%93%E9%99%B6%E7%93%B7%E7%A2%97-21000008907561?itemId=21000039019989&vendorItemId=21003058316744&sourceType=search&rank=16&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"五月花咖啡廳甜點碗 250ml, 藍色, 1個",$142,https://www.tw.coupang.com/products/%E4%BA%94%E6%9C%88%E8%8A%B1%E5%92%96%E5%95%A1%E5%BB%B3%E7%94%9C%E9%BB%9E%E7%A2%97-250ml-21008144701236?itemId=21023154287921&vendorItemId=21090187113198&sourceType=search&rank=17&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
"現代 G 陶瓷藝術花卉義大利麵碗大號 25.5 x 6 公分 YJ309, 白色, 1個",$521,https://www.tw.coupang.com/products/%E7%8F%BE%E4%BB%A3-G-%E9%99%B6%E7%93%B7%E8%97%9D%E8%A1%93%E8%8A%B1%E5%8D%89%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%E7%A2%97%E5%A4%A7%E8%99%9F-25.5-x-6-%E5%85%AC%E5%88%86-YJ309-21007594960024?itemId=21020077821131&vendorItemId=21087173473098&sourceType=search&rank=18&searchId=92dc5eec7d1e491db05a7afaee0156f4&q=%E5%88%BB%E8%8A%B1%E7%A2%97
