product_name,product_price,product_url
"營養師輕食 台灣01益生菌 2g, 30條, 1袋","$1,055",https://www.tw.coupang.com/products/%E7%87%9F%E9%A4%8A%E5%B8%AB%E8%BC%95%E9%A3%9F-%E5%8F%B0%E7%81%A301%E7%9B%8A%E7%94%9F%E8%8F%8C-2g-418196033093632?itemId=418196033044480&vendorItemId=418196033077248&sourceType=search&rank=&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"袋裝洋車前子粉 細粒, 1包, 300g",$165,https://www.tw.coupang.com/products/%E8%A2%8B%E8%A3%9D%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E7%B2%89-%E7%B4%B0%E7%B2%92-21008289023997?itemId=21018074801115&vendorItemId=21084881315206&sourceType=search&rank=1&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"SWANSON 斯旺森 洋車前子殼膠囊 610mg, 1個, 300粒",$453,https://www.tw.coupang.com/products/SWANSON-%E6%96%AF%E6%97%BA%E6%A3%AE-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E8%86%A0%E5%9B%8A-610mg-21000002878720?itemId=21000013411871&vendorItemId=21003272333348&sourceType=search&rank=2&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"Hello Green洋車前子殼粉, 1罐, 250g",$172,https://www.tw.coupang.com/products/Hello-Green%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21007723170163?itemId=21015339004944&vendorItemId=21087573258053&sourceType=search&rank=3&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"RONIEWELL 洋車前子殼膳食纖維隨身包 30條, 30包, 1個",$336,https://www.tw.coupang.com/products/RONIEWELL-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E8%86%B3%E9%A3%9F%E7%BA%96%E7%B6%AD%E9%9A%A8%E8%BA%AB%E5%8C%85-30%E6%A2%9D-21006678311218?itemId=21020877220017&vendorItemId=21087944462583&sourceType=search&rank=4&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"GOODHERB 洋車前子粉, 250g, 1罐",$218,https://www.tw.coupang.com/products/GOODHERB-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E7%B2%89-21007719133904?itemId=21020711390954&vendorItemId=21003261738539&sourceType=search&rank=5&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"now 洋車前子殼粉, 1罐, 680g",$586,https://www.tw.coupang.com/products/now-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21000000025109?itemId=21000002070812&vendorItemId=21003085691677&sourceType=search&rank=6&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"SWANSON 斯旺森 膳食纖維益生菌素食膠囊, 1罐, 60顆",$300,https://www.tw.coupang.com/products/SWANSON-%E6%96%AF%E6%97%BA%E6%A3%AE-%E8%86%B3%E9%A3%9F%E7%BA%96%E7%B6%AD%E7%9B%8A%E7%94%9F%E8%8F%8C%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-21000042701782?itemId=21000154734772&vendorItemId=21003361321932&sourceType=search&rank=7&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"nutricost 洋車前子膠囊 1500mg, 1個, 500 件",$682,https://www.tw.coupang.com/products/nutricost-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E8%86%A0%E5%9B%8A-1500mg-21000173088368?itemId=21000494593794&vendorItemId=21004722785351&sourceType=search&rank=8&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
"SWANSON 斯旺森 洋車前子殼膠囊 610mg, 1組, 100顆",$244,https://www.tw.coupang.com/products/SWANSON-%E6%96%AF%E6%97%BA%E6%A3%AE-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E8%86%A0%E5%9B%8A-610mg-21008184434340?itemId=21000014951945&vendorItemId=21003273103264&sourceType=search&rank=9&searchId=88bd979ec74b432bade45f48db17b0f5&q=%E5%89%8D%E5%BE%8C%E5%8A%A0%E6%8A%98%E5%8F%A3
