product_name,product_price,product_url
"達摩本草 日本專利蜂王乳複方, 60顆, 1盒",$590,https://www.tw.coupang.com/products/%E9%81%94%E6%91%A9%E6%9C%AC%E8%8D%89-%E6%97%A5%E6%9C%AC%E5%B0%88%E5%88%A9%E8%9C%82%E7%8E%8B%E4%B9%B3%E8%A4%87%E6%96%B9-268972821823491?itemId=268971773214724&vendorItemId=268973752942592&sourceType=search&rank=&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"now 洋車前子殼素食膠囊 700mg, 180顆, 1罐",$438,https://www.tw.coupang.com/products/now-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-700mg-21000000356510?itemId=21000000882394&vendorItemId=21003146720645&sourceType=search&rank=1&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"now 洋車前子殼素食膠囊 500mg, 1罐, 200顆",$360,https://www.tw.coupang.com/products/now-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-500mg-21007673232974?itemId=21002014029885&vendorItemId=21003191021647&sourceType=search&rank=2&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"袋裝洋車前子粉 細粒, 1包, 300g",$165,https://www.tw.coupang.com/products/%E8%A2%8B%E8%A3%9D%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E7%B2%89-%E7%B4%B0%E7%B2%92-21008289023997?itemId=21018074801115&vendorItemId=21084881315206&sourceType=search&rank=3&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"now 洋車前子殼粉, 340g, 1罐",$349,https://www.tw.coupang.com/products/now-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21000000209249?itemId=21000000882622&vendorItemId=21003087575853&sourceType=search&rank=4&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"SWANSON 斯旺森 洋車前子殼膠囊 610mg, 1個, 300粒",$453,https://www.tw.coupang.com/products/SWANSON-%E6%96%AF%E6%97%BA%E6%A3%AE-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E8%86%A0%E5%9B%8A-610mg-21000002878720?itemId=21000013411871&vendorItemId=21003272333348&sourceType=search&rank=5&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"Funnit 洋車前子丸 30p, 2盒, 150g",$667,https://www.tw.coupang.com/products/Funnit-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E4%B8%B8-30p-21007043057662?itemId=21022295564200&vendorItemId=21084593459269&sourceType=search&rank=6&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"EVER BIKINI 雙功能洋車前子殼膳食纖維順暢粉 60條, 396g, 1盒",$547,https://www.tw.coupang.com/products/EVER-BIKINI-%E9%9B%99%E5%8A%9F%E8%83%BD%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E8%86%B3%E9%A3%9F%E7%BA%96%E7%B6%AD%E9%A0%86%E6%9A%A2%E7%B2%89-60%E6%A2%9D-21006146944228?itemId=21011836400946&vendorItemId=21087297750264&sourceType=search&rank=7&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"GOODHERB 洋車前子粉, 250g, 1罐",$218,https://www.tw.coupang.com/products/GOODHERB-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E7%B2%89-21007719133904?itemId=21020711390954&vendorItemId=21003261738539&sourceType=search&rank=8&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"nutricost 洋車前子膠囊 1500mg, 1個, 500 件",$682,https://www.tw.coupang.com/products/nutricost-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E8%86%A0%E5%9B%8A-1500mg-21000173088368?itemId=21000494593794&vendorItemId=21004722785351&sourceType=search&rank=9&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"Hello Green洋車前子殼粉, 1罐, 250g",$172,https://www.tw.coupang.com/products/Hello-Green%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21007723170163?itemId=21015339004944&vendorItemId=21087573258053&sourceType=search&rank=10&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"now 洋車前子殼粉, 1罐, 680g",$586,https://www.tw.coupang.com/products/now-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21000000025109?itemId=21000002070812&vendorItemId=21003085691677&sourceType=search&rank=11&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"SWANSON 斯旺森 洋車前子殼膠囊 610mg, 1組, 100顆",$244,https://www.tw.coupang.com/products/SWANSON-%E6%96%AF%E6%97%BA%E6%A3%AE-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E8%86%A0%E5%9B%8A-610mg-21008184434340?itemId=21000014951945&vendorItemId=21003273103264&sourceType=search&rank=12&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"NAEMOME HERBS 洋車前子粉, 1包, 400g",$307,https://www.tw.coupang.com/products/NAEMOME-HERBS-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E7%B2%89-21000333018120?itemId=21001063764158&vendorItemId=21005545033437&sourceType=search&rank=13&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"Naturalize 洋車前子殼纖維粉, 204g, 1盒",$363,https://www.tw.coupang.com/products/Naturalize-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%BA%96%E7%B6%AD%E7%B2%89-21008128764326?itemId=21023081492253&vendorItemId=21003069107419&sourceType=search&rank=14&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"INCHA 車前子丸, 200g, 1個",$187,https://www.tw.coupang.com/products/INCHA-%E8%BB%8A%E5%89%8D%E5%AD%90%E4%B8%B8-21000004835536?itemId=21000022014235&vendorItemId=21003032178630&sourceType=search&rank=15&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"Pureunbin 洋車前子殼粉, 500g, 1包",$305,https://www.tw.coupang.com/products/Pureunbin-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21004500681542?itemId=21005402387952&vendorItemId=21073727267241&sourceType=search&rank=16&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"洋車前子穀粉, 300g, 1罐",$252,https://www.tw.coupang.com/products/%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E7%A9%80%E7%B2%89-21004670579395?itemId=21005840062261&vendorItemId=21073138372037&sourceType=search&rank=17&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"順天本草 學利EX膠囊, 60顆, 1盒",$693,https://www.tw.coupang.com/products/%E9%A0%86%E5%A4%A9%E6%9C%AC%E8%8D%89-%E5%AD%B8%E5%88%A9EX%E8%86%A0%E5%9B%8A-268550233096214?itemId=268549301977107&vendorItemId=268548257562638&sourceType=search&rank=18&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"洋車前子殼粉, 400g, 1個",$342,https://www.tw.coupang.com/products/%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21002109922326?itemId=21003584094758&vendorItemId=21071569899153&sourceType=search&rank=19&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"NewOrigin Yuhan Health Life Bium 車前子殼 30p, 198g, 2個",$696,https://www.tw.coupang.com/products/NewOrigin-Yuhan-Health-Life-Bium-%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC-30p-21007515805923?itemId=21020153183526&vendorItemId=21090436592097&sourceType=search&rank=20&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"SINSUNHERB 車前子殼粉, 300g, 1包",$276,https://www.tw.coupang.com/products/SINSUNHERB-%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21007810383082?itemId=21000050898150&vendorItemId=21085250001074&sourceType=search&rank=21&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"Joeun Herb 高級洋車前子補充裝, 300g, 1罐",$274,https://www.tw.coupang.com/products/Joeun-Herb-%E9%AB%98%E7%B4%9A%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E8%A3%9C%E5%85%85%E8%A3%9D-21007746618867?itemId=21020855388882&vendorItemId=21003207481872&sourceType=search&rank=22&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"INCHA 車前子丸, 500g, 1包",$535,https://www.tw.coupang.com/products/INCHA-%E8%BB%8A%E5%89%8D%E5%AD%90%E4%B8%B8-21002322343677?itemId=21004011077529&vendorItemId=21071995291816&sourceType=search&rank=23&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"Perfecto 洋車前子殼粉, 200g, 1罐",$260,https://www.tw.coupang.com/products/Perfecto-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E7%B2%89-21005960986847?itemId=21010681400684&vendorItemId=21078504077018&sourceType=search&rank=24&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"GOODHERB 洋車前子丸隨身包, 90g, 3盒",$643,https://www.tw.coupang.com/products/GOODHERB-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E4%B8%B8%E9%9A%A8%E8%BA%AB%E5%8C%85-21000026168894?itemId=21017471949107&vendorItemId=21084639604549&sourceType=search&rank=25&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
"RAKQ 洋車前子殼膳食纖維保健丸, 1組, 350g","$1,005",https://www.tw.coupang.com/products/RAKQ-%E6%B4%8B%E8%BB%8A%E5%89%8D%E5%AD%90%E6%AE%BC%E8%86%B3%E9%A3%9F%E7%BA%96%E7%B6%AD%E4%BF%9D%E5%81%A5%E4%B8%B8-21001221716409?itemId=21002212725392&vendorItemId=21071044980097&sourceType=search&rank=26&searchId=f992f54acaac4f9ab770350a2b8eca46&q=%E5%89%8D%E5%BE%8C%E9%9B%99%E9%A6%AC%E9%81%94
