product_name,product_price,product_url
"OON 園藝剪刀 彎款+直款 2入組, 1組",$125,https://www.tw.coupang.com/products/OON-%E5%9C%92%E8%97%9D%E5%89%AA%E5%88%80-%E5%BD%8E%E6%AC%BE%2B%E7%9B%B4%E6%AC%BE-2%E5%85%A5%E7%B5%84-263477893513217?itemId=263476878458881&vendorItemId=263478799466497&sourceType=search&rank=&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"nac nac 可拆式萬用食物剪 剪刀+刀套, 甜橙粉, 1組",$163,https://www.tw.coupang.com/products/nac-nac-%E5%8F%AF%E6%8B%86%E5%BC%8F%E8%90%AC%E7%94%A8%E9%A3%9F%E7%89%A9%E5%89%AA-%E5%89%AA%E5%88%80%2B%E5%88%80%E5%A5%97-230198133899270?itemId=230198876274694&vendorItemId=230198133899268&sourceType=search&rank=1&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"台灣 COSMOS 果凍系列 開鋒直剪, 2支",$135,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3-COSMOS-%E6%9E%9C%E5%87%8D%E7%B3%BB%E5%88%97-%E9%96%8B%E9%8B%92%E7%9B%B4%E5%89%AA-168599461249042?itemId=394361606963208&vendorItemId=394361606963205&sourceType=search&rank=2&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"3M Scotch 可拆式萬用食物剪刀, 藍色, 1支",$147,https://www.tw.coupang.com/products/3M-Scotch-%E5%8F%AF%E6%8B%86%E5%BC%8F%E8%90%AC%E7%94%A8%E9%A3%9F%E7%89%A9%E5%89%AA%E5%88%80-260277140422658?itemId=260275257163782&vendorItemId=260276251246604&sourceType=search&rank=3&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"VIIDA Glow系列 多功能食物剪, 黑色, 1支",$372,https://www.tw.coupang.com/products/VIIDA-Glow%E7%B3%BB%E5%88%97-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%A3%9F%E7%89%A9%E5%89%AA-242425314361347?itemId=242425314361348&vendorItemId=242425314361345&sourceType=search&rank=4&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"台灣 COSMOS 指甲剪 #503, 2支",$78,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3-COSMOS-%E6%8C%87%E7%94%B2%E5%89%AA-%23503-168599398334464?itemId=394361606979604&vendorItemId=394361606963219&sourceType=search&rank=5&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"PERFECT 理想 多功能雞骨剪刀, 1支",$75,https://www.tw.coupang.com/products/PERFECT-%E7%90%86%E6%83%B3-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%9E%E9%AA%A8%E5%89%AA%E5%88%80-164209954340872?itemId=164209954340873&vendorItemId=164209954340866&sourceType=search&rank=6&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"Simba 小獅王辛巴 放大鏡嬰兒剪刀 曲面, 2支",$140,https://www.tw.coupang.com/products/Simba-%E5%B0%8F%E7%8D%85%E7%8E%8B%E8%BE%9B%E5%B7%B4-%E6%94%BE%E5%A4%A7%E9%8F%A1%E5%AC%B0%E5%85%92%E5%89%AA%E5%88%80-%E6%9B%B2%E9%9D%A2-239958405136389?itemId=399425079820300&vendorItemId=399425079803914&sourceType=search&rank=7&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"Paris Spring 巴黎春天 輕時尚職人級打薄剪刀, 冰湖藍, 1支",$209,https://www.tw.coupang.com/products/Paris-Spring-%E5%B7%B4%E9%BB%8E%E6%98%A5%E5%A4%A9-%E8%BC%95%E6%99%82%E5%B0%9A%E8%81%B7%E4%BA%BA%E7%B4%9A%E6%89%93%E8%96%84%E5%89%AA%E5%88%80-150773669249037?itemId=150774420045838&vendorItemId=150774420045826&sourceType=search&rank=8&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
"Combi 康貝 優質安全髮剪, 天空藍, 1支",$435,https://www.tw.coupang.com/products/Combi-%E5%BA%B7%E8%B2%9D-%E5%84%AA%E8%B3%AA%E5%AE%89%E5%85%A8%E9%AB%AE%E5%89%AA-159135488262144?itemId=159135899287552&vendorItemId=159135060410368&sourceType=search&rank=9&searchId=713290c037f44f20ab734733bad90dbd&q=%E5%89%AA%E8%AD%B7
