product_name,product_price,product_url
"KISSME 奇士美 花漾美姬 華爾茲淚眼防水眼線液筆 0.4ml, 深黑色, 1支",$172,https://www.tw.coupang.com/products/KISSME-%E5%A5%87%E5%A3%AB%E7%BE%8E-%E8%8A%B1%E6%BC%BE%E7%BE%8E%E5%A7%AC-%E8%8F%AF%E7%88%BE%E8%8C%B2%E6%B7%9A%E7%9C%BC%E9%98%B2%E6%B0%B4%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.4ml-21000000108305?itemId=21000000208092&vendorItemId=21003000140943&sourceType=search&rank=&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"the SAEM 得鮮 極細防水眼線液筆 0.6ml, 02 棕色, 2支",$333,https://www.tw.coupang.com/products/the-SAEM-%E5%BE%97%E9%AE%AE-%E6%A5%B5%E7%B4%B0%E9%98%B2%E6%B0%B4%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.6ml-21000080077699?itemId=21019494880257&vendorItemId=21086604479497&sourceType=search&rank=1&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"BBIA 超持久抗暈柔細眼線液筆 0.6g, 01 Sharpen Black, 2支",$235,https://www.tw.coupang.com/products/BBIA-%E8%B6%85%E6%8C%81%E4%B9%85%E6%8A%97%E6%9A%88%E6%9F%94%E7%B4%B0%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.6g-21007679574092?itemId=21007415957445&vendorItemId=21086294041918&sourceType=search&rank=2&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"KISSME 奇士美 花漾美姬零阻力眼線液筆 0.4ml, 02 Brown, 1支",$239,https://www.tw.coupang.com/products/KISSME-%E5%A5%87%E5%A3%AB%E7%BE%8E-%E8%8A%B1%E6%BC%BE%E7%BE%8E%E5%A7%AC%E9%9B%B6%E9%98%BB%E5%8A%9B%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.4ml-21001067325925?itemId=21000032314903&vendorItemId=21003026517355&sourceType=search&rank=3&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"J.MUE 流暢易畫眼線液筆 Pen版, 02 Brown, 1支",$176,https://www.tw.coupang.com/products/J.MUE-%E6%B5%81%E6%9A%A2%E6%98%93%E7%95%AB%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-Pen%E7%89%88-21007679437465?itemId=21000414943031&vendorItemId=21003086173190&sourceType=search&rank=4&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"BBIA 超持久抗暈柔細眼線液筆 0.6g, 02 Sharpen Brown, 2支",$240,https://www.tw.coupang.com/products/BBIA-%E8%B6%85%E6%8C%81%E4%B9%85%E6%8A%97%E6%9A%88%E6%9F%94%E7%B4%B0%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.6g-21007679574092?itemId=21019176027193&vendorItemId=21086294042310&sourceType=search&rank=5&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"the SAEM 得鮮 極細防水眼線液筆 0.6ml, 02 棕色, 3支",$482,https://www.tw.coupang.com/products/the-SAEM-%E5%BE%97%E9%AE%AE-%E6%A5%B5%E7%B4%B0%E9%98%B2%E6%B0%B4%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.6ml-21000080077699?itemId=21019494880419&vendorItemId=21086604479648&sourceType=search&rank=6&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"PASSIONCAT 2X防水持效眼線液筆, 02 Brown, 1支",$269,https://www.tw.coupang.com/products/PASSIONCAT-2X%E9%98%B2%E6%B0%B4%E6%8C%81%E6%95%88%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-21000041927000?itemId=21000063919956&vendorItemId=21003100619907&sourceType=search&rank=7&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"BBIA 超持久抗暈柔細眼線液筆 0.6g, 03 Chocolate Brown, 1支",$167,https://www.tw.coupang.com/products/BBIA-%E8%B6%85%E6%8C%81%E4%B9%85%E6%8A%97%E6%9A%88%E6%9F%94%E7%B4%B0%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.6g-21007679574092?itemId=21017992551032&vendorItemId=21003013094958&sourceType=search&rank=8&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"遮瑕筆 1.83g, CR217, 1支",$561,https://www.tw.coupang.com/products/%E9%81%AE%E7%91%95%E7%AD%86-1.83g-21001491947787?itemId=21019452919822&vendorItemId=21070553603383&sourceType=search&rank=9&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"BBIA 超持久抗暈柔細眼線液筆 0.6g, 03 Choco Brown, 2支",$235,https://www.tw.coupang.com/products/BBIA-%E8%B6%85%E6%8C%81%E4%B9%85%E6%8A%97%E6%9A%88%E6%9F%94%E7%B4%B0%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.6g-21007679574092?itemId=21019176027531&vendorItemId=21086294042630&sourceType=search&rank=10&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"尖頭眼線液筆, Black, 1支",$361,https://www.tw.coupang.com/products/%E5%B0%96%E9%A0%AD%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-21000189673570?itemId=21000541777246&vendorItemId=21004417421559&sourceType=search&rank=11&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"J.MUE 流暢易畫眼線液筆 Pen版, 02 Brown, 5支",$659,https://www.tw.coupang.com/products/J.MUE-%E6%B5%81%E6%9A%A2%E6%98%93%E7%95%AB%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-Pen%E7%89%88-21007679437465?itemId=21019176165205&vendorItemId=21086294173620&sourceType=search&rank=12&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
"BBIA 超持久抗暈柔細眼線液筆 0.6g, 02 Sharpen Brown, 4支",$432,https://www.tw.coupang.com/products/BBIA-%E8%B6%85%E6%8C%81%E4%B9%85%E6%8A%97%E6%9A%88%E6%9F%94%E7%B4%B0%E7%9C%BC%E7%B7%9A%E6%B6%B2%E7%AD%86-0.6g-21007679574092?itemId=21019176027360&vendorItemId=21086294042465&sourceType=search&rank=13&searchId=680a776aaa9c40fabc408a587b8c1e58&q=%E5%8D%B8%E5%A6%9D%E7%AD%86
