product_name,product_price,product_url
ADDEDIT 後背筆電包,$696,https://www.tw.coupang.com/products/ADDEDIT-%E5%BE%8C%E8%83%8C%E7%AD%86%E9%9B%BB%E5%8C%85-21005876810289?itemId=21010297413871&vendorItemId=21070005414885&sourceType=search&rank=&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"FROM HEAVEN 筆記型電腦包 P687, 灰色的",$339,https://www.tw.coupang.com/products/FROM-HEAVEN-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-P687-21001421637833?itemId=21002460242259&vendorItemId=21070453760203&sourceType=search&rank=1&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
Nessie 男士日常背包 Model 5,$963,https://www.tw.coupang.com/products/Nessie-%E7%94%B7%E5%A3%AB%E6%97%A5%E5%B8%B8%E8%83%8C%E5%8C%85-Model-5-21006443988475?itemId=21013959394454&vendorItemId=21081208440133&sourceType=search&rank=2&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"Babigongsik 大容量15.6吋學生後背包, 黑色",$479,https://www.tw.coupang.com/products/Babigongsik-%E5%A4%A7%E5%AE%B9%E9%87%8F15.6%E5%90%8B%E5%AD%B8%E7%94%9F%E5%BE%8C%E8%83%8C%E5%8C%85-21007373244655?itemId=21019024791149&vendorItemId=21077427444349&sourceType=search&rank=3&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
MARCO POLO 防水後背包 MP3244,$696,https://www.tw.coupang.com/products/MARCO-POLO-%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85-MP3244-21004918553812?itemId=21006441037216&vendorItemId=21073735706013&sourceType=search&rank=4&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
ADDEDIT 素色可側背後背包,$484,https://www.tw.coupang.com/products/ADDEDIT-%E7%B4%A0%E8%89%B2%E5%8F%AF%E5%81%B4%E8%83%8C%E5%BE%8C%E8%83%8C%E5%8C%85-21005682634070?itemId=21009390057377&vendorItemId=21076675102946&sourceType=search&rank=5&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"MARCO POLO 防水後背包 MP3254, 黑色",$624,https://www.tw.coupang.com/products/MARCO-POLO-%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85-MP3254-21006641107394?itemId=21015181326517&vendorItemId=21082402590981&sourceType=search&rank=6&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"Babigongsik Body Official 多口袋背包, 米色",$610,https://www.tw.coupang.com/products/Babigongsik-Body-Official-%E5%A4%9A%E5%8F%A3%E8%A2%8B%E8%83%8C%E5%8C%85-21006993410409?itemId=21017123948471&vendorItemId=21084297276580&sourceType=search&rank=7&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
BALANG 商務筆記型電腦背包,"$1,183",https://www.tw.coupang.com/products/BALANG-%E5%95%86%E5%8B%99%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E8%83%8C%E5%8C%85-21006771940072?itemId=21015902721447&vendorItemId=21083110614566&sourceType=search&rank=8&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
SHOOPEN 基本款背包 554B TPBF20S02,"$1,689",https://www.tw.coupang.com/products/SHOOPEN-%E5%9F%BA%E6%9C%AC%E6%AC%BE%E8%83%8C%E5%8C%85-554B-TPBF20S02-21005002801204?itemId=21006688981138&vendorItemId=21070599087528&sourceType=search&rank=9&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"ADDEDIT 女款牛皮後背包, 黑色",$820,https://www.tw.coupang.com/products/ADDEDIT-%E5%A5%B3%E6%AC%BE%E7%89%9B%E7%9A%AE%E5%BE%8C%E8%83%8C%E5%8C%85-21005523666343?itemId=21008647246900&vendorItemId=21075934459592&sourceType=search&rank=10&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
donnashop 男款雙肩包+斜背包+收納袋 sh-32804,$469,https://www.tw.coupang.com/products/donnashop-%E7%94%B7%E6%AC%BE%E9%9B%99%E8%82%A9%E5%8C%85%2B%E6%96%9C%E8%83%8C%E5%8C%85%2B%E6%94%B6%E7%B4%8D%E8%A2%8B-sh-32804-21001816521134?itemId=21003091466321&vendorItemId=21071079295662&sourceType=search&rank=11&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"ADDEDIT 筆記型電腦後背包, 黑色的",$956,https://www.tw.coupang.com/products/ADDEDIT-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%BE%8C%E8%83%8C%E5%8C%85-21001499691643?itemId=21002575326888&vendorItemId=21070567625506&sourceType=search&rank=12&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"超輕量筆記電腦運動休閒商務背包帶USB充電功能, 海軍藍",$312,https://www.tw.coupang.com/products/%E8%B6%85%E8%BC%95%E9%87%8F%E7%AD%86%E8%A8%98%E9%9B%BB%E8%85%A6%E9%81%8B%E5%8B%95%E4%BC%91%E9%96%92%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85%E5%B8%B6USB%E5%85%85%E9%9B%BB%E5%8A%9F%E8%83%BD-21008085334824?itemId=21022815052175&vendorItemId=21089849892452&sourceType=search&rank=13&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
MARCO POLO 防水USB充電後背包 MP3246,$696,https://www.tw.coupang.com/products/MARCO-POLO-%E9%98%B2%E6%B0%B4USB%E5%85%85%E9%9B%BB%E5%BE%8C%E8%83%8C%E5%8C%85-MP3246-21004971557378?itemId=21006601017652&vendorItemId=21073894942981&sourceType=search&rank=14&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"AMERICAN TOURISTER 美國旅行者 MILTON2商務後背包, JET BLACK","$1,608",https://www.tw.coupang.com/products/AMERICAN-TOURISTER-%E7%BE%8E%E5%9C%8B%E6%97%85%E8%A1%8C%E8%80%85-MILTON2%E5%95%86%E5%8B%99%E5%BE%8C%E8%83%8C%E5%8C%85-21005567158543?itemId=21008852872916&vendorItemId=21076139966448&sourceType=search&rank=15&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"MARCO POLO 防水商務背包 MP3249, 灰色的",$675,https://www.tw.coupang.com/products/MARCO-POLO-%E9%98%B2%E6%B0%B4%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85-MP3249-21006065200662?itemId=21011171452998&vendorItemId=21078449468055&sourceType=search&rank=16&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"Body Official 現代輕便修身背包, 黑色的",$590,https://www.tw.coupang.com/products/Body-Official-%E7%8F%BE%E4%BB%A3%E8%BC%95%E4%BE%BF%E4%BF%AE%E8%BA%AB%E8%83%8C%E5%8C%85-21008039942979?itemId=21022506866586&vendorItemId=21084297266018&sourceType=search&rank=17&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"Marco Polo 多口袋背包+鑰匙圈 MP6485, 象牙白色",$479,https://www.tw.coupang.com/products/Marco-Polo-%E5%A4%9A%E5%8F%A3%E8%A2%8B%E8%83%8C%E5%8C%85%2B%E9%91%B0%E5%8C%99%E5%9C%88-MP6485-21000275886471?itemId=21000873263819&vendorItemId=21005205359357&sourceType=search&rank=18&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
男包大容量商務背包 BNG331A,"$1,256",https://www.tw.coupang.com/products/%E7%94%B7%E5%8C%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85-BNG331A-21007691716915?itemId=21020570592009&vendorItemId=21087646052346&sourceType=search&rank=19&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"MIC CORN 女式 RIRIS 簡單基本手柄背包, 淺灰",$442,https://www.tw.coupang.com/products/MIC-CORN-%E5%A5%B3%E5%BC%8F-RIRIS-%E7%B0%A1%E5%96%AE%E5%9F%BA%E6%9C%AC%E6%89%8B%E6%9F%84%E8%83%8C%E5%8C%85-21005856893946?itemId=21010208002011&vendorItemId=21077490487713&sourceType=search&rank=20&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"LULU 輕便防水旅行後背包, 薄荷色(雙肩包)+隨機出貨(配件)",$493,https://www.tw.coupang.com/products/LULU-%E8%BC%95%E4%BE%BF%E9%98%B2%E6%B0%B4%E6%97%85%E8%A1%8C%E5%BE%8C%E8%83%8C%E5%8C%85-21006418072158?itemId=21013793348619&vendorItemId=21084373891819&sourceType=search&rank=21&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"MARCO POLO 防水商務背包 MP3249, 黑色",$675,https://www.tw.coupang.com/products/MARCO-POLO-%E9%98%B2%E6%B0%B4%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85-MP3249-21006065200662?itemId=21011171452999&vendorItemId=21078449468062&sourceType=search&rank=22&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
Newen 男士可擴展旅行背包 P31W,$956,https://www.tw.coupang.com/products/Newen-%E7%94%B7%E5%A3%AB%E5%8F%AF%E6%93%B4%E5%B1%95%E6%97%85%E8%A1%8C%E8%83%8C%E5%8C%85-P31W-21007055134297?itemId=21017477603831&vendorItemId=21084645168716&sourceType=search&rank=23&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
"BANGE 旅行休閒背包 BG-6147, 黑色的","$1,791",https://www.tw.coupang.com/products/BANGE-%E6%97%85%E8%A1%8C%E4%BC%91%E9%96%92%E8%83%8C%E5%8C%85-BG-6147-21006379694321?itemId=21013549072203&vendorItemId=21080802696236&sourceType=search&rank=24&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
MARK RYDEN 大容量背包 MR0049B,"$1,556",https://www.tw.coupang.com/products/MARK-RYDEN-%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%83%8C%E5%8C%85-MR0049B-21006603308823?itemId=21014943690313&vendorItemId=21082167167970&sourceType=search&rank=25&searchId=9bc1b540c2da49a7a60a48ec4ae4bf88&q=%E5%95%86%E5%8B%99%E8%83%8C%E5%8C%85
