product_name,product_price,product_url
"Roy Wing 壺鈴核心 PVC 啞鈴, 天空, 8kg, 1個",$739,https://www.tw.coupang.com/products/Roy-Wing-%E5%A3%BA%E9%88%B4%E6%A0%B8%E5%BF%83-PVC-%E5%95%9E%E9%88%B4-21006790626295?itemId=21015997401604&vendorItemId=21083202640043&sourceType=search&rank=&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"ERGO GEAR 壺鈴, 綠色, 6kg, 1個",$326,https://www.tw.coupang.com/products/ERGO-GEAR-%E5%A3%BA%E9%88%B4-21004549172424?itemId=21000323560849&vendorItemId=21003792197520&sourceType=search&rank=1&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"Bfit 優質鑄鐵壺鈴, 16kg, 1個, 黑+黃","$1,221",https://www.tw.coupang.com/products/Bfit-%E5%84%AA%E8%B3%AA%E9%91%84%E9%90%B5%E5%A3%BA%E9%88%B4-21005485015603?itemId=21008473909431&vendorItemId=21075761536747&sourceType=search&rank=2&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"Roy Wing 壺鈴核心 PVC 啞鈴, 綠色, 6kg, 1個",$672,https://www.tw.coupang.com/products/Roy-Wing-%E5%A3%BA%E9%88%B4%E6%A0%B8%E5%BF%83-PVC-%E5%95%9E%E9%88%B4-21006790626295?itemId=21015997401606&vendorItemId=21083202640052&sourceType=search&rank=3&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"B.SPEC 彩虹壺鈴, 黃色, 8kg, 1個",$395,https://www.tw.coupang.com/products/B.SPEC-%E5%BD%A9%E8%99%B9%E5%A3%BA%E9%88%B4-21000324763805?itemId=21000007636956&vendorItemId=21070917488489&sourceType=search&rank=4&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"Roy Wing 壺鈴核心 PVC 啞鈴, 粉色, 5kg, 1個",$726,https://www.tw.coupang.com/products/Roy-Wing-%E5%A3%BA%E9%88%B4%E6%A0%B8%E5%BF%83-PVC-%E5%95%9E%E9%88%B4-21006790626295?itemId=21015997401608&vendorItemId=21083202640059&sourceType=search&rank=5&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"B.SPEC 壺鈴+握把膠帶, 壺鈴(黑色)+膠帶(天藍色), 14kg",$628,https://www.tw.coupang.com/products/B.SPEC-%E5%A3%BA%E9%88%B4%2B%E6%8F%A1%E6%8A%8A%E8%86%A0%E5%B8%B6-21001951659650?itemId=21003315233239&vendorItemId=21071302114592&sourceType=search&rank=6&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"Roy Wing 壺鈴核心 PVC 啞鈴, 藍色, 10kg, 1個","$1,011",https://www.tw.coupang.com/products/Roy-Wing-%E5%A3%BA%E9%88%B4%E6%A0%B8%E5%BF%83-PVC-%E5%95%9E%E9%88%B4-21006790626295?itemId=21015997401602&vendorItemId=21083202640038&sourceType=search&rank=7&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"B.SPEC 彩虹壺鈴, 紅色, 3kg, 1個",$208,https://www.tw.coupang.com/products/B.SPEC-%E5%BD%A9%E8%99%B9%E5%A3%BA%E9%88%B4-21000324763805?itemId=21001039742160&vendorItemId=21005496722622&sourceType=search&rank=8&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
"Roy Wing 壺鈴核心 PVC 啞鈴, 粉色, 4kg, 1個",$583,https://www.tw.coupang.com/products/Roy-Wing-%E5%A3%BA%E9%88%B4%E6%A0%B8%E5%BF%83-PVC-%E5%95%9E%E9%88%B4-21006790626295?itemId=21015997401610&vendorItemId=21083202640068&sourceType=search&rank=9&searchId=f5491e7920e24f499cbdf3bcb31cf6b0&q=%E5%95%9E%E9%88%B4%E5%A3%BA%E9%88%B4
