product_name,product_price,product_url
"Dr.Morita 森田藥粧 茶樹淨化洗面乳, 120g, 2條",$82,https://www.tw.coupang.com/products/Dr.Morita-%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7-%E8%8C%B6%E6%A8%B9%E6%B7%A8%E5%8C%96%E6%B4%97%E9%9D%A2%E4%B9%B3-277600400261126?itemId=410024249622538&vendorItemId=410024249606155&sourceType=search&rank=&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"NARD AHA PHA 深層清潔油, 500ml, 1瓶",$251,https://www.tw.coupang.com/products/NARD-AHA-PHA-%E6%B7%B1%E5%B1%A4%E6%B8%85%E6%BD%94%E6%B2%B9-326507075420167?itemId=253312418955280&vendorItemId=253313274576900&sourceType=search&rank=1&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"Dr.Morita 森田藥粧 炭深層潔淨 洗顏乳 12'S, 120ml, 2條",$82,https://www.tw.coupang.com/products/Dr.Morita-%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7-%E7%82%AD%E6%B7%B1%E5%B1%A4%E6%BD%94%E6%B7%A8-%E6%B4%97%E9%A1%8F%E4%B9%B3-12'S-169637304025092?itemId=393294068514820&vendorItemId=393294068563971&sourceType=search&rank=2&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"友和 Tipo's 頑固去汙酵素家庭用清潔劑 中性, 500ml, 1瓶",$98,https://www.tw.coupang.com/products/%E5%8F%8B%E5%92%8C-Tipo's-%E9%A0%91%E5%9B%BA%E5%8E%BB%E6%B1%99%E9%85%B5%E7%B4%A0%E5%AE%B6%E5%BA%AD%E7%94%A8%E6%B8%85%E6%BD%94%E5%8A%91-%E4%B8%AD%E6%80%A7-454094191788042?itemId=454094191804427&vendorItemId=454094191837191&sourceType=search&rank=3&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"OP 茶酚洗潔精 金柚清香, 1L, 1瓶",$105,https://www.tw.coupang.com/products/OP-%E8%8C%B6%E9%85%9A%E6%B4%97%E6%BD%94%E7%B2%BE-%E9%87%91%E6%9F%9A%E6%B8%85%E9%A6%99-336697720012802?itemId=336697720029186&vendorItemId=336697719996417&sourceType=search&rank=4&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"NARD 木炭毛孔護理洗面乳, 500ml, 1瓶",$215,https://www.tw.coupang.com/products/NARD-%E6%9C%A8%E7%82%AD%E6%AF%9B%E5%AD%94%E8%AD%B7%E7%90%86%E6%B4%97%E9%9D%A2%E4%B9%B3-21006713294011?itemId=21020853551970&vendorItemId=21082811788243&sourceType=search&rank=5&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"Simple 清妍 深層毛孔淨化去角質凝露, 150ml, 1條",$94,https://www.tw.coupang.com/products/Simple-%E6%B8%85%E5%A6%8D-%E6%B7%B1%E5%B1%A4%E6%AF%9B%E5%AD%94%E6%B7%A8%E5%8C%96%E5%8E%BB%E8%A7%92%E8%B3%AA%E5%87%9D%E9%9C%B2-268598324969477?itemId=268599369383942&vendorItemId=268598324969472&sourceType=search&rank=6&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"Bio essence 碧歐斯 潔面凝膠 玫瑰, 100ml, 1條",$104,https://www.tw.coupang.com/products/Bio-essence-%E7%A2%A7%E6%AD%90%E6%96%AF-%E6%BD%94%E9%9D%A2%E5%87%9D%E8%86%A0-%E7%8E%AB%E7%91%B0-258020202233870?itemId=258019220733964&vendorItemId=258019220733959&sourceType=search&rank=7&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"NARD 深層潔淨洗面乳, 500ml, 1瓶",$215,https://www.tw.coupang.com/products/NARD-%E6%B7%B1%E5%B1%A4%E6%BD%94%E6%B7%A8%E6%B4%97%E9%9D%A2%E4%B9%B3-21006590527934?itemId=21014870021103&vendorItemId=21082109058549&sourceType=search&rank=8&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
"FAmILyLIFE 生活 高質感加大加厚附輪活動置物架 2層款, 透明灰, 1個",$380,https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E9%AB%98%E8%B3%AA%E6%84%9F%E5%8A%A0%E5%A4%A7%E5%8A%A0%E5%8E%9A%E9%99%84%E8%BC%AA%E6%B4%BB%E5%8B%95%E7%BD%AE%E7%89%A9%E6%9E%B6-2%E5%B1%A4%E6%AC%BE-455224057643014?itemId=455224057610247&vendorItemId=455224057626630&sourceType=search&rank=9&searchId=7abca1f940b54f1890e8c44c0a153fe9&q=%E5%9B%9B%E5%B1%A4%E6%B7%A8%E5%8C%96
