product_name,product_price,product_url
"故事摩天輪 貓計程車司機 二版, 1本",$161,https://www.tw.coupang.com/products/%E6%95%85%E4%BA%8B%E6%91%A9%E5%A4%A9%E8%BC%AA-%E8%B2%93%E8%A8%88%E7%A8%8B%E8%BB%8A%E5%8F%B8%E6%A9%9F-%E4%BA%8C%E7%89%88-323605753708551?itemId=323605753692167&vendorItemId=323605753692163&sourceType=search&rank=&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"說話禮儀/生活教育-為什麼不可以說?, 1本",$195,https://www.tw.coupang.com/products/%E8%AA%AA%E8%A9%B1%E7%A6%AE%E5%84%80%2F%E7%94%9F%E6%B4%BB%E6%95%99%E8%82%B2-%E7%82%BA%E4%BB%80%E9%BA%BC%E4%B8%8D%E5%8F%AF%E4%BB%A5%E8%AA%AA%3F-323299997319174?itemId=323299997368327&vendorItemId=323299997351941&sourceType=search&rank=1&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"不是只有自己的事才重要, 1本",$228,https://www.tw.coupang.com/products/%E4%B8%8D%E6%98%AF%E5%8F%AA%E6%9C%89%E8%87%AA%E5%B7%B1%E7%9A%84%E4%BA%8B%E6%89%8D%E9%87%8D%E8%A6%81-323322776616962?itemId=323322776600577&vendorItemId=323322776600576&sourceType=search&rank=2&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"miniland 綜合幾何數字基礎訓練組, 1組","$2,289",https://www.tw.coupang.com/products/miniland-%E7%B6%9C%E5%90%88%E5%B9%BE%E4%BD%95%E6%95%B8%E5%AD%97%E5%9F%BA%E7%A4%8E%E8%A8%93%E7%B7%B4%E7%B5%84-238154300768270?itemId=238155080892425&vendorItemId=234911931777031&sourceType=search&rank=3&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"YK 四季王牌, 混色",$157,https://www.tw.coupang.com/products/YK-%E5%9B%9B%E5%AD%A3%E7%8E%8B%E7%89%8C-21001925671452?itemId=21003269125810&vendorItemId=21071256149765&sourceType=search&rank=4&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"buyhearts 自動加載 nysler + nysler, 1套, M號+K號",$193,https://www.tw.coupang.com/products/buyhearts-%E8%87%AA%E5%8B%95%E5%8A%A0%E8%BC%89-nysler-%2B-nysler-21002244839167?itemId=21003836287687&vendorItemId=21071821115618&sourceType=search&rank=5&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"daekyo 眼平漢字智能教程04-認識漢字（四）, 橋",$578,https://www.tw.coupang.com/products/daekyo-%E7%9C%BC%E5%B9%B3%E6%BC%A2%E5%AD%97%E6%99%BA%E8%83%BD%E6%95%99%E7%A8%8B04-%E8%AA%8D%E8%AD%98%E6%BC%A2%E5%AD%97%EF%BC%88%E5%9B%9B%EF%BC%89-21006124316242?itemId=21011631692941&vendorItemId=21078906258345&sourceType=search&rank=6&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"BRAINSOOP 訓練智商謎題, 混色",$984,https://www.tw.coupang.com/products/BRAINSOOP-%E8%A8%93%E7%B7%B4%E6%99%BA%E5%95%86%E8%AC%8E%E9%A1%8C-21000001246170?itemId=21000005414662&vendorItemId=21003006786782&sourceType=search&rank=7&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"LINE BLOCK Line Block 行廣告塊, 1套, 混色","$1,072",https://www.tw.coupang.com/products/LINE-BLOCK-Line-Block-%E8%A1%8C%E5%BB%A3%E5%91%8A%E5%A1%8A-21000001736163?itemId=21000007575987&vendorItemId=21003010225195&sourceType=search&rank=8&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
"Safari Ltd 圖112889 Cheetah Cheetah, 1個",$665,https://www.tw.coupang.com/products/Safari-Ltd-%E5%9C%96112889-Cheetah-Cheetah-21000019839061?itemId=21000078937593&vendorItemId=21003133469760&sourceType=search&rank=9&searchId=d6f689b5d332425fa194d8b3daa573a1&q=%E5%9B%9B%E8%A1%8C%E7%A8%8B
