product_name,product_price,product_url
MA三角短袖T卹+綁帶褲上下套裝,$538,https://www.tw.coupang.com/products/MA%E4%B8%89%E8%A7%92%E7%9F%AD%E8%A2%96T%E5%8D%B9%2B%E7%B6%81%E5%B8%B6%E8%A4%B2%E4%B8%8A%E4%B8%8B%E5%A5%97%E8%A3%9D-21007360870883?itemId=21018964243287&vendorItemId=21086090064724&sourceType=search&rank=&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
PAPERMENTS 時尚短袖雪紡衫+細褶寬褲套裝,"$1,188",https://www.tw.coupang.com/products/PAPERMENTS-%E6%99%82%E5%B0%9A%E7%9F%AD%E8%A2%96%E9%9B%AA%E7%B4%A1%E8%A1%AB%2B%E7%B4%B0%E8%A4%B6%E5%AF%AC%E8%A4%B2%E5%A5%97%E8%A3%9D-21008017117451?itemId=21022392309433&vendorItemId=21089437257935&sourceType=search&rank=1&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
Kids Como 兒童兔子上衣和下裝套裝,$220,https://www.tw.coupang.com/products/Kids-Como-%E5%85%92%E7%AB%A5%E5%85%94%E5%AD%90%E4%B8%8A%E8%A1%A3%E5%92%8C%E4%B8%8B%E8%A3%9D%E5%A5%97%E8%A3%9D-21007090319886?itemId=21017666803102&vendorItemId=21084832226160&sourceType=search&rank=2&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
女式MA首字母短袖+束帶褲套裝,$560,https://www.tw.coupang.com/products/%E5%A5%B3%E5%BC%8FMA%E9%A6%96%E5%AD%97%E6%AF%8D%E7%9F%AD%E8%A2%96%2B%E6%9D%9F%E5%B8%B6%E8%A4%B2%E5%A5%97%E8%A3%9D-21007360783160?itemId=21018963778644&vendorItemId=21086089612400&sourceType=search&rank=3&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
NEW FORCE 莫代爾 附胸墊極柔套裝,$391,https://www.tw.coupang.com/products/NEW-FORCE-%E8%8E%AB%E4%BB%A3%E7%88%BE-%E9%99%84%E8%83%B8%E5%A2%8A%E6%A5%B5%E6%9F%94%E5%A5%97%E8%A3%9D-168945671700486?itemId=168944732160005&vendorItemId=168945667506178&sourceType=search&rank=4&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
"BUNNy LAND Sanrio 角色 LED Bigminton 套裝, 酷洛米款",$384,https://www.tw.coupang.com/products/BUNNy-LAND-Sanrio-%E8%A7%92%E8%89%B2-LED-Bigminton-%E5%A5%97%E8%A3%9D-21007881688445?itemId=21021556459120&vendorItemId=21088609050588&sourceType=search&rank=5&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
mollimelli 兒童新款櫻桃短款荷葉邊上裝和下裝套裝,$411,https://www.tw.coupang.com/products/mollimelli-%E5%85%92%E7%AB%A5%E6%96%B0%E6%AC%BE%E6%AB%BB%E6%A1%83%E7%9F%AD%E6%AC%BE%E8%8D%B7%E8%91%89%E9%82%8A%E4%B8%8A%E8%A3%9D%E5%92%8C%E4%B8%8B%E8%A3%9D%E5%A5%97%E8%A3%9D-21006470860190?itemId=21014123251435&vendorItemId=21081370141136&sourceType=search&rank=6&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
Goodiff Urban 字母印花紮染寬鬆版型短袖 T 卹 + 短褲套裝,$342,https://www.tw.coupang.com/products/Goodiff-Urban-%E5%AD%97%E6%AF%8D%E5%8D%B0%E8%8A%B1%E7%B4%AE%E6%9F%93%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B%E7%9F%AD%E8%A2%96-T-%E5%8D%B9-%2B-%E7%9F%AD%E8%A4%B2%E5%A5%97%E8%A3%9D-21007257895186?itemId=21018478777690&vendorItemId=21085618638659&sourceType=search&rank=7&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
NEW FORCE 莫代爾Bra條紋短袖套裝,$391,https://www.tw.coupang.com/products/NEW-FORCE-%E8%8E%AB%E4%BB%A3%E7%88%BEBra%E6%A2%9D%E7%B4%8B%E7%9F%AD%E8%A2%96%E5%A5%97%E8%A3%9D-160919581589504?itemId=160918725935104&vendorItemId=160919162175488&sourceType=search&rank=8&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
"經典擴香 510ml 3瓶+擴香棒 9支 禮盒組, 依蘭依蘭花香, 3瓶",$651,https://www.tw.coupang.com/products/%E7%B6%93%E5%85%B8%E6%93%B4%E9%A6%99-510ml-3%E7%93%B6%2B%E6%93%B4%E9%A6%99%E6%A3%92-9%E6%94%AF-%E7%A6%AE%E7%9B%92%E7%B5%84-21007308098821?itemId=21023711558864&vendorItemId=21088676836286&sourceType=search&rank=9&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
Tomato Factory 女款寬鬆連帽上衣+抽繩短褲套裝,$544,https://www.tw.coupang.com/products/Tomato-Factory-%E5%A5%B3%E6%AC%BE%E5%AF%AC%E9%AC%86%E9%80%A3%E5%B8%BD%E4%B8%8A%E8%A1%A3%2B%E6%8A%BD%E7%B9%A9%E7%9F%AD%E8%A4%B2%E5%A5%97%E8%A3%9D-21006063978853?itemId=21011164009317&vendorItemId=21080744291290&sourceType=search&rank=10&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
"LEGO 樂高 11017 經典系列 創意怪獸套裝 Creative Monsters, 1盒",$192,https://www.tw.coupang.com/products/LEGO-%E6%A8%82%E9%AB%98-11017-%E7%B6%93%E5%85%B8%E7%B3%BB%E5%88%97-%E5%89%B5%E6%84%8F%E6%80%AA%E7%8D%B8%E5%A5%97%E8%A3%9D-Creative-Monsters-228012075237392?itemId=228012809224209&vendorItemId=228012075237379&sourceType=search&rank=11&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
GLAM GONGGAM Bubble X No Wire 莫代爾運動純棉內衣套裝,$213,https://www.tw.coupang.com/products/GLAM-GONGGAM-Bubble-X-No-Wire-%E8%8E%AB%E4%BB%A3%E7%88%BE%E9%81%8B%E5%8B%95%E7%B4%94%E6%A3%89%E5%85%A7%E8%A1%A3%E5%A5%97%E8%A3%9D-21005807588031?itemId=21009980550877&vendorItemId=21077263680004&sourceType=search&rank=12&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
MA 素色短袖T卹+綁帶褲上下套裝,$540,https://www.tw.coupang.com/products/MA-%E7%B4%A0%E8%89%B2%E7%9F%AD%E8%A2%96T%E5%8D%B9%2B%E7%B6%81%E5%B8%B6%E8%A4%B2%E4%B8%8A%E4%B8%8B%E5%A5%97%E8%A3%9D-21007360870913?itemId=21018964243471&vendorItemId=21086090065467&sourceType=search&rank=13&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
"eye up 漢堡疊疊樂, 1組",$525,https://www.tw.coupang.com/products/eye-up-%E6%BC%A2%E5%A0%A1%E7%96%8A%E7%96%8A%E6%A8%82-237806903345153?itemId=237806026702869&vendorItemId=237807679275028&sourceType=search&rank=14&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
Geluna 女款 S925 可愛珍珠心型立方體閃亮耳環套裝,$156,https://www.tw.coupang.com/products/Geluna-%E5%A5%B3%E6%AC%BE-S925-%E5%8F%AF%E6%84%9B%E7%8F%8D%E7%8F%A0%E5%BF%83%E5%9E%8B%E7%AB%8B%E6%96%B9%E9%AB%94%E9%96%83%E4%BA%AE%E8%80%B3%E7%92%B0%E5%A5%97%E8%A3%9D-21007530164058?itemId=21019769425929&vendorItemId=21086872544997&sourceType=search&rank=15&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
Kids Como 兒童拉絨小熊上衣和下裝套裝,$359,https://www.tw.coupang.com/products/Kids-Como-%E5%85%92%E7%AB%A5%E6%8B%89%E7%B5%A8%E5%B0%8F%E7%86%8A%E4%B8%8A%E8%A1%A3%E5%92%8C%E4%B8%8B%E8%A3%9D%E5%A5%97%E8%A3%9D-21007665084172?itemId=21020431299521&vendorItemId=21087512395829&sourceType=search&rank=16&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
兒童曲妮學院上下套裝SS22S08,$481,https://www.tw.coupang.com/products/%E5%85%92%E7%AB%A5%E6%9B%B2%E5%A6%AE%E5%AD%B8%E9%99%A2%E4%B8%8A%E4%B8%8B%E5%A5%97%E8%A3%9DSS22S08-21006509722561?itemId=21014372754938&vendorItemId=21085654435013&sourceType=search&rank=17&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
"ORION 好麗友 預感香烤洋芋片 洋蔥口味, 64g, 4盒",$115,https://www.tw.coupang.com/products/ORION-%E5%A5%BD%E9%BA%97%E5%8F%8B-%E9%A0%90%E6%84%9F%E9%A6%99%E7%83%A4%E6%B4%8B%E8%8A%8B%E7%89%87-%E6%B4%8B%E8%94%A5%E5%8F%A3%E5%91%B3-21006536344662?itemId=21015286209677&vendorItemId=21085068507779&sourceType=search&rank=18&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
PEONIST 女款夏季短袖睡衣褲套裝,$384,https://www.tw.coupang.com/products/PEONIST-%E5%A5%B3%E6%AC%BE%E5%A4%8F%E5%AD%A3%E7%9F%AD%E8%A2%96%E7%9D%A1%E8%A1%A3%E8%A4%B2%E5%A5%97%E8%A3%9D-21006439842054?itemId=21013935160898&vendorItemId=21081184491931&sourceType=search&rank=19&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
MintCocoa 女式泡泡紗睡衣套裝,$283,https://www.tw.coupang.com/products/MintCocoa-%E5%A5%B3%E5%BC%8F%E6%B3%A1%E6%B3%A1%E7%B4%97%E7%9D%A1%E8%A1%A3%E5%A5%97%E8%A3%9D-21007229643275?itemId=21018341851366&vendorItemId=21085486058520&sourceType=search&rank=20&searchId=b2517e58cec14405b9031f4d7f0c1cf1&q=%E5%A5%97%E8%A3%9D
