product_name,product_price,product_url
"AcoMo 保冷抑菌多功能媽媽包 托特提袋 PCTG750, Tiffany, 1個",$265,https://www.tw.coupang.com/products/AcoMo-%E4%BF%9D%E5%86%B7%E6%8A%91%E8%8F%8C%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%AA%BD%E5%AA%BD%E5%8C%85-%E6%89%98%E7%89%B9%E6%8F%90%E8%A2%8B-PCTG750-222559261900815?itemId=222560050462732&vendorItemId=222560755089410&sourceType=search&rank=&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"ALMAENG 防水加厚分隔手提收納袋, 灰色",$417,https://www.tw.coupang.com/products/ALMAENG-%E9%98%B2%E6%B0%B4%E5%8A%A0%E5%8E%9A%E5%88%86%E9%9A%94%E6%89%8B%E6%8F%90%E6%94%B6%E7%B4%8D%E8%A2%8B-157311536414726?itemId=157311951683592&vendorItemId=157311951683584&sourceType=search&rank=1&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"MoM so near 多功能手提收納袋, 黑色, 1入",$414,https://www.tw.coupang.com/products/MoM-so-near-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%89%8B%E6%8F%90%E6%94%B6%E7%B4%8D%E8%A2%8B-21000124658962?itemId=21000202357049&vendorItemId=21003570456745&sourceType=search&rank=2&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"Almaeng 防水加厚分隔手提收納袋, 灰色, 1個",$382,https://www.tw.coupang.com/products/Almaeng-%E9%98%B2%E6%B0%B4%E5%8A%A0%E5%8E%9A%E5%88%86%E9%9A%94%E6%89%8B%E6%8F%90%E6%94%B6%E7%B4%8D%E8%A2%8B-21001298781782?itemId=21002311762924&vendorItemId=21070308530766&sourceType=search&rank=3&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"HERC LivingScience 多功能防水媽媽包, 紫色",$350,https://www.tw.coupang.com/products/HERC-LivingScience-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%98%B2%E6%B0%B4%E5%AA%BD%E5%AA%BD%E5%8C%85-21000129928284?itemId=21000382422074&vendorItemId=21003928077061&sourceType=search&rank=4&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"ALMAENG 尿布收納袋, 蒲公英款",$151,https://www.tw.coupang.com/products/ALMAENG-%E5%B0%BF%E5%B8%83%E6%94%B6%E7%B4%8D%E8%A2%8B-198945946976260?itemId=198945926004737&vendorItemId=198946521579520&sourceType=search&rank=5&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
BASE ALPHA ESSENTIALS 旅行袋組 網狀袋*1個+拉鍊袋*3個+束口袋*1個,$469,https://www.tw.coupang.com/products/BASE-ALPHA-ESSENTIALS-%E6%97%85%E8%A1%8C%E8%A2%8B%E7%B5%84-%E7%B6%B2%E7%8B%80%E8%A2%8B*1%E5%80%8B%2B%E6%8B%89%E9%8D%8A%E8%A2%8B*3%E5%80%8B%2B%E6%9D%9F%E5%8F%A3%E8%A2%8B*1%E5%80%8B-168953959628800?itemId=168954437812224&vendorItemId=168954899169280&sourceType=search&rank=6&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"維力 媽媽麵 蒜香排骨風味, 10包",$79,https://www.tw.coupang.com/products/%E7%B6%AD%E5%8A%9B-%E5%AA%BD%E5%AA%BD%E9%BA%B5-%E8%92%9C%E9%A6%99%E6%8E%92%E9%AA%A8%E9%A2%A8%E5%91%B3-259846486065167?itemId=427352450334720&vendorItemId=427352446189570&sourceType=search&rank=7&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"維力 媽媽麵 蛤蜊海鮮, 10包",$74,https://www.tw.coupang.com/products/%E7%B6%AD%E5%8A%9B-%E5%AA%BD%E5%AA%BD%E9%BA%B5-%E8%9B%A4%E8%9C%8A%E6%B5%B7%E9%AE%AE-210546720735234?itemId=433501656514570&vendorItemId=433501656547333&sourceType=search&rank=8&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
"Romane corp. 防水手提購物袋, Baguette Bear 藍色法棍小熊, 1個",$151,https://www.tw.coupang.com/products/Romane-corp.-%E9%98%B2%E6%B0%B4%E6%89%8B%E6%8F%90%E8%B3%BC%E7%89%A9%E8%A2%8B-226962597445632?itemId=226961871847427&vendorItemId=226961058119680&sourceType=search&rank=9&searchId=ae369af83c7a4b8892399c3a90dd51d2&q=%E5%AA%BD%E5%AA%BD%E8%A2%8B
