product_name,product_price,product_url
"八位守護神吊墜投射佛教項鍊, 虛虎菩薩, 1個",$228,https://www.tw.coupang.com/products/%E5%85%AB%E4%BD%8D%E5%AE%88%E8%AD%B7%E7%A5%9E%E5%90%8A%E5%A2%9C%E6%8A%95%E5%B0%84%E4%BD%9B%E6%95%99%E9%A0%85%E9%8D%8A-21006887303965?itemId=21016523822936&vendorItemId=21083710828532&sourceType=search&rank=&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
鴻居運、財運、生意運、八位守護神、寶石手鍊,$237,https://www.tw.coupang.com/products/%E9%B4%BB%E5%B1%85%E9%81%8B%E3%80%81%E8%B2%A1%E9%81%8B%E3%80%81%E7%94%9F%E6%84%8F%E9%81%8B%E3%80%81%E5%85%AB%E4%BD%8D%E5%AE%88%E8%AD%B7%E7%A5%9E%E3%80%81%E5%AF%B6%E7%9F%B3%E6%89%8B%E9%8D%8A-21007776171112?itemId=21021006250799&vendorItemId=21090424943876&sourceType=search&rank=1&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
"Kalron USB3.0內存卡隆守護神, 64GB",$554,https://www.tw.coupang.com/products/Kalron-USB3.0%E5%85%A7%E5%AD%98%E5%8D%A1%E9%9A%86%E5%AE%88%E8%AD%B7%E7%A5%9E-21006241231384?itemId=21012599087761&vendorItemId=21079866954075&sourceType=search&rank=2&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
"八位守護神吊墜投射佛教項鍊, 兔子文殊菩薩, 1個",$228,https://www.tw.coupang.com/products/%E5%85%AB%E4%BD%8D%E5%AE%88%E8%AD%B7%E7%A5%9E%E5%90%8A%E5%A2%9C%E6%8A%95%E5%B0%84%E4%BD%9B%E6%95%99%E9%A0%85%E9%8D%8A-21006887303965?itemId=21016523822932&vendorItemId=21083710828511&sourceType=search&rank=3&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
"新維納 我車裡的守護神 車載空氣清新劑 黑色+購物袋, 1個, 檸檬薰衣草",$932,https://www.tw.coupang.com/products/%E6%96%B0%E7%B6%AD%E7%B4%8D-%E6%88%91%E8%BB%8A%E8%A3%A1%E7%9A%84%E5%AE%88%E8%AD%B7%E7%A5%9E-%E8%BB%8A%E8%BC%89%E7%A9%BA%E6%B0%A3%E6%B8%85%E6%96%B0%E5%8A%91-%E9%BB%91%E8%89%B2%2B%E8%B3%BC%E7%89%A9%E8%A2%8B-21007154543298?itemId=21017993779864&vendorItemId=21085150249794&sourceType=search&rank=4&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
"八位守護神吊墜投射佛教項鍊, 龍蛇寶賢菩薩, 1個",$228,https://www.tw.coupang.com/products/%E5%85%AB%E4%BD%8D%E5%AE%88%E8%AD%B7%E7%A5%9E%E5%90%8A%E5%A2%9C%E6%8A%95%E5%B0%84%E4%BD%9B%E6%95%99%E9%A0%85%E9%8D%8A-21006887303965?itemId=21016523822943&vendorItemId=21083710828563&sourceType=search&rank=5&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
佛陀財運如意手鍊 12 生肖狗年/豬年守護神 8 生肖守護神 阿彌陀佛,$239,https://www.tw.coupang.com/products/%E4%BD%9B%E9%99%80%E8%B2%A1%E9%81%8B%E5%A6%82%E6%84%8F%E6%89%8B%E9%8D%8A-12-%E7%94%9F%E8%82%96%E7%8B%97%E5%B9%B4%2F%E8%B1%AC%E5%B9%B4%E5%AE%88%E8%AD%B7%E7%A5%9E-8-%E7%94%9F%E8%82%96%E5%AE%88%E8%AD%B7%E7%A5%9E-%E9%98%BF%E5%BD%8C%E9%99%80%E4%BD%9B-21007729448339?itemId=21020766587569&vendorItemId=21089471657016&sourceType=search&rank=6&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
"八位守護神吊墜投射佛教項鍊, 狗豬阿彌陀佛, 1個",$228,https://www.tw.coupang.com/products/%E5%85%AB%E4%BD%8D%E5%AE%88%E8%AD%B7%E7%A5%9E%E5%90%8A%E5%A2%9C%E6%8A%95%E5%B0%84%E4%BD%9B%E6%95%99%E9%A0%85%E9%8D%8A-21006887303965?itemId=21016523822925&vendorItemId=21083710828472&sourceType=search&rank=7&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
"新維納 我車裡的守護神 車載空氣清新劑 銀色+購物袋, 1個, 黑櫻桃",$928,https://www.tw.coupang.com/products/%E6%96%B0%E7%B6%AD%E7%B4%8D-%E6%88%91%E8%BB%8A%E8%A3%A1%E7%9A%84%E5%AE%88%E8%AD%B7%E7%A5%9E-%E8%BB%8A%E8%BC%89%E7%A9%BA%E6%B0%A3%E6%B8%85%E6%96%B0%E5%8A%91-%E9%8A%80%E8%89%B2%2B%E8%B3%BC%E7%89%A9%E8%A2%8B-21007154541775?itemId=21017993774210&vendorItemId=21085150244252&sourceType=search&rank=8&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
"八位守護神吊墜投射佛教項鍊, 鼠千手觀音, 1個",$228,https://www.tw.coupang.com/products/%E5%85%AB%E4%BD%8D%E5%AE%88%E8%AD%B7%E7%A5%9E%E5%90%8A%E5%A2%9C%E6%8A%95%E5%B0%84%E4%BD%9B%E6%95%99%E9%A0%85%E9%8D%8A-21006887303965?itemId=21016523822927&vendorItemId=21083710828484&sourceType=search&rank=9&searchId=781487bb175d4cafbde10d7f0cf490c5&q=%E5%AE%88%E8%AD%B7%E7%A5%9E
