product_name,product_price,product_url
"moeta 碎髮定型膏 12ml, 透明, 1組",$124,https://www.tw.coupang.com/products/moeta-%E7%A2%8E%E9%AB%AE%E5%AE%9A%E5%9E%8B%E8%86%8F-12ml-21000039485206?itemId=21000144952944&vendorItemId=21003318197419&sourceType=search&rank=&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
"comet Home 插扣式固定綁帶, 黑色, 2個",$92,https://www.tw.coupang.com/products/comet-Home-%E6%8F%92%E6%89%A3%E5%BC%8F%E5%9B%BA%E5%AE%9A%E7%B6%81%E5%B8%B6-447956092141568?itemId=447956092125184&vendorItemId=447956087980034&sourceType=search&rank=1&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
Girlpins 圓形 Molang 大亞克力別針 2 件套,$212,https://www.tw.coupang.com/products/Girlpins-%E5%9C%93%E5%BD%A2-Molang-%E5%A4%A7%E4%BA%9E%E5%85%8B%E5%8A%9B%E5%88%A5%E9%87%9D-2-%E4%BB%B6%E5%A5%97-21007242672267?itemId=21018406326448&vendorItemId=21085548922810&sourceType=search&rank=2&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
"DASHU 固定髮膠, 150ml, 1個",$276,https://www.tw.coupang.com/products/DASHU-%E5%9B%BA%E5%AE%9A%E9%AB%AE%E8%86%A0-21006645772275?itemId=21012418934587&vendorItemId=21079688290696&sourceType=search&rank=3&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
"TRESemme 超持久定型髮膠, 1個, 255克",$326,https://www.tw.coupang.com/products/TRESemme-%E8%B6%85%E6%8C%81%E4%B9%85%E5%AE%9A%E5%9E%8B%E9%AB%AE%E8%86%A0-21000003249891?itemId=21000008946555&vendorItemId=21003275547617&sourceType=search&rank=4&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
"Jamaican Mango & Lime 定型髮膠, 1個, 170克",$284,https://www.tw.coupang.com/products/Jamaican-Mango-%26-Lime-%E5%AE%9A%E5%9E%8B%E9%AB%AE%E8%86%A0-21000114998417?itemId=21000344794176&vendorItemId=21003843074315&sourceType=search&rank=5&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
"Homesys 纖維防滑固定扣, 單色, 1組",$372,https://www.tw.coupang.com/products/Homesys-%E7%BA%96%E7%B6%AD%E9%98%B2%E6%BB%91%E5%9B%BA%E5%AE%9A%E6%89%A3-21006342312598?itemId=21013311494690&vendorItemId=21004133472504&sourceType=search&rank=6&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
"Universe Factory 直發器固定器通風箱, 1個, 粉色",$184,https://www.tw.coupang.com/products/Universe-Factory-%E7%9B%B4%E7%99%BC%E5%99%A8%E5%9B%BA%E5%AE%9A%E5%99%A8%E9%80%9A%E9%A2%A8%E7%AE%B1-21007149906982?itemId=21017973267742&vendorItemId=21085130383919&sourceType=search&rank=7&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
Susuda 奢華固定日常髮帶 3 件組 2511,$177,https://www.tw.coupang.com/products/Susuda-%E5%A5%A2%E8%8F%AF%E5%9B%BA%E5%AE%9A%E6%97%A5%E5%B8%B8%E9%AB%AE%E5%B8%B6-3-%E4%BB%B6%E7%B5%84-2511-21007619483037?itemId=21020197828260&vendorItemId=21087288685317&sourceType=search&rank=8&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
"lil Sidekick 多功能固定帶, Red, 1組",$464,https://www.tw.coupang.com/products/lil-Sidekick-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%9B%BA%E5%AE%9A%E5%B8%B6-21000041975359?itemId=21000152555495&vendorItemId=21003351983534&sourceType=search&rank=9&searchId=289506185c0741ef8080adf581413be2&q=%E5%AE%9A%E5%9E%8B%E6%89%A3
