product_name,product_price,product_url
"comet 雙層壁掛式冷氣防塵套, 單一顏色",$156,https://www.tw.coupang.com/products/comet-%E9%9B%99%E5%B1%A4%E5%A3%81%E6%8E%9B%E5%BC%8F%E5%86%B7%E6%B0%A3%E9%98%B2%E5%A1%B5%E5%A5%97-21006624339658?itemId=21015074561518&vendorItemId=21082296794556&sourceType=search&rank=&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"The Zari 壁掛式冷氣機防塵罩, 森林款",$204,https://www.tw.coupang.com/products/The-Zari-%E5%A3%81%E6%8E%9B%E5%BC%8F%E5%86%B7%E6%B0%A3%E6%A9%9F%E9%98%B2%E5%A1%B5%E7%BD%A9-169677590347776?itemId=169678051704832&vendorItemId=169677103775744&sourceType=search&rank=1&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"PRIELLE 葉子圖案壁掛式空調防塵罩, 綠色",$177,https://www.tw.coupang.com/products/PRIELLE-%E8%91%89%E5%AD%90%E5%9C%96%E6%A1%88%E5%A3%81%E6%8E%9B%E5%BC%8F%E7%A9%BA%E8%AA%BF%E9%98%B2%E5%A1%B5%E7%BD%A9-21000037899651?itemId=21000139845857&vendorItemId=21003300154333&sourceType=search&rank=2&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"comet 雙層圓形直立式冷氣防塵套, 單一顏色",$418,https://www.tw.coupang.com/products/comet-%E9%9B%99%E5%B1%A4%E5%9C%93%E5%BD%A2%E7%9B%B4%E7%AB%8B%E5%BC%8F%E5%86%B7%E6%B0%A3%E9%98%B2%E5%A1%B5%E5%A5%97-21006624339659?itemId=21015074561515&vendorItemId=21082296794548&sourceType=search&rank=3&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"808STORE 戴森吹風機矽膠套, 桃粉色",$87,https://www.tw.coupang.com/products/808STORE-%E6%88%B4%E6%A3%AE%E5%90%B9%E9%A2%A8%E6%A9%9F%E7%9F%BD%E8%86%A0%E5%A5%97-21005530351335?itemId=21010170653513&vendorItemId=21077453259994&sourceType=search&rank=4&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"PRIELLE 植物印花立式空調防塵罩, 象牙白",$428,https://www.tw.coupang.com/products/PRIELLE-%E6%A4%8D%E7%89%A9%E5%8D%B0%E8%8A%B1%E7%AB%8B%E5%BC%8F%E7%A9%BA%E8%AA%BF%E9%98%B2%E5%A1%B5%E7%BD%A9-21000304405972?itemId=21000958072653&vendorItemId=21005357389698&sourceType=search&rank=5&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"PRIELLE 質感印花冷氣防塵罩, 綠色",$377,https://www.tw.coupang.com/products/PRIELLE-%E8%B3%AA%E6%84%9F%E5%8D%B0%E8%8A%B1%E5%86%B7%E6%B0%A3%E9%98%B2%E5%A1%B5%E7%BD%A9-21000138885200?itemId=21000405732437&vendorItemId=21003991367016&sourceType=search&rank=6&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"HANEE 桶裝飲水機防塵套 18L, 你好兔子",$169,https://www.tw.coupang.com/products/HANEE-%E6%A1%B6%E8%A3%9D%E9%A3%B2%E6%B0%B4%E6%A9%9F%E9%98%B2%E5%A1%B5%E5%A5%97-18L-21000096561881?itemId=21000297201582&vendorItemId=21003731175830&sourceType=search&rank=7&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"BRUNO 足觸式5葉電風扇+防塵收納套, BFF-2121W",$903,https://www.tw.coupang.com/products/BRUNO-%E8%B6%B3%E8%A7%B8%E5%BC%8F5%E8%91%89%E9%9B%BB%E9%A2%A8%E6%89%87%2B%E9%98%B2%E5%A1%B5%E6%94%B6%E7%B4%8D%E5%A5%97-21006396200342?itemId=21013658864691&vendorItemId=21080911327463&sourceType=search&rank=8&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"BEBE DECO 字母刺繡分離式空調防塵罩, 灰色的",$279,https://www.tw.coupang.com/products/BEBE-DECO-%E5%AD%97%E6%AF%8D%E5%88%BA%E7%B9%A1%E5%88%86%E9%9B%A2%E5%BC%8F%E7%A9%BA%E8%AA%BF%E9%98%B2%E5%A1%B5%E7%BD%A9-21000280641532?itemId=21000890854264&vendorItemId=21005241953409&sourceType=search&rank=9&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"BEBE DECO 風扇防塵罩 植栽款, 巴黎鐵塔款",$223,https://www.tw.coupang.com/products/BEBE-DECO-%E9%A2%A8%E6%89%87%E9%98%B2%E5%A1%B5%E7%BD%A9-%E6%A4%8D%E6%A0%BD%E6%AC%BE-21000034882414?itemId=21000152784803&vendorItemId=21003352631293&sourceType=search&rank=10&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"decotonik 跳跳糖彩色充電線套, 白色",$220,https://www.tw.coupang.com/products/decotonik-%E8%B7%B3%E8%B7%B3%E7%B3%96%E5%BD%A9%E8%89%B2%E5%85%85%E9%9B%BB%E7%B7%9A%E5%A5%97-21007476167020?itemId=21019518215058&vendorItemId=21086753256854&sourceType=search&rank=11&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
"BEBE DECO 不織布全罩式風扇防塵罩, 灰色",$134,https://www.tw.coupang.com/products/BEBE-DECO-%E4%B8%8D%E7%B9%94%E5%B8%83%E5%85%A8%E7%BD%A9%E5%BC%8F%E9%A2%A8%E6%89%87%E9%98%B2%E5%A1%B5%E7%BD%A9-21000034882407?itemId=21000129792225&vendorItemId=21003271151850&sourceType=search&rank=12&searchId=b30e23cd0d094073be561eef367ff08b&q=%E5%AE%B6%E9%9B%BB%E9%98%B2%E5%A1%B5%E5%A5%97
