product_name,product_price,product_url
"MEISHOKU 明色 平衡修護導入液, 195ml, 1瓶",$261,https://www.tw.coupang.com/products/MEISHOKU-%E6%98%8E%E8%89%B2-%E5%B9%B3%E8%A1%A1%E4%BF%AE%E8%AD%B7%E5%B0%8E%E5%85%A5%E6%B6%B2-197934465368065?itemId=197935115517953&vendorItemId=197935111323648&sourceType=search&rank=&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"nueva Volta TM 6D微電流 溫感緊緻儀, NR-01, 白色","$5,810",https://www.tw.coupang.com/products/nueva-Volta-TM-6D%E5%BE%AE%E9%9B%BB%E6%B5%81-%E6%BA%AB%E6%84%9F%E7%B7%8A%E7%B7%BB%E5%84%80-453389292896257?itemId=453389292896258&vendorItemId=453389292863489&sourceType=search&rank=1&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"COCOLO SUI 藍光前導滴肌菁 滋潤型, 30ml, 1瓶","$2,551",https://www.tw.coupang.com/products/COCOLO-SUI-%E8%97%8D%E5%85%89%E5%89%8D%E5%B0%8E%E6%BB%B4%E8%82%8C%E8%8F%81-%E6%BB%8B%E6%BD%A4%E5%9E%8B-154435518955532?itemId=154435133095950&vendorItemId=154435518955523&sourceType=search&rank=2&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"高濃縮淨顏安瓶精華 2ml 10瓶入+導入儀組, 1套",$940,https://www.tw.coupang.com/products/%E9%AB%98%E6%BF%83%E7%B8%AE%E6%B7%A8%E9%A1%8F%E5%AE%89%E7%93%B6%E7%B2%BE%E8%8F%AF-2ml-10%E7%93%B6%E5%85%A5%2B%E5%B0%8E%E5%85%A5%E5%84%80%E7%B5%84-21001941646946?itemId=21003296307197&vendorItemId=21071283249254&sourceType=search&rank=3&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"COCOLO SUI 藍光前導滴肌菁 清爽型, 30ml, 1瓶","$2,588",https://www.tw.coupang.com/products/COCOLO-SUI-%E8%97%8D%E5%85%89%E5%89%8D%E5%B0%8E%E6%BB%B4%E8%82%8C%E8%8F%81-%E6%B8%85%E7%88%BD%E5%9E%8B-154435133095947?itemId=154434730409996&vendorItemId=154435518955522&sourceType=search&rank=4&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
KOCE 激光水平儀 Pro 3 水平儀 Pro 3,$229,https://www.tw.coupang.com/products/KOCE-%E6%BF%80%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-Pro-3-%E6%B0%B4%E5%B9%B3%E5%84%80-Pro-3-21000271640932?itemId=21000854241823&vendorItemId=21075279188191&sourceType=search&rank=5&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"2Way夜光水平儀, 1個, KPA-08G",$826,https://www.tw.coupang.com/products/2Way%E5%A4%9C%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-21007592933387?itemId=21020068099861&vendorItemId=21087921077869&sourceType=search&rank=6&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"Inparo 折光儀 RZ-112, 1個",$332,https://www.tw.coupang.com/products/Inparo-%E6%8A%98%E5%85%89%E5%84%80-RZ-112-21000239068730?itemId=21000759950470&vendorItemId=21005124533960&sourceType=search&rank=7&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"導眼導航支架+吸盤, 單品",$288,https://www.tw.coupang.com/products/%E5%B0%8E%E7%9C%BC%E5%B0%8E%E8%88%AA%E6%94%AF%E6%9E%B6%2B%E5%90%B8%E7%9B%A4-21004796043571?itemId=21006151521586&vendorItemId=21073447746401&sourceType=search&rank=8&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
"Carex X 夜光兩用快速美容儀, 1個, 500ml",$280,https://www.tw.coupang.com/products/Carex-X-%E5%A4%9C%E5%85%89%E5%85%A9%E7%94%A8%E5%BF%AB%E9%80%9F%E7%BE%8E%E5%AE%B9%E5%84%80-21008115904510?itemId=21023008961521&vendorItemId=21090042812917&sourceType=search&rank=9&searchId=7c261195c7474109b2887529726137ab&q=%E5%B0%8E%E5%85%89%E5%BC%8F
