product_name,product_price,product_url
"Plantoys 4101 仙人掌平衡玩具木製玩具, 混色",$584,https://www.tw.coupang.com/products/Plantoys-4101-%E4%BB%99%E4%BA%BA%E6%8E%8C%E5%B9%B3%E8%A1%A1%E7%8E%A9%E5%85%B7%E6%9C%A8%E8%A3%BD%E7%8E%A9%E5%85%B7-21000014786489?itemId=21000060985210&vendorItemId=21003095406140&sourceType=search&rank=&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"Janod 認知遊戲 5-10歲, 疊疊塔, 1組",$464,https://www.tw.coupang.com/products/Janod-%E8%AA%8D%E7%9F%A5%E9%81%8A%E6%88%B2-5-10%E6%AD%B2-288826979237909?itemId=288827952300038&vendorItemId=288825918046229&sourceType=search&rank=1&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"ADLE LAND 搖晃披薩平衡桌遊, 混色",$202,https://www.tw.coupang.com/products/ADLE-LAND-%E6%90%96%E6%99%83%E6%8A%AB%E8%96%A9%E5%B9%B3%E8%A1%A1%E6%A1%8C%E9%81%8A-21000094646828?itemId=21000292742017&vendorItemId=21003719544489&sourceType=search&rank=2&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"agaplus 呱呱平衡遊戲套裝, 隨機出貨",$111,https://www.tw.coupang.com/products/agaplus-%E5%91%B1%E5%91%B1%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2%E5%A5%97%E8%A3%9D-21008049490941?itemId=21022569421440&vendorItemId=21090010385889&sourceType=search&rank=3&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"Janod 雨林大冒險 雨林動物疊疊樂, 1組",$547,https://www.tw.coupang.com/products/Janod-%E9%9B%A8%E6%9E%97%E5%A4%A7%E5%86%92%E9%9A%AA-%E9%9B%A8%E6%9E%97%E5%8B%95%E7%89%A9%E7%96%8A%E7%96%8A%E6%A8%82-288825918046230?itemId=288826979237908&vendorItemId=288826979237904&sourceType=search&rank=4&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"New Classic Toys 木製經典平衡塔積木遊戲 #10809 990g, 1組",$550,https://www.tw.coupang.com/products/New-Classic-Toys-%E6%9C%A8%E8%A3%BD%E7%B6%93%E5%85%B8%E5%B9%B3%E8%A1%A1%E5%A1%94%E7%A9%8D%E6%9C%A8%E9%81%8A%E6%88%B2-%2310809-990g-221879981785090?itemId=221881466585091&vendorItemId=221879981785088&sourceType=search&rank=5&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"Todolibro 疊疊樂木製積木遊戲組, 混色, 1個",$387,https://www.tw.coupang.com/products/Todolibro-%E7%96%8A%E7%96%8A%E6%A8%82%E6%9C%A8%E8%A3%BD%E7%A9%8D%E6%9C%A8%E9%81%8A%E6%88%B2%E7%B5%84-21007610548645?itemId=21020155114961&vendorItemId=21003083589067&sourceType=search&rank=6&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"甜蜜冰淇淋疊疊樂玩具, 混色",$193,https://www.tw.coupang.com/products/%E7%94%9C%E8%9C%9C%E5%86%B0%E6%B7%87%E6%B7%8B%E7%96%8A%E7%96%8A%E6%A8%82%E7%8E%A9%E5%85%B7-21000047370427?itemId=21000167595541&vendorItemId=21003398849182&sourceType=search&rank=7&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"miniland 木製幾何邏輯平衡石, 1組",$799,https://www.tw.coupang.com/products/miniland-%E6%9C%A8%E8%A3%BD%E5%B9%BE%E4%BD%95%E9%82%8F%E8%BC%AF%E5%B9%B3%E8%A1%A1%E7%9F%B3-234913554989080?itemId=234911931777047&vendorItemId=234913554989063&sourceType=search&rank=8&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
"tender leaf 疊疊樂, 鳥巢平衡",$616,https://www.tw.coupang.com/products/tender-leaf-%E7%96%8A%E7%96%8A%E6%A8%82-237079325802503?itemId=237078612787208&vendorItemId=237077740339202&sourceType=search&rank=9&searchId=638197cc515c488ba33396b92d621714&q=%E5%B9%B3%E8%A1%A1%E9%81%8A%E6%88%B2
