product_name,product_price,product_url
"COSRX 6 勝肽肌膚強化精華液, 150ml, 1個",$341,https://www.tw.coupang.com/products/COSRX-6-%E5%8B%9D%E8%82%BD%E8%82%8C%E8%86%9A%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF%E6%B6%B2-21007702287490?itemId=21020625366946&vendorItemId=21088457914615&sourceType=search&rank=&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"DARLIE 好來 超氟強化琺瑯質牙膏 含天然薄荷精華, 175g, 5條",$171,https://www.tw.coupang.com/products/DARLIE-%E5%A5%BD%E4%BE%86-%E8%B6%85%E6%B0%9F%E5%BC%B7%E5%8C%96%E7%90%BA%E7%91%AF%E8%B3%AA%E7%89%99%E8%86%8F-%E5%90%AB%E5%A4%A9%E7%84%B6%E8%96%84%E8%8D%B7%E7%B2%BE%E8%8F%AF-260615801094146?itemId=263532964724739&vendorItemId=263532960530433&sourceType=search&rank=1&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"DERMAROSA 強化精華, 35毫升, 1個",$992,https://www.tw.coupang.com/products/DERMAROSA-%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF-21005889706033?itemId=21010353289266&vendorItemId=21077635467787&sourceType=search&rank=2&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"Natural Derma Project HA超低分子強化精華液, 1個, 30ml","$1,976",https://www.tw.coupang.com/products/Natural-Derma-Project-HA%E8%B6%85%E4%BD%8E%E5%88%86%E5%AD%90%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF%E6%B6%B2-21007892741954?itemId=21021612811717&vendorItemId=21089979701059&sourceType=search&rank=3&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"BRAND'S 白蘭氏 強化型葉黃素精華飲, 60ml, 6瓶, 4盒","$1,098",https://www.tw.coupang.com/products/BRAND'S-%E7%99%BD%E8%98%AD%E6%B0%8F-%E5%BC%B7%E5%8C%96%E5%9E%8B%E8%91%89%E9%BB%83%E7%B4%A0%E7%B2%BE%E8%8F%AF%E9%A3%B2-151139928489992?itemId=358973559488519&vendorItemId=358973559504903&sourceType=search&rank=4&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"DARLIE 好來 超氟強化琺瑯質牙膏 含天然薄荷精華, 175g, 6條",$205,https://www.tw.coupang.com/products/DARLIE-%E5%A5%BD%E4%BE%86-%E8%B6%85%E6%B0%9F%E5%BC%B7%E5%8C%96%E7%90%BA%E7%91%AF%E8%B3%AA%E7%89%99%E8%86%8F-%E5%90%AB%E5%A4%A9%E7%84%B6%E8%96%84%E8%8D%B7%E7%B2%BE%E8%8F%AF-260615801094146?itemId=263532939558922&vendorItemId=263532939558914&sourceType=search&rank=5&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"MIGUHARA Vita 強化褪黑安瓶, 1個, 35ml","$1,132",https://www.tw.coupang.com/products/MIGUHARA-Vita-%E5%BC%B7%E5%8C%96%E8%A4%AA%E9%BB%91%E5%AE%89%E7%93%B6-21007827839504?itemId=21021281704143&vendorItemId=21088341787791&sourceType=search&rank=6&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"BRAND'S 白蘭氏 強化型葉黃素精華飲, 60ml, 6瓶, 1盒",$260,https://www.tw.coupang.com/products/BRAND'S-%E7%99%BD%E8%98%AD%E6%B0%8F-%E5%BC%B7%E5%8C%96%E5%9E%8B%E8%91%89%E9%BB%83%E7%B4%A0%E7%B2%BE%E8%8F%AF%E9%A3%B2-151139928489992?itemId=151140301766663&vendorItemId=151140301766661&sourceType=search&rank=7&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"DARLIE 好來 超氟強化琺瑯質牙膏 含天然薄荷精華, 175g, 3條",$102,https://www.tw.coupang.com/products/DARLIE-%E5%A5%BD%E4%BE%86-%E8%B6%85%E6%B0%9F%E5%BC%B7%E5%8C%96%E7%90%BA%E7%91%AF%E8%B3%AA%E7%89%99%E8%86%8F-%E5%90%AB%E5%A4%A9%E7%84%B6%E8%96%84%E8%8D%B7%E7%B2%BE%E8%8F%AF-260615801094146?itemId=263533862289416&vendorItemId=263531941281795&sourceType=search&rank=8&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
"ELASTINE 伊絲婷 摩洛哥堅果油柔韌護髮素, 300ml, 3條",$330,https://www.tw.coupang.com/products/ELASTINE-%E4%BC%8A%E7%B5%B2%E5%A9%B7-%E6%91%A9%E6%B4%9B%E5%93%A5%E5%A0%85%E6%9E%9C%E6%B2%B9%E6%9F%94%E9%9F%8C%E8%AD%B7%E9%AB%AE%E7%B4%A0-21008208239968?itemId=21005916644547&vendorItemId=21088458115348&sourceType=search&rank=9&searchId=200014f6d48f4019b40b214120a2304b&q=%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF
