product_name,product_price,product_url
"Echo 強力磁石吸頂掛勾 12*3.3cm, 4個",$137,https://www.tw.coupang.com/products/Echo-%E5%BC%B7%E5%8A%9B%E7%A3%81%E7%9F%B3%E5%90%B8%E9%A0%82%E6%8E%9B%E5%8B%BE-12*3.3cm-283847262437387?itemId=283847262437388&vendorItemId=283845236572169&sourceType=search&rank=&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"橘之屋 環保可拆卸矽膠吸管 1.1cm*23cm, 4入, 1包",$55,https://www.tw.coupang.com/products/%E6%A9%98%E4%B9%8B%E5%B1%8B-%E7%92%B0%E4%BF%9D%E5%8F%AF%E6%8B%86%E5%8D%B8%E7%9F%BD%E8%86%A0%E5%90%B8%E7%AE%A1-1.1cm*23cm-184539703902211?itemId=156253930078209&vendorItemId=156253925883905&sourceType=search&rank=1&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"MYROOM 5格吸盤磁吸兩用掛勾, 白色, 1個",$166,https://www.tw.coupang.com/products/MYROOM-5%E6%A0%BC%E5%90%B8%E7%9B%A4%E7%A3%81%E5%90%B8%E5%85%A9%E7%94%A8%E6%8E%9B%E5%8B%BE-158423781949441?itemId=158424612438018&vendorItemId=158423781949440&sourceType=search&rank=2&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"SYSmAX Myroom 磁吸式收納 2號, 象牙白, 1個",$114,https://www.tw.coupang.com/products/SYSmAX-Myroom-%E7%A3%81%E5%90%B8%E5%BC%8F%E6%94%B6%E7%B4%8D-2%E8%99%9F-169601111392257?itemId=169600167657472&vendorItemId=169601111392256&sourceType=search&rank=3&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"磁吸雙面玻璃清潔器 3-32mm, 1組",$998,https://www.tw.coupang.com/products/%E7%A3%81%E5%90%B8%E9%9B%99%E9%9D%A2%E7%8E%BB%E7%92%83%E6%B8%85%E6%BD%94%E5%99%A8-3-32mm-21005579158768?itemId=21008911887029&vendorItemId=21076198508093&sourceType=search&rank=4&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"Livingif 冰箱磁鐵 3款 6入, 白色, 1組",$61,https://www.tw.coupang.com/products/Livingif-%E5%86%B0%E7%AE%B1%E7%A3%81%E9%90%B5-3%E6%AC%BE-6%E5%85%A5-21005613687980?itemId=21009077962514&vendorItemId=21076364234447&sourceType=search&rank=5&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"KesB 磁吸式七巧板組合 隨機出貨, 2組",$328,https://www.tw.coupang.com/products/KesB-%E7%A3%81%E5%90%B8%E5%BC%8F%E4%B8%83%E5%B7%A7%E6%9D%BF%E7%B5%84%E5%90%88-%E9%9A%A8%E6%A9%9F%E5%87%BA%E8%B2%A8-21001880519207?itemId=21003195603977&vendorItemId=21071183013279&sourceType=search&rank=6&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"MYROOM 5格吸盤磁吸兩用掛勾, 白色, 1個",$206,https://www.tw.coupang.com/products/MYROOM-5%E6%A0%BC%E5%90%B8%E7%9B%A4%E7%A3%81%E5%90%B8%E5%85%A9%E7%94%A8%E6%8E%9B%E5%8B%BE-21000119825741?itemId=21011350569265&vendorItemId=21003129824845&sourceType=search&rank=7&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"SYSMAX Myroom 磁吸式收納 2號, 象牙白色, 1組",$152,https://www.tw.coupang.com/products/SYSMAX-Myroom-%E7%A3%81%E5%90%B8%E5%BC%8F%E6%94%B6%E7%B4%8D-2%E8%99%9F-21000147616003?itemId=21019714113895&vendorItemId=21004142320901&sourceType=search&rank=8&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
"YOU HOUSE 點點磁吸收納盒 直立型 1入+寬型 1入, 白色的, 1套",$117,https://www.tw.coupang.com/products/YOU-HOUSE-%E9%BB%9E%E9%BB%9E%E7%A3%81%E5%90%B8%E6%94%B6%E7%B4%8D%E7%9B%92-%E7%9B%B4%E7%AB%8B%E5%9E%8B-1%E5%85%A5%2B%E5%AF%AC%E5%9E%8B-1%E5%85%A5-21000024079791?itemId=21000093753057&vendorItemId=21003165779985&sourceType=search&rank=9&searchId=c9c9515ff6cb45908c48ef6a099739ec&q=%E5%BE%AE%E7%A3%81%E5%90%B8
