product_name,product_price,product_url
"運動相機用手持穩定器, A278, 1個",$179,https://www.tw.coupang.com/products/%E9%81%8B%E5%8B%95%E7%9B%B8%E6%A9%9F%E7%94%A8%E6%89%8B%E6%8C%81%E7%A9%A9%E5%AE%9A%E5%99%A8-21002004349319?itemId=21003410410278&vendorItemId=21071397007173&sourceType=search&rank=&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"PARAGRAP 吸附式手機拍攝支架, 2022-PSSCS/兼容","$1,036",https://www.tw.coupang.com/products/PARAGRAP-%E5%90%B8%E9%99%84%E5%BC%8F%E6%89%8B%E6%A9%9F%E6%8B%8D%E6%94%9D%E6%94%AF%E6%9E%B6-21006565531161?itemId=21014717299502&vendorItemId=21081958012988&sourceType=search&rank=1&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"K&F CONCEPT 雙握式手機影片裝備 黑色, 單品","$1,180",https://www.tw.coupang.com/products/K%26F-CONCEPT-%E9%9B%99%E6%8F%A1%E5%BC%8F%E6%89%8B%E6%A9%9F%E5%BD%B1%E7%89%87%E8%A3%9D%E5%82%99-%E9%BB%91%E8%89%B2-21008082277603?itemId=21022796568470&vendorItemId=21089831531722&sourceType=search&rank=2&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"NEXT 兼容迷你3腳架, 下一個-JPT2",$338,https://www.tw.coupang.com/products/NEXT-%E5%85%BC%E5%AE%B9%E8%BF%B7%E4%BD%A03%E8%85%B3%E6%9E%B6-21000106797640?itemId=21000322854877&vendorItemId=21003749470336&sourceType=search&rank=3&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"FEIYUTECH 手持穩定器 1.2kg, G6Max, 1個","$7,300",https://www.tw.coupang.com/products/FEIYUTECH-%E6%89%8B%E6%8C%81%E7%A9%A9%E5%AE%9A%E5%99%A8-1.2kg-21001971546362?itemId=21003353548300&vendorItemId=21071340316682&sourceType=search&rank=4&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"bob DJI Osmo Mobile 2 智能手機雲台立式支架, 單品",$236,https://www.tw.coupang.com/products/bob-DJI-Osmo-Mobile-2-%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E9%9B%B2%E5%8F%B0%E7%AB%8B%E5%BC%8F%E6%94%AF%E6%9E%B6-21001942910146?itemId=21003298518856&vendorItemId=21071285448015&sourceType=search&rank=5&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"Tingol 智能手機鞋架雙手持黑色, 單品",$600,https://www.tw.coupang.com/products/Tingol-%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E9%9E%8B%E6%9E%B6%E9%9B%99%E6%89%8B%E6%8C%81%E9%BB%91%E8%89%B2-21006710700872?itemId=21015578605021&vendorItemId=21082797678547&sourceType=search&rank=6&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"Ulanzi 優籃子 Focus 手機旋轉雲台 手搖雲台套組, 單品",$488,https://www.tw.coupang.com/products/Ulanzi-%E5%84%AA%E7%B1%83%E5%AD%90-Focus-%E6%89%8B%E6%A9%9F%E6%97%8B%E8%BD%89%E9%9B%B2%E5%8F%B0-%E6%89%8B%E6%90%96%E9%9B%B2%E5%8F%B0%E5%A5%97%E7%B5%84-21004609670561?itemId=21005696175198&vendorItemId=21072994997629&sourceType=search&rank=7&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"SHOWSHOT 視頻拍攝 5速手柄雲台+智能手機支架, 單品",$656,https://www.tw.coupang.com/products/SHOWSHOT-%E8%A6%96%E9%A0%BB%E6%8B%8D%E6%94%9D-5%E9%80%9F%E6%89%8B%E6%9F%84%E9%9B%B2%E5%8F%B0%2B%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21001824235725?itemId=21003104274840&vendorItemId=21071092048546&sourceType=search&rank=8&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
"焦點手機個人直播採訪套組, 單品","$1,558",https://www.tw.coupang.com/products/%E7%84%A6%E9%BB%9E%E6%89%8B%E6%A9%9F%E5%80%8B%E4%BA%BA%E7%9B%B4%E6%92%AD%E6%8E%A1%E8%A8%AA%E5%A5%97%E7%B5%84-21004623711298?itemId=21005734356048&vendorItemId=21073033067919&sourceType=search&rank=9&searchId=95e0e58aff73499dadfa3498ba1769bd&q=%E6%89%8B%E6%A9%9F%E7%A9%A9%E5%AE%9A%E5%99%A8
