product_name,product_price,product_url
Crean Prism Cube Square 托特包 7199,$584,https://www.tw.coupang.com/products/Crean-Prism-Cube-Square-%E6%89%98%E7%89%B9%E5%8C%85-7199-21007821047867?itemId=21021244225641&vendorItemId=21082875138403&sourceType=search&rank=&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
Market Pio 時尚帆布微笑交叉托特包,$322,https://www.tw.coupang.com/products/Market-Pio-%E6%99%82%E5%B0%9A%E5%B8%86%E5%B8%83%E5%BE%AE%E7%AC%91%E4%BA%A4%E5%8F%89%E6%89%98%E7%89%B9%E5%8C%85-21007121199687?itemId=21017830564172&vendorItemId=21084994320733&sourceType=search&rank=1&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
"Market Pio 時尚 PU 簡約方形交叉托特包, 1型",$388,https://www.tw.coupang.com/products/Market-Pio-%E6%99%82%E5%B0%9A-PU-%E7%B0%A1%E7%B4%84%E6%96%B9%E5%BD%A2%E4%BA%A4%E5%8F%89%E6%89%98%E7%89%B9%E5%8C%85-21001377062460?itemId=21002410625170&vendorItemId=21070405129842&sourceType=search&rank=2&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
"FIKER TACTICAL 城市登山托特包, 黑色+黑色",$635,https://www.tw.coupang.com/products/FIKER-TACTICAL-%E5%9F%8E%E5%B8%82%E7%99%BB%E5%B1%B1%E6%89%98%E7%89%B9%E5%8C%85-21001665143569?itemId=21002837312650&vendorItemId=21070826714558&sourceType=search&rank=3&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
"BLUSH 托特包, 1個, 黑色的","$1,029",https://www.tw.coupang.com/products/BLUSH-%E6%89%98%E7%89%B9%E5%8C%85-21000096463362?itemId=21000296969469&vendorItemId=21003730621361&sourceType=search&rank=4&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
Market Pio 時尚方形帆布托特包,$371,https://www.tw.coupang.com/products/Market-Pio-%E6%99%82%E5%B0%9A%E6%96%B9%E5%BD%A2%E5%B8%86%E5%B8%83%E6%89%98%E7%89%B9%E5%8C%85-21000269339378?itemId=21000845980718&vendorItemId=21005151297381&sourceType=search&rank=5&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
P31 魔術摺疊大容量單肩托特包,$571,https://www.tw.coupang.com/products/P31-%E9%AD%94%E8%A1%93%E6%91%BA%E7%96%8A%E5%A4%A7%E5%AE%B9%E9%87%8F%E5%96%AE%E8%82%A9%E6%89%98%E7%89%B9%E5%8C%85-21007664851198?itemId=21020430012431&vendorItemId=21087511153055&sourceType=search&rank=6&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
LESPORTSAC 力士保 靛藍 Dream Everyday 拉鍊托特包 3867.E634,"$1,773",https://www.tw.coupang.com/products/LESPORTSAC-%E5%8A%9B%E5%A3%AB%E4%BF%9D-%E9%9D%9B%E8%97%8D-Dream-Everyday-%E6%8B%89%E9%8D%8A%E6%89%98%E7%89%B9%E5%8C%85-3867.E634-21008054027958?itemId=21022600140556&vendorItemId=21089641796910&sourceType=search&rank=7&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
素色單肩背托特包,$408,https://www.tw.coupang.com/products/%E7%B4%A0%E8%89%B2%E5%96%AE%E8%82%A9%E8%83%8C%E6%89%98%E7%89%B9%E5%8C%85-21000328485606?itemId=21001033041903&vendorItemId=21005482837480&sourceType=search&rank=8&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
CCREANG 迷你水桶托特包 + 內袋 8093,$660,https://www.tw.coupang.com/products/CCREANG-%E8%BF%B7%E4%BD%A0%E6%B0%B4%E6%A1%B6%E6%89%98%E7%89%B9%E5%8C%85-%2B-%E5%85%A7%E8%A2%8B-8093-21006514494422?itemId=21014403975682&vendorItemId=21081648036970&sourceType=search&rank=9&searchId=50d12006c12b4df1b50fab2afff2b88b&q=%E6%89%98%E7%89%B9%E6%9B%BC%E8%B0%B7%E5%8C%85
