product_name,product_price,product_url
"奇哥 經典棉織洞洞毯, 珊瑚杏, 1個",$449,https://www.tw.coupang.com/products/%E5%A5%87%E5%93%A5-%E7%B6%93%E5%85%B8%E6%A3%89%E7%B9%94%E6%B4%9E%E6%B4%9E%E6%AF%AF-245338011041793?itemId=245336282972161&vendorItemId=245338011041792&sourceType=search&rank=&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
PLAYBOY 愛在深秋法蘭絨單層毯,$665,https://www.tw.coupang.com/products/PLAYBOY-%E6%84%9B%E5%9C%A8%E6%B7%B1%E7%A7%8B%E6%B3%95%E8%98%AD%E7%B5%A8%E5%96%AE%E5%B1%A4%E6%AF%AF-155887356297222?itemId=155887763177480&vendorItemId=155888157425667&sourceType=search&rank=1&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
comet 雙面披毯,$188,https://www.tw.coupang.com/products/comet-%E9%9B%99%E9%9D%A2%E6%8A%AB%E6%AF%AF-21006925804149?itemId=21016741215748&vendorItemId=21083923167997&sourceType=search&rank=2&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
"Techskin 抓絨高爾夫毯, 淺褐色, 1個",$493,https://www.tw.coupang.com/products/Techskin-%E6%8A%93%E7%B5%A8%E9%AB%98%E7%88%BE%E5%A4%AB%E6%AF%AF-21007673515352?itemId=21020476668158&vendorItemId=21087589651532&sourceType=search&rank=3&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
homeskins 杜娜毯子,$456,https://www.tw.coupang.com/products/homeskins-%E6%9D%9C%E5%A8%9C%E6%AF%AF%E5%AD%90-21001578908397?itemId=21002699638927&vendorItemId=21070770240940&sourceType=search&rank=4&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
"Ozmom 印花超細纖維多功能毯 3mm 彩色貓, 白色",$473,https://www.tw.coupang.com/products/Ozmom-%E5%8D%B0%E8%8A%B1%E8%B6%85%E7%B4%B0%E7%BA%96%E7%B6%AD%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%AF%AF-3mm-%E5%BD%A9%E8%89%B2%E8%B2%93-21000146823256?itemId=21000423888413&vendorItemId=21004043193243&sourceType=search&rank=5&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
JCP 舒適柔軟壓花毛毯,$581,https://www.tw.coupang.com/products/JCP-%E8%88%92%E9%81%A9%E6%9F%94%E8%BB%9F%E5%A3%93%E8%8A%B1%E6%AF%9B%E6%AF%AF-21006212781649?itemId=21012392845390&vendorItemId=21079662478965&sourceType=search&rank=6&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
"maatila 擁抱我穿著毯子, 綠色花束","$1,224",https://www.tw.coupang.com/products/maatila-%E6%93%81%E6%8A%B1%E6%88%91%E7%A9%BF%E8%91%97%E6%AF%AF%E5%AD%90-21007851138135?itemId=21021400398858&vendorItemId=21088457032208&sourceType=search&rank=7&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
"bebe chouette 霸王龍毛毯, 炭灰色",$459,https://www.tw.coupang.com/products/bebe-chouette-%E9%9C%B8%E7%8E%8B%E9%BE%8D%E6%AF%9B%E6%AF%AF-21000024696695?itemId=21000096049531&vendorItemId=21003174487511&sourceType=search&rank=8&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
質感星星印花毛毯,$417,https://www.tw.coupang.com/products/%E8%B3%AA%E6%84%9F%E6%98%9F%E6%98%9F%E5%8D%B0%E8%8A%B1%E6%AF%9B%E6%AF%AF-21000168462260?itemId=21000478189344&vendorItemId=21004212743313&sourceType=search&rank=9&searchId=b96e5e1523314e3d8d00c93186428047&q=%E6%8A%93%E6%AF%AF
