product_name,product_price,product_url
"CLIVEN 香草森林 Q10拉提緊實再生霜, 200ml, 2罐",$333,https://www.tw.coupang.com/products/CLIVEN-%E9%A6%99%E8%8D%89%E6%A3%AE%E6%9E%97-Q10%E6%8B%89%E6%8F%90%E7%B7%8A%E5%AF%A6%E5%86%8D%E7%94%9F%E9%9C%9C-286707765182466?itemId=457757681500173&vendorItemId=457757681500163&sourceType=search&rank=&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"DEWYCEL 帝依聖 7提拉緊緻面膜 16g, 4片, 2盒",$778,https://www.tw.coupang.com/products/DEWYCEL-%E5%B8%9D%E4%BE%9D%E8%81%96-7%E6%8F%90%E6%8B%89%E7%B7%8A%E7%B7%BB%E9%9D%A2%E8%86%9C-16g-248254818140170?itemId=428067377872909&vendorItemId=428067377840136&sourceType=search&rank=1&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"meditherapy 臉部緊緻面膜, 5入, 1盒",$366,https://www.tw.coupang.com/products/meditherapy-%E8%87%89%E9%83%A8%E7%B7%8A%E7%B7%BB%E9%9D%A2%E8%86%9C-21006654281607?itemId=21015256857491&vendorItemId=21082477504065&sourceType=search&rank=2&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"CLIVEN 香草森林 Q10拉提緊實再生霜, 200ml, 4罐",$666,https://www.tw.coupang.com/products/CLIVEN-%E9%A6%99%E8%8D%89%E6%A3%AE%E6%9E%97-Q10%E6%8B%89%E6%8F%90%E7%B7%8A%E5%AF%A6%E5%86%8D%E7%94%9F%E9%9C%9C-286707765182466?itemId=457757673062411&vendorItemId=457757673078790&sourceType=search&rank=3&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"CLIVEN 香草森林 Q10拉提淡化細紋緊膚乳, 500ml, 2瓶",$418,https://www.tw.coupang.com/products/CLIVEN-%E9%A6%99%E8%8D%89%E6%A3%AE%E6%9E%97-Q10%E6%8B%89%E6%8F%90%E6%B7%A1%E5%8C%96%E7%B4%B0%E7%B4%8B%E7%B7%8A%E8%86%9A%E4%B9%B3-286707765182471?itemId=457757673078787&vendorItemId=457757673062400&sourceType=search&rank=4&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"AMPLE N 胜肽抗皺緊緻安瓶, 100ml, 1瓶",$321,https://www.tw.coupang.com/products/AMPLE-N-%E8%83%9C%E8%82%BD%E6%8A%97%E7%9A%BA%E7%B7%8A%E7%B7%BB%E5%AE%89%E7%93%B6-217148546842635?itemId=230530775760923&vendorItemId=230529945255946&sourceType=search&rank=5&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"SEXYLOOK 西西露 彈力緊實雙耳掛面膜, 30ml, 10片, 1盒",$94,https://www.tw.coupang.com/products/SEXYLOOK-%E8%A5%BF%E8%A5%BF%E9%9C%B2-%E5%BD%88%E5%8A%9B%E7%B7%8A%E5%AF%A6%E9%9B%99%E8%80%B3%E6%8E%9B%E9%9D%A2%E8%86%9C-171540423327744?itemId=171540918288385&vendorItemId=171541388034048&sourceType=search&rank=6&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"CLIVEN 香草森林 Q10拉提緊實再生霜, 200ml, 1罐",$166,https://www.tw.coupang.com/products/CLIVEN-%E9%A6%99%E8%8D%89%E6%A3%AE%E6%9E%97-Q10%E6%8B%89%E6%8F%90%E7%B7%8A%E5%AF%A6%E5%86%8D%E7%94%9F%E9%9C%9C-286707765182466?itemId=286705735122948&vendorItemId=286706796314625&sourceType=search&rank=7&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"3W CLINIC 黃金胜肽緊緻霜, 100ml, 1罐",$371,https://www.tw.coupang.com/products/3W-CLINIC-%E9%BB%83%E9%87%91%E8%83%9C%E8%82%BD%E7%B7%8A%E7%B7%BB%E9%9C%9C-248231564918789?itemId=248232395374597&vendorItemId=248230633750532&sourceType=search&rank=8&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"BELLASOO 下巴緊緻精華面膜, 5入, 1片",$247,https://www.tw.coupang.com/products/BELLASOO-%E4%B8%8B%E5%B7%B4%E7%B7%8A%E7%B7%BB%E7%B2%BE%E8%8F%AF%E9%9D%A2%E8%86%9C-21006445736037?itemId=21013971432941&vendorItemId=21081220345227&sourceType=search&rank=9&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"SEXYLOOK 西西露 極緻煥白雙耳掛面膜, 30ml, 10片, 1盒",$94,https://www.tw.coupang.com/products/SEXYLOOK-%E8%A5%BF%E8%A5%BF%E9%9C%B2-%E6%A5%B5%E7%B7%BB%E7%85%A5%E7%99%BD%E9%9B%99%E8%80%B3%E6%8E%9B%E9%9D%A2%E8%86%9C-220745317695516?itemId=171502750089217&vendorItemId=171502750089216&sourceType=search&rank=10&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
"AMPLE N 胜肽撫紋緊緻安瓶, 100ml, 1瓶",$363,https://www.tw.coupang.com/products/AMPLE-N-%E8%83%9C%E8%82%BD%E6%92%AB%E7%B4%8B%E7%B7%8A%E7%B7%BB%E5%AE%89%E7%93%B6-21006995056735?itemId=21000938914097&vendorItemId=21003139334636&sourceType=search&rank=11&searchId=1f2bc046f00f431bb925d9d9e7a0a380&q=%E6%8B%89%E6%8F%90%E7%B7%8A%E7%B7%BB
