product_name,product_price,product_url
"BOOJA58 多功能折疊水桶, 淺褐色, 1組",$203,https://www.tw.coupang.com/products/BOOJA58-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%8A%98%E7%96%8A%E6%B0%B4%E6%A1%B6-21004320897849?itemId=21005028852232&vendorItemId=21072338667078&sourceType=search&rank=&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"Supamop 好神拖 輕巧手壓旋轉拖 拖把 + 水桶 + 布 2個, 1組",$586,https://www.tw.coupang.com/products/Supamop-%E5%A5%BD%E7%A5%9E%E6%8B%96-%E8%BC%95%E5%B7%A7%E6%89%8B%E5%A3%93%E6%97%8B%E8%BD%89%E6%8B%96-%E6%8B%96%E6%8A%8A-%2B-%E6%B0%B4%E6%A1%B6-%2B-%E5%B8%83-2%E5%80%8B-156271323856904?itemId=156272133373960&vendorItemId=156272133373952&sourceType=search&rank=1&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"Owl 旋轉拖把組 灰色 拖把*1+水桶*1+替換拖把頭*2, 1組",$367,https://www.tw.coupang.com/products/Owl-%E6%97%8B%E8%BD%89%E6%8B%96%E6%8A%8A%E7%B5%84-%E7%81%B0%E8%89%B2-%E6%8B%96%E6%8A%8A*1%2B%E6%B0%B4%E6%A1%B6*1%2B%E6%9B%BF%E6%8F%9B%E6%8B%96%E6%8A%8A%E9%A0%AD*2-157346915368980?itemId=157347334832148&vendorItemId=157346915368974&sourceType=search&rank=2&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"家簡塵除 新手壓式旋轉拖組 脫水桶+拖把架+布盤, 1組",$498,https://www.tw.coupang.com/products/%E5%AE%B6%E7%B0%A1%E5%A1%B5%E9%99%A4-%E6%96%B0%E6%89%8B%E5%A3%93%E5%BC%8F%E6%97%8B%E8%BD%89%E6%8B%96%E7%B5%84-%E8%84%AB%E6%B0%B4%E6%A1%B6%2B%E6%8B%96%E6%8A%8A%E6%9E%B6%2B%E5%B8%83%E7%9B%A4-156272133373978?itemId=156271328051212&vendorItemId=156271739125771&sourceType=search&rank=3&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"Supamop 好神拖 商用手壓式拖把組 1拖把+1脫水桶+2布盤+1手拉車, 1組","$1,409",https://www.tw.coupang.com/products/Supamop-%E5%A5%BD%E7%A5%9E%E6%8B%96-%E5%95%86%E7%94%A8%E6%89%8B%E5%A3%93%E5%BC%8F%E6%8B%96%E6%8A%8A%E7%B5%84-1%E6%8B%96%E6%8A%8A%2B1%E8%84%AB%E6%B0%B4%E6%A1%B6%2B2%E5%B8%83%E7%9B%A4%2B1%E6%89%8B%E6%8B%89%E8%BB%8A-156272133373979?itemId=156271328051213&vendorItemId=156271739125773&sourceType=search&rank=4&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"Supamop 好神拖 迷你脫水桶 附脫水籃 630g, 1個",$153,https://www.tw.coupang.com/products/Supamop-%E5%A5%BD%E7%A5%9E%E6%8B%96-%E8%BF%B7%E4%BD%A0%E8%84%AB%E6%B0%B4%E6%A1%B6-%E9%99%84%E8%84%AB%E6%B0%B4%E7%B1%83-630g-255868536848393?itemId=255866695532578&vendorItemId=255867664449564&sourceType=search&rank=5&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"3M Scotch-Brite 百利 免手洗平板拖把刮水桶組 HFB001, 1組",$464,https://www.tw.coupang.com/products/3M-Scotch-Brite-%E7%99%BE%E5%88%A9-%E5%85%8D%E6%89%8B%E6%B4%97%E5%B9%B3%E6%9D%BF%E6%8B%96%E6%8A%8A%E5%88%AE%E6%B0%B4%E6%A1%B6%E7%B5%84-HFB001-154746312704007?itemId=154745910018055&vendorItemId=154746312704002&sourceType=search&rank=6&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"Supamop 好神拖 智能3效旋轉拖組 1桶+1拖+2布, 1組",$896,https://www.tw.coupang.com/products/Supamop-%E5%A5%BD%E7%A5%9E%E6%8B%96-%E6%99%BA%E8%83%BD3%E6%95%88%E6%97%8B%E8%BD%89%E6%8B%96%E7%B5%84-1%E6%A1%B6%2B1%E6%8B%96%2B2%E5%B8%83-156272133373970?itemId=156271328051203&vendorItemId=156271323856900&sourceType=search&rank=7&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"Supamop 好神拖 輕巧腳踩旋轉拖組, 1組",$531,https://www.tw.coupang.com/products/Supamop-%E5%A5%BD%E7%A5%9E%E6%8B%96-%E8%BC%95%E5%B7%A7%E8%85%B3%E8%B8%A9%E6%97%8B%E8%BD%89%E6%8B%96%E7%B5%84-281208072159237?itemId=281209036832774&vendorItemId=281209036832772&sourceType=search&rank=8&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
"折疊圓形水桶, 混色, 1個",$193,https://www.tw.coupang.com/products/%E6%8A%98%E7%96%8A%E5%9C%93%E5%BD%A2%E6%B0%B4%E6%A1%B6-21001649861448?itemId=21002810976116&vendorItemId=21070800525863&sourceType=search&rank=9&searchId=050472c3fb11449ca1a9a6279ad80c8d&q=%E6%8B%96%E6%B0%B4%E6%A1%B6
