product_name,product_price,product_url
"即室好物 台灣製 美體滾珠按摩刷 7.5*7.5cm, 顏色隨機, 1個",$107,https://www.tw.coupang.com/products/%E5%8D%B3%E5%AE%A4%E5%A5%BD%E7%89%A9-%E5%8F%B0%E7%81%A3%E8%A3%BD-%E7%BE%8E%E9%AB%94%E6%BB%BE%E7%8F%A0%E6%8C%89%E6%91%A9%E5%88%B7-7.5*7.5cm-157365689106438?itemId=157365273837573&vendorItemId=157366091743235&sourceType=search&rank=&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"DERMACLASSEN 頭皮按摩洗髮梳, 白色, 1個",$88,https://www.tw.coupang.com/products/DERMACLASSEN-%E9%A0%AD%E7%9A%AE%E6%8C%89%E6%91%A9%E6%B4%97%E9%AB%AE%E6%A2%B3-245350220644354?itemId=245350220644355&vendorItemId=245351135035392&sourceType=search&rank=1&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"Dermaclassen 頭皮按摩洗髮梳, 白色大理石, 1個",$108,https://www.tw.coupang.com/products/Dermaclassen-%E9%A0%AD%E7%9A%AE%E6%8C%89%E6%91%A9%E6%B4%97%E9%AB%AE%E6%A2%B3-21001547393719?itemId=21002648964745&vendorItemId=21070639887932&sourceType=search&rank=2&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"洗髮專用頭皮按摩刷, 灰色, 1入",$176,https://www.tw.coupang.com/products/%E6%B4%97%E9%AB%AE%E5%B0%88%E7%94%A8%E9%A0%AD%E7%9A%AE%E6%8C%89%E6%91%A9%E5%88%B7-21000061977531?itemId=21000211905307&vendorItemId=21003504098400&sourceType=search&rank=3&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"VeSS 蜂王乳柔滑按摩梳, 1支",$78,https://www.tw.coupang.com/products/VeSS-%E8%9C%82%E7%8E%8B%E4%B9%B3%E6%9F%94%E6%BB%91%E6%8C%89%E6%91%A9%E6%A2%B3-277696818937859?itemId=159490703851523&vendorItemId=159490703851520&sourceType=search&rank=4&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"Nuby 香蕉按摩潔牙刷 #782, 1個",$175,https://www.tw.coupang.com/products/Nuby-%E9%A6%99%E8%95%89%E6%8C%89%E6%91%A9%E6%BD%94%E7%89%99%E5%88%B7-%23782-219969988018199?itemId=219971451846678&vendorItemId=219970759802895&sourceType=search&rank=5&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"VeSS 髮質潔淨按摩洗髮梳, 1個",$90,https://www.tw.coupang.com/products/VeSS-%E9%AB%AE%E8%B3%AA%E6%BD%94%E6%B7%A8%E6%8C%89%E6%91%A9%E6%B4%97%E9%AB%AE%E6%A2%B3-147294804492295?itemId=147294804492296&vendorItemId=147294804492293&sourceType=search&rank=6&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"Gloss and Glow Quickstyle木製槳刷, 1支, 棕色",$164,https://www.tw.coupang.com/products/Gloss-and-Glow-Quickstyle%E6%9C%A8%E8%A3%BD%E6%A7%B3%E5%88%B7-21008065602389?itemId=21022682668174&vendorItemId=21079352958466&sourceType=search&rank=7&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"DASHU 強健髮根頭皮養護洗髮梳, 黑色, 1個",$179,https://www.tw.coupang.com/products/DASHU-%E5%BC%B7%E5%81%A5%E9%AB%AE%E6%A0%B9%E9%A0%AD%E7%9A%AE%E9%A4%8A%E8%AD%B7%E6%B4%97%E9%AB%AE%E6%A2%B3-170032340385793?itemId=170032801742848&vendorItemId=170032340385792&sourceType=search&rank=8&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
"即室好物 台灣製 美體滾珠按摩刷 7.5*7.5cm, 顏色隨機, 2個",$210,https://www.tw.coupang.com/products/%E5%8D%B3%E5%AE%A4%E5%A5%BD%E7%89%A9-%E5%8F%B0%E7%81%A3%E8%A3%BD-%E7%BE%8E%E9%AB%94%E6%BB%BE%E7%8F%A0%E6%8C%89%E6%91%A9%E5%88%B7-7.5*7.5cm-157365689106438?itemId=409598972379143&vendorItemId=409598972362752&sourceType=search&rank=9&searchId=26d3e4cd5af14e308311a098a061bf00&q=%E6%8C%89%E6%91%A9%E5%88%B7
