product_name,product_price,product_url
"Tamsaa 捲筒式烘焙紙, 1盒",$116,https://www.tw.coupang.com/products/Tamsaa-%E6%8D%B2%E7%AD%92%E5%BC%8F%E7%83%98%E7%84%99%E7%B4%99-166800444604416?itemId=166800889184257&vendorItemId=166799970615296&sourceType=search&rank=&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"簡約設計面紙盒 白色, 1組",$431,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E8%A8%AD%E8%A8%88%E9%9D%A2%E7%B4%99%E7%9B%92-%E7%99%BD%E8%89%B2-21001183947390?itemId=21002164319779&vendorItemId=21070162487358&sourceType=search&rank=1&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"DAEHAN WELLBEING 捲筒式烘焙紙, 2盒",$163,https://www.tw.coupang.com/products/DAEHAN-WELLBEING-%E6%8D%B2%E7%AD%92%E5%BC%8F%E7%83%98%E7%84%99%E7%B4%99-259191612604419?itemId=259191612604420&vendorItemId=259190723428371&sourceType=search&rank=2&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"Tamsaa 捲筒式烘焙紙, 1盒",$140,https://www.tw.coupang.com/products/Tamsaa-%E6%8D%B2%E7%AD%92%E5%BC%8F%E7%83%98%E7%84%99%E7%B4%99-21002229066087?itemId=21003802951028&vendorItemId=21071787918887&sourceType=search&rank=3&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"Coopa 烘焙紙 捲型, 2盒",$150,https://www.tw.coupang.com/products/Coopa-%E7%83%98%E7%84%99%E7%B4%99-%E6%8D%B2%E5%9E%8B-21007104709763?itemId=21002741893935&vendorItemId=21070731939197&sourceType=search&rank=4&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"DW 鋁箔紙, 1捲",$126,https://www.tw.coupang.com/products/DW-%E9%8B%81%E7%AE%94%E7%B4%99-21007679618802?itemId=21015122055018&vendorItemId=21082343783626&sourceType=search&rank=5&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"捲筒烘焙紙, 2盒",$131,https://www.tw.coupang.com/products/%E6%8D%B2%E7%AD%92%E7%83%98%E7%84%99%E7%B4%99-21000051829115?itemId=21000183407972&vendorItemId=21003436765127&sourceType=search&rank=6&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"復古皮革面紙盒, 灰色",$360,https://www.tw.coupang.com/products/%E5%BE%A9%E5%8F%A4%E7%9A%AE%E9%9D%A9%E9%9D%A2%E7%B4%99%E7%9B%92-21002124579978?itemId=21003605146601&vendorItemId=21071590818248&sourceType=search&rank=7&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"Newwrap 環保捲筒式烘焙紙, 2捲",$401,https://www.tw.coupang.com/products/Newwrap-%E7%92%B0%E4%BF%9D%E6%8D%B2%E7%AD%92%E5%BC%8F%E7%83%98%E7%84%99%E7%B4%99-258462193778714?itemId=258461312991242&vendorItemId=258460323102739&sourceType=search&rank=8&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"comet 方形衛生紙捲筒盒, 1入, 白色",$94,https://www.tw.coupang.com/products/comet-%E6%96%B9%E5%BD%A2%E8%A1%9B%E7%94%9F%E7%B4%99%E6%8D%B2%E7%AD%92%E7%9B%92-21007951229482?itemId=21021946942418&vendorItemId=21088994769725&sourceType=search&rank=9&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"皮革面紙盒, 獨立粉紅色",$167,https://www.tw.coupang.com/products/%E7%9A%AE%E9%9D%A9%E9%9D%A2%E7%B4%99%E7%9B%92-21002127168029?itemId=21003610376758&vendorItemId=21071596029276&sourceType=search&rank=10&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
DAKWOON 多用途紙捲 白色,$403,https://www.tw.coupang.com/products/DAKWOON-%E5%A4%9A%E7%94%A8%E9%80%94%E7%B4%99%E6%8D%B2-%E7%99%BD%E8%89%B2-21000000844041?itemId=21000003360576&vendorItemId=21071680680491&sourceType=search&rank=11&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"Haru Gonggan 透明捲筒衛生紙盒, 1個",$222,https://www.tw.coupang.com/products/Haru-Gonggan-%E9%80%8F%E6%98%8E%E6%8D%B2%E7%AD%92%E8%A1%9B%E7%94%9F%E7%B4%99%E7%9B%92-21006778146011?itemId=21015932207656&vendorItemId=21083188514075&sourceType=search&rank=12&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"Picky Fix 亞克力紙巾卷衛生紙盒, 1個, 透明",$205,https://www.tw.coupang.com/products/Picky-Fix-%E4%BA%9E%E5%85%8B%E5%8A%9B%E7%B4%99%E5%B7%BE%E5%8D%B7%E8%A1%9B%E7%94%9F%E7%B4%99%E7%9B%92-21007319714940?itemId=21018771052851&vendorItemId=21085902709838&sourceType=search&rank=13&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"專賣店捲紙巾盒捲紙巾收納盒, 白貓",$164,https://www.tw.coupang.com/products/%E5%B0%88%E8%B3%A3%E5%BA%97%E6%8D%B2%E7%B4%99%E5%B7%BE%E7%9B%92%E6%8D%B2%E7%B4%99%E5%B7%BE%E6%94%B6%E7%B4%8D%E7%9B%92-21008059012068?itemId=21022632194885&vendorItemId=21089673565730&sourceType=search&rank=14&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"盒廠快遞包裝紙盒2號, 50個, 單色",$363,https://www.tw.coupang.com/products/%E7%9B%92%E5%BB%A0%E5%BF%AB%E9%81%9E%E5%8C%85%E8%A3%9D%E7%B4%99%E7%9B%922%E8%99%9F-21000289334882?itemId=21000915927743&vendorItemId=21005285338955&sourceType=search&rank=15&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"MORNING DEW 簡約設計捲筒衛生紙盒 白色, 1組",$431,https://www.tw.coupang.com/products/MORNING-DEW-%E7%B0%A1%E7%B4%84%E8%A8%AD%E8%A8%88%E6%8D%B2%E7%AD%92%E8%A1%9B%E7%94%9F%E7%B4%99%E7%9B%92-%E7%99%BD%E8%89%B2-21007543694692?itemId=21002164319753&vendorItemId=21070162487252&sourceType=search&rank=16&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"CleanSense 料理紙箔 卷型 30cm*5m, 4盒",$224,https://www.tw.coupang.com/products/CleanSense-%E6%96%99%E7%90%86%E7%B4%99%E7%AE%94-%E5%8D%B7%E5%9E%8B-30cm*5m-21005335072624?itemId=21007799512255&vendorItemId=21075089741371&sourceType=search&rank=17&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"THE Salim（紮帶贈品）壓克力捲筒衛生紙收納盒, 1組",$204,https://www.tw.coupang.com/products/THE-Salim%EF%BC%88%E7%B4%AE%E5%B8%B6%E8%B4%88%E5%93%81%EF%BC%89%E5%A3%93%E5%85%8B%E5%8A%9B%E6%8D%B2%E7%AD%92%E8%A1%9B%E7%94%9F%E7%B4%99%E6%94%B6%E7%B4%8D%E7%9B%92-21006593254583?itemId=21014886417918&vendorItemId=21085927512080&sourceType=search&rank=18&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"面紙盒, 黑色的",$602,https://www.tw.coupang.com/products/%E9%9D%A2%E7%B4%99%E7%9B%92-21005191360551?itemId=21007208802691&vendorItemId=21074500351932&sourceType=search&rank=19&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"面紙盒, 棕色的",$615,https://www.tw.coupang.com/products/%E9%9D%A2%E7%B4%99%E7%9B%92-21005191360814?itemId=21007208803879&vendorItemId=21074500352936&sourceType=search&rank=20&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"盒廠快遞包裝紙盒1號, 單色, 70個",$330,https://www.tw.coupang.com/products/%E7%9B%92%E5%BB%A0%E5%BF%AB%E9%81%9E%E5%8C%85%E8%A3%9D%E7%B4%99%E7%9B%921%E8%99%9F-21000289334883?itemId=21000915927744&vendorItemId=21005285338957&sourceType=search&rank=21&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"BT21 捲筒貼紙菸鬥, 2個, 混合顏色",$275,https://www.tw.coupang.com/products/BT21-%E6%8D%B2%E7%AD%92%E8%B2%BC%E7%B4%99%E8%8F%B8%E9%AC%A5-21007295141987?itemId=21018654493887&vendorItemId=21085789266860&sourceType=search&rank=22&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"法國紙箔卷類型 30cm x 5m, 6盒",$336,https://www.tw.coupang.com/products/%E6%B3%95%E5%9C%8B%E7%B4%99%E7%AE%94%E5%8D%B7%E9%A1%9E%E5%9E%8B-30cm-x-5m-21007265863239?itemId=21018518247391&vendorItemId=21075189281956&sourceType=search&rank=23&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"Uppier 捲紙盒 黑色, 1 個",$342,https://www.tw.coupang.com/products/Uppier-%E6%8D%B2%E7%B4%99%E7%9B%92-%E9%BB%91%E8%89%B2-21000004069539?itemId=21000019882405&vendorItemId=21003029110456&sourceType=search&rank=24&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"Munky Deco No SMOKING 非吸煙區貼紙, 2個, 混合顏色",$160,https://www.tw.coupang.com/products/Munky-Deco-No-SMOKING-%E9%9D%9E%E5%90%B8%E7%85%99%E5%8D%80%E8%B2%BC%E7%B4%99-21000005382537?itemId=21000052584031&vendorItemId=21003082114196&sourceType=search&rank=25&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"音響造型衛生紙盒, 1個, 白色的",$833,https://www.tw.coupang.com/products/%E9%9F%B3%E9%9F%BF%E9%80%A0%E5%9E%8B%E8%A1%9B%E7%94%9F%E7%B4%99%E7%9B%92-21006516397390?itemId=21014417330403&vendorItemId=21081661228452&sourceType=search&rank=26&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"iDESIGN 置物式面紙盒, 1個, 黑色的",$379,https://www.tw.coupang.com/products/iDESIGN-%E7%BD%AE%E7%89%A9%E5%BC%8F%E9%9D%A2%E7%B4%99%E7%9B%92-21000298348656?itemId=21000939475448&vendorItemId=21005324776916&sourceType=search&rank=27&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"橘之屋 紙餐盒 一體小 16.3*10*3cm, 10入, 3組",$84,https://www.tw.coupang.com/products/%E6%A9%98%E4%B9%8B%E5%B1%8B-%E7%B4%99%E9%A4%90%E7%9B%92-%E4%B8%80%E9%AB%94%E5%B0%8F-16.3*10*3cm-155883417862148?itemId=229460552925186&vendorItemId=229461375041536&sourceType=search&rank=28&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
"妙潔 直火安心特級鋁箔紙, 3盒",$75,https://www.tw.coupang.com/products/%E5%A6%99%E6%BD%94-%E7%9B%B4%E7%81%AB%E5%AE%89%E5%BF%83%E7%89%B9%E7%B4%9A%E9%8B%81%E7%AE%94%E7%B4%99-260540232335376?itemId=277698177908747&vendorItemId=277699138387975&sourceType=search&rank=29&searchId=262b21546b8f4ad0ba0e54c5538cb44d&q=%E6%8D%B2%E7%85%99%E7%B4%99%E7%9B%92
