product_name,product_price,product_url
"雙頭環形粉刺棒, 混色, 1個",$81,https://www.tw.coupang.com/products/%E9%9B%99%E9%A0%AD%E7%92%B0%E5%BD%A2%E7%B2%89%E5%88%BA%E6%A3%92-21000001366177?itemId=21000005879418&vendorItemId=21003007536698&sourceType=search&rank=&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"ANS 青春痘棒 10款, 單色, 1組",$160,https://www.tw.coupang.com/products/ANS-%E9%9D%92%E6%98%A5%E7%97%98%E6%A3%92-10%E6%AC%BE-21005772985999?itemId=21009814010387&vendorItemId=21004686010886&sourceType=search&rank=1&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"扁鋼擠壓機組, 1組, 綠色",$239,https://www.tw.coupang.com/products/%E6%89%81%E9%8B%BC%E6%93%A0%E5%A3%93%E6%A9%9F%E7%B5%84-21007345442265?itemId=21018889582781&vendorItemId=21086017716272&sourceType=search&rank=2&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"Elisix Neat 雙擠壓棒, 銀, 1個",$162,https://www.tw.coupang.com/products/Elisix-Neat-%E9%9B%99%E6%93%A0%E5%A3%93%E6%A3%92-21007404899400?itemId=21019173889083&vendorItemId=21086291994987&sourceType=search&rank=3&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"美容鑷子粉刺棒工具組, 單色, 1套",$151,https://www.tw.coupang.com/products/%E7%BE%8E%E5%AE%B9%E9%91%B7%E5%AD%90%E7%B2%89%E5%88%BA%E6%A3%92%E5%B7%A5%E5%85%B7%E7%B5%84-21005979378081?itemId=21010762026723&vendorItemId=21078042534339&sourceType=search&rank=4&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"毛孔粉刺鑷子, 單色, 1個",$65,https://www.tw.coupang.com/products/%E6%AF%9B%E5%AD%94%E7%B2%89%E5%88%BA%E9%91%B7%E5%AD%90-21002092868988?itemId=21003555145817&vendorItemId=21071541031647&sourceType=search&rank=5&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"Eyeducare Proper Popper 雙頭擠出機, 1個, 銀",$272,https://www.tw.coupang.com/products/Eyeducare-Proper-Popper-%E9%9B%99%E9%A0%AD%E6%93%A0%E5%87%BA%E6%A9%9F-21007061046378?itemId=21017507922775&vendorItemId=21084675210342&sourceType=search&rank=6&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"ilso 深層清潔刮棒, 1個, 無香味",$189,https://www.tw.coupang.com/products/ilso-%E6%B7%B1%E5%B1%A4%E6%B8%85%E6%BD%94%E5%88%AE%E6%A3%92-21007562377259?itemId=21019926704282&vendorItemId=21087089993820&sourceType=search&rank=7&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"Paris Spring 巴黎春天 擠壓式泡泡瓶, 2瓶",$140,https://www.tw.coupang.com/products/Paris-Spring-%E5%B7%B4%E9%BB%8E%E6%98%A5%E5%A4%A9-%E6%93%A0%E5%A3%93%E5%BC%8F%E6%B3%A1%E6%B3%A1%E7%93%B6-159842220064789?itemId=215601276469265&vendorItemId=215601276469252&sourceType=search&rank=8&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
"I DEW CARE 雙頭粉刺擠壓棒, 1支",$214,https://www.tw.coupang.com/products/I-DEW-CARE-%E9%9B%99%E9%A0%AD%E7%B2%89%E5%88%BA%E6%93%A0%E5%A3%93%E6%A3%92-396919905959936?itemId=396919905927171&vendorItemId=396919905927169&sourceType=search&rank=9&searchId=fc30ec539344444ea406b44a8740b563&q=%E6%93%A0%E5%A3%93
