product_name,product_price,product_url
"驅塵氏 地板黏塵拖 家庭用, 1支",$142,https://www.tw.coupang.com/products/%E9%A9%85%E5%A1%B5%E6%B0%8F-%E5%9C%B0%E6%9D%BF%E9%BB%8F%E5%A1%B5%E6%8B%96-%E5%AE%B6%E5%BA%AD%E7%94%A8-257313516503052?itemId=257314498002959&vendorItemId=257315370401793&sourceType=search&rank=&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"3M Scotch-Brite 百利 長短兩用地板黏把 50張, 1支",$237,https://www.tw.coupang.com/products/3M-Scotch-Brite-%E7%99%BE%E5%88%A9-%E9%95%B7%E7%9F%AD%E5%85%A9%E7%94%A8%E5%9C%B0%E6%9D%BF%E9%BB%8F%E6%8A%8A-50%E5%BC%B5-260299772887044?itemId=260297885433861&vendorItemId=260297885433857&sourceType=search&rank=1&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"驅塵氏 地板黏塵拖 補充包 2卷, 2包",$225,https://www.tw.coupang.com/products/%E9%A9%85%E5%A1%B5%E6%B0%8F-%E5%9C%B0%E6%9D%BF%E9%BB%8F%E5%A1%B5%E6%8B%96-%E8%A3%9C%E5%85%85%E5%8C%85-2%E5%8D%B7-257313516503063?itemId=258101265530906&vendorItemId=258101265530889&sourceType=search&rank=2&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"無塵氏 茶樹抗菌地板亮光布, 20張, 3包",$71,https://www.tw.coupang.com/products/%E7%84%A1%E5%A1%B5%E6%B0%8F-%E8%8C%B6%E6%A8%B9%E6%8A%97%E8%8F%8C%E5%9C%B0%E6%9D%BF%E4%BA%AE%E5%85%89%E5%B8%83-154479672377355?itemId=390741725528066&vendorItemId=390741725495296&sourceType=search&rank=3&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"30片濕拖把清潔佈地板, 3個",$188,https://www.tw.coupang.com/products/30%E7%89%87%E6%BF%95%E6%8B%96%E6%8A%8A%E6%B8%85%E6%BD%94%E4%BD%88%E5%9C%B0%E6%9D%BF-21007655942173?itemId=21020383020775&vendorItemId=21088766400731&sourceType=search&rank=4&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"乾淨、強力的地板清潔劑, 2L, 2個",$641,https://www.tw.coupang.com/products/%E4%B9%BE%E6%B7%A8%E3%80%81%E5%BC%B7%E5%8A%9B%E7%9A%84%E5%9C%B0%E6%9D%BF%E6%B8%85%E6%BD%94%E5%8A%91-21007490945443?itemId=21019587797846&vendorItemId=21087236992661&sourceType=search&rank=5&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"sunwooland 靜電地板清潔布 M號, 200張",$220,https://www.tw.coupang.com/products/sunwooland-%E9%9D%9C%E9%9B%BB%E5%9C%B0%E6%9D%BF%E6%B8%85%E6%BD%94%E5%B8%83-M%E8%99%9F-21000007244356?itemId=21000032019362&vendorItemId=21003047387646&sourceType=search&rank=6&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"RIVER-GREEN 地上清潔刮板 30cm, 1個",$107,https://www.tw.coupang.com/products/RIVER-GREEN-%E5%9C%B0%E4%B8%8A%E6%B8%85%E6%BD%94%E5%88%AE%E6%9D%BF-30cm-21005511065789?itemId=21008590972233&vendorItemId=21075878233334&sourceType=search&rank=7&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"Nusimbi 小米石頭掃地1~7代 max maxv pure 相容替換濕拖把, 2個, 單品",$100,https://www.tw.coupang.com/products/Nusimbi-%E5%B0%8F%E7%B1%B3%E7%9F%B3%E9%A0%AD%E6%8E%83%E5%9C%B01~7%E4%BB%A3-max-maxv-pure-%E7%9B%B8%E5%AE%B9%E6%9B%BF%E6%8F%9B%E6%BF%95%E6%8B%96%E6%8A%8A-21007576104742?itemId=21019989902347&vendorItemId=21087087826126&sourceType=search&rank=8&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
"TECO 東元 智慧掃地機器人 XYFXJ801, 單一顏色","$2,961",https://www.tw.coupang.com/products/TECO-%E6%9D%B1%E5%85%83-%E6%99%BA%E6%85%A7%E6%8E%83%E5%9C%B0%E6%A9%9F%E5%99%A8%E4%BA%BA-XYFXJ801-451570365874177?itemId=451570365857793&vendorItemId=451570365857792&sourceType=search&rank=9&searchId=c9adfb7f2c8d4c10b94acc8e1d261690&q=%E6%93%A6%E5%9C%B0%E9%A0%BB%E7%8E%87
