product_name,product_price,product_url
"Ofmin 多用途摺疊式圓角床上桌, 木棕色, 1個",$179,https://www.tw.coupang.com/products/Ofmin-%E5%A4%9A%E7%94%A8%E9%80%94%E6%91%BA%E7%96%8A%E5%BC%8F%E5%9C%93%E8%A7%92%E5%BA%8A%E4%B8%8A%E6%A1%8C-21006077861033?itemId=21011251620033&vendorItemId=21078528698474&sourceType=search&rank=&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"I'm Home Living 多功能迷你摺疊桌, 白色",$319,https://www.tw.coupang.com/products/I'm-Home-Living-%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%BF%B7%E4%BD%A0%E6%91%BA%E7%96%8A%E6%A1%8C-21000150583557?itemId=21000434916069&vendorItemId=21004074205887&sourceType=search&rank=1&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Lifesalim 便攜式摺疊桌, 黑色",$307,https://www.tw.coupang.com/products/Lifesalim-%E4%BE%BF%E6%94%9C%E5%BC%8F%E6%91%BA%E7%96%8A%E6%A1%8C-21001116550201?itemId=21000832183388&vendorItemId=21005118778009&sourceType=search&rank=2&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"bebewood Bebe Day 萬用摺疊圓桌 1個, 笑臉款",$921,https://www.tw.coupang.com/products/bebewood-Bebe-Day-%E8%90%AC%E7%94%A8%E6%91%BA%E7%96%8A%E5%9C%93%E6%A1%8C-1%E5%80%8B-265611422711816?itemId=265612341248008&vendorItemId=265611422711811&sourceType=search&rank=3&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"韓日桌折疊鐵腿多功能桌, 白橡木",$333,https://www.tw.coupang.com/products/%E9%9F%93%E6%97%A5%E6%A1%8C%E6%8A%98%E7%96%8A%E9%90%B5%E8%85%BF%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%A1%8C-21005560506881?itemId=21008819449680&vendorItemId=21076106292805&sourceType=search&rank=4&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"ANYKEY 升降摺疊筆電桌, 混色, 1個",$544,https://www.tw.coupang.com/products/ANYKEY-%E5%8D%87%E9%99%8D%E6%91%BA%E7%96%8A%E7%AD%86%E9%9B%BB%E6%A1%8C-21001253953956?itemId=21002253870478&vendorItemId=21070251219818&sourceType=search&rank=5&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"comet 戶外3段式折疊桌 附收納包, 黑色, 1入",$759,https://www.tw.coupang.com/products/comet-%E6%88%B6%E5%A4%963%E6%AE%B5%E5%BC%8F%E6%8A%98%E7%96%8A%E6%A1%8C-%E9%99%84%E6%94%B6%E7%B4%8D%E5%8C%85-21005449948906?itemId=21008314023699&vendorItemId=21075601895454&sourceType=search&rank=6&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"折疊桌 600*400mm, 大理石紋+白色（腿）",$554,https://www.tw.coupang.com/products/%E6%8A%98%E7%96%8A%E6%A1%8C-600*400mm-21002203028761?itemId=21003746378694&vendorItemId=21071731524987&sourceType=search&rank=7&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Camp Village圓邊桌+收納袋套裝, 燒焦",$576,https://www.tw.coupang.com/products/Camp-Village%E5%9C%93%E9%82%8A%E6%A1%8C%2B%E6%94%B6%E7%B4%8D%E8%A2%8B%E5%A5%97%E8%A3%9D-21007687598972?itemId=21020549000918&vendorItemId=21087625240704&sourceType=search&rank=8&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Hiromimi LINE FRIENDS 櫻花季摺疊桌 2.7kg, 賞花趣",$699,https://www.tw.coupang.com/products/Hiromimi-LINE-FRIENDS-%E6%AB%BB%E8%8A%B1%E5%AD%A3%E6%91%BA%E7%96%8A%E6%A1%8C-2.7kg-246106252345347?itemId=246105430278148&vendorItemId=246106252345345&sourceType=search&rank=9&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Story Furniture 刻字折疊桌 Have a good time 600mm, 白色的",$383,https://www.tw.coupang.com/products/Story-Furniture-%E5%88%BB%E5%AD%97%E6%8A%98%E7%96%8A%E6%A1%8C-Have-a-good-time-600mm-21000223210304?itemId=21000700886305&vendorItemId=21004788565102&sourceType=search&rank=10&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"凸輪教師週迷你露營桌, 銀",$430,https://www.tw.coupang.com/products/%E5%87%B8%E8%BC%AA%E6%95%99%E5%B8%AB%E9%80%B1%E8%BF%B7%E4%BD%A0%E9%9C%B2%E7%87%9F%E6%A1%8C-21006709445991?itemId=21015570682971&vendorItemId=21082789780480&sourceType=search&rank=11&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Katafah 一鍵式折疊隔熱保溫桌蓋櫻桃, 1個",$239,https://www.tw.coupang.com/products/Katafah-%E4%B8%80%E9%8D%B5%E5%BC%8F%E6%8A%98%E7%96%8A%E9%9A%94%E7%86%B1%E4%BF%9D%E6%BA%AB%E6%A1%8C%E8%93%8B%E6%AB%BB%E6%A1%83-21006148352866?itemId=21011849610093&vendorItemId=21079122913151&sourceType=search&rank=12&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"便攜式迷你摺疊桌 54.5*36*26cm, 深藍",$847,https://www.tw.coupang.com/products/%E4%BE%BF%E6%94%9C%E5%BC%8F%E8%BF%B7%E4%BD%A0%E6%91%BA%E7%96%8A%E6%A1%8C-54.5*36*26cm-21006064178572?itemId=21011165082923&vendorItemId=21078443189366&sourceType=search&rank=13&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"2ND鐵藝便攜桌+收納網+包, 橡木","$1,488",https://www.tw.coupang.com/products/2ND%E9%90%B5%E8%97%9D%E4%BE%BF%E6%94%9C%E6%A1%8C%2B%E6%94%B6%E7%B4%8D%E7%B6%B2%2B%E5%8C%85-21006164217903?itemId=21011983384785&vendorItemId=21079255855135&sourceType=search&rank=14&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Coleman 蝴蝶邊桌 2000036515, 深棕色","$1,996",https://www.tw.coupang.com/products/Coleman-%E8%9D%B4%E8%9D%B6%E9%82%8A%E6%A1%8C-2000036515-21006638268431?itemId=21015164939011&vendorItemId=21082386337365&sourceType=search&rank=15&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"便攜式迷你摺疊桌 54.5*36*26cm, 白色的",$847,https://www.tw.coupang.com/products/%E4%BE%BF%E6%94%9C%E5%BC%8F%E8%BF%B7%E4%BD%A0%E6%91%BA%E7%96%8A%E6%A1%8C-54.5*36*26cm-21006060386120?itemId=21011141025783&vendorItemId=21078419454973&sourceType=search&rank=16&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Beagle Sun Market 可折疊迷你托盤圓形咖啡桌, 藍色","$1,026",https://www.tw.coupang.com/products/Beagle-Sun-Market-%E5%8F%AF%E6%8A%98%E7%96%8A%E8%BF%B7%E4%BD%A0%E6%89%98%E7%9B%A4%E5%9C%93%E5%BD%A2%E5%92%96%E5%95%A1%E6%A1%8C-21007701569542?itemId=21020621710101&vendorItemId=21087695942418&sourceType=search&rank=17&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Zoe 可攜式折疊兒童折疊桌 2.9kg, 櫻花粉, 1個","$1,045",https://www.tw.coupang.com/products/Zoe-%E5%8F%AF%E6%94%9C%E5%BC%8F%E6%8A%98%E7%96%8A%E5%85%92%E7%AB%A5%E6%8A%98%E7%96%8A%E6%A1%8C-2.9kg-288922710032386?itemId=288922710032387&vendorItemId=288922710032384&sourceType=search&rank=18&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"BAUMAN 攜帶式竹板桌+收納包 SC-CLS5011, 銀木（桌子）",$627,https://www.tw.coupang.com/products/BAUMAN-%E6%94%9C%E5%B8%B6%E5%BC%8F%E7%AB%B9%E6%9D%BF%E6%A1%8C%2B%E6%94%B6%E7%B4%8D%E5%8C%85-SC-CLS5011-21005653010227?itemId=21009256805098&vendorItemId=21076542423770&sourceType=search&rank=19&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"市場計劃折疊簡單圓桌會議, 木頭",$631,https://www.tw.coupang.com/products/%E5%B8%82%E5%A0%B4%E8%A8%88%E5%8A%83%E6%8A%98%E7%96%8A%E7%B0%A1%E5%96%AE%E5%9C%93%E6%A1%8C%E6%9C%83%E8%AD%B0-21005624733093?itemId=21009189291322&vendorItemId=21076475086242&sourceType=search&rank=20&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Isoppumda 4 輪高級桌子 XL, 1個, 燒焦","$2,153",https://www.tw.coupang.com/products/Isoppumda-4-%E8%BC%AA%E9%AB%98%E7%B4%9A%E6%A1%8C%E5%AD%90-XL-21007425162020?itemId=21019272121070&vendorItemId=21086387292409&sourceType=search&rank=21&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"ShineTrip 便攜式可折疊迷你桌+收納袋, 黑+紅（表）",$835,https://www.tw.coupang.com/products/ShineTrip-%E4%BE%BF%E6%94%9C%E5%BC%8F%E5%8F%AF%E6%8A%98%E7%96%8A%E8%BF%B7%E4%BD%A0%E6%A1%8C%2B%E6%94%B6%E7%B4%8D%E8%A2%8B-21006851424859?itemId=21016322918832&vendorItemId=21083514974351&sourceType=search&rank=22&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"CLS 攜帶式折疊鋁板捲桌 SC-CLS 502, 混色",$633,https://www.tw.coupang.com/products/CLS-%E6%94%9C%E5%B8%B6%E5%BC%8F%E6%8A%98%E7%96%8A%E9%8B%81%E6%9D%BF%E6%8D%B2%E6%A1%8C-SC-CLS-502-21005340931211?itemId=21007828023064&vendorItemId=21075117859532&sourceType=search&rank=23&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"KEEP CAMPING 鋁製輕量迷你折疊桌, 紅色",$493,https://www.tw.coupang.com/products/KEEP-CAMPING-%E9%8B%81%E8%A3%BD%E8%BC%95%E9%87%8F%E8%BF%B7%E4%BD%A0%E6%8A%98%E7%96%8A%E6%A1%8C-21004392980963?itemId=21005208381575&vendorItemId=21072517531866&sourceType=search&rank=24&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Yetta here 折疊戶外便攜桌小號, 黑色",$852,https://www.tw.coupang.com/products/Yetta-here-%E6%8A%98%E7%96%8A%E6%88%B6%E5%A4%96%E4%BE%BF%E6%94%9C%E6%A1%8C%E5%B0%8F%E8%99%9F-21007057127273?itemId=21017486133191&vendorItemId=21084653543414&sourceType=search&rank=25&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Estebanhof 折疊籃桌, 2層, 泥卡其色",$457,https://www.tw.coupang.com/products/Estebanhof-%E6%8A%98%E7%96%8A%E7%B1%83%E6%A1%8C-21007342006399?itemId=21018873111237&vendorItemId=21086001796328&sourceType=search&rank=26&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Likehouse 圓座折疊桌, 乳霜",$973,https://www.tw.coupang.com/products/Likehouse-%E5%9C%93%E5%BA%A7%E6%8A%98%E7%96%8A%E6%A1%8C-21007279541999?itemId=21018582438588&vendorItemId=21085719023198&sourceType=search&rank=27&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"ROYCHE Coca-Cola Camping 鋁合金邊桌+收納袋套組 COKE-STB-C-BK, 黑色的","$2,832",https://www.tw.coupang.com/products/ROYCHE-Coca-Cola-Camping-%E9%8B%81%E5%90%88%E9%87%91%E9%82%8A%E6%A1%8C%2B%E6%94%B6%E7%B4%8D%E8%A2%8B%E5%A5%97%E7%B5%84-COKE-STB-C-BK-21006925576128?itemId=21016739785875&vendorItemId=21083921772923&sourceType=search&rank=28&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Vinoffhouse 鋁合金折疊便攜超薄桌面支架, 銀, 單品",$928,https://www.tw.coupang.com/products/Vinoffhouse-%E9%8B%81%E5%90%88%E9%87%91%E6%8A%98%E7%96%8A%E4%BE%BF%E6%94%9C%E8%B6%85%E8%96%84%E6%A1%8C%E9%9D%A2%E6%94%AF%E6%9E%B6-21005801075350?itemId=21009949798102&vendorItemId=21077233006552&sourceType=search&rank=29&searchId=6d0df520e02e499c87e60aee66950a74&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"玫瑰圖案高光澤摺疊桌, 白色的",$356,https://www.tw.coupang.com/products/%E7%8E%AB%E7%91%B0%E5%9C%96%E6%A1%88%E9%AB%98%E5%85%89%E6%BE%A4%E6%91%BA%E7%96%8A%E6%A1%8C-21000002568425?itemId=21000001439389&vendorItemId=21003001390491&sourceType=search&rank=&searchId=ef3403ea35974d5d81409d1b7ab9a05d&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"真棒300邊桌MYA126, 橡木 + 白色","$1,449",https://www.tw.coupang.com/products/%E7%9C%9F%E6%A3%92300%E9%82%8A%E6%A1%8CMYA126-21005849063610?itemId=21010172993231&vendorItemId=21077455553708&sourceType=search&rank=1&searchId=ef3403ea35974d5d81409d1b7ab9a05d&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Story Furniture 刻字折疊桌 我愛你 600mm, 白色的",$335,https://www.tw.coupang.com/products/Story-Furniture-%E5%88%BB%E5%AD%97%E6%8A%98%E7%96%8A%E6%A1%8C-%E6%88%91%E6%84%9B%E4%BD%A0-600mm-21000145872473?itemId=21000422708125&vendorItemId=21004040276755&sourceType=search&rank=2&searchId=ef3403ea35974d5d81409d1b7ab9a05d&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
"Home Planet 升降摺疊筆電桌, 橡木色, 1入",$580,https://www.tw.coupang.com/products/Home-Planet-%E5%8D%87%E9%99%8D%E6%91%BA%E7%96%8A%E7%AD%86%E9%9B%BB%E6%A1%8C-21005844464962?itemId=21010152334317&vendorItemId=21077435023729&sourceType=search&rank=3&searchId=ef3403ea35974d5d81409d1b7ab9a05d&q=%E6%94%9C%E6%89%8B%E6%8F%90%E6%A1%8C
