product_name,product_price,product_url
"comet 五層收納架 最大承重90kg, 白色",$861,https://www.tw.coupang.com/products/comet-%E4%BA%94%E5%B1%A4%E6%94%B6%E7%B4%8D%E6%9E%B6-%E6%9C%80%E5%A4%A7%E6%89%BF%E9%87%8D90kg-168576384204800?itemId=168575448858624&vendorItemId=168575927042048&sourceType=search&rank=&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"IRIS OHYAMA 時尚分層收納架 OWR 400, 原木色",$630,https://www.tw.coupang.com/products/IRIS-OHYAMA-%E6%99%82%E5%B0%9A%E5%88%86%E5%B1%A4%E6%94%B6%E7%B4%8D%E6%9E%B6-OWR-400-163425569161226?itemId=163425569161227&vendorItemId=163425569161221&sourceType=search&rank=1&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"LIVENS 鐵製收納架, 3層, 白色",$331,https://www.tw.coupang.com/products/LIVENS-%E9%90%B5%E8%A3%BD%E6%94%B6%E7%B4%8D%E6%9E%B6-169606907920384?itemId=169605959991297&vendorItemId=169605959991296&sourceType=search&rank=2&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"cimelax 多用途收納層架, 白色, 2層",$348,https://www.tw.coupang.com/products/cimelax-%E5%A4%9A%E7%94%A8%E9%80%94%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6-258389988818952?itemId=258390974513164&vendorItemId=258389984624671&sourceType=search&rank=3&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"cimelax 多用途雙層收納層架, 白色, 2層",$225,https://www.tw.coupang.com/products/cimelax-%E5%A4%9A%E7%94%A8%E9%80%94%E9%9B%99%E5%B1%A4%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6-21006261625391?itemId=21012753175118&vendorItemId=21080019460348&sourceType=search&rank=4&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"nOVA LIVING 摺疊式收納架, 3層, 黑色",$641,https://www.tw.coupang.com/products/nOVA-LIVING-%E6%91%BA%E7%96%8A%E5%BC%8F%E6%94%B6%E7%B4%8D%E6%9E%B6-169606958268416?itemId=169607419625473&vendorItemId=169607419625472&sourceType=search&rank=5&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"comet 家庭式多功能雙層收納架, 原木色",$268,https://www.tw.coupang.com/products/comet-%E5%AE%B6%E5%BA%AD%E5%BC%8F%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%99%E5%B1%A4%E6%94%B6%E7%B4%8D%E6%9E%B6-21006113818946?itemId=21011540027197&vendorItemId=21078815050981&sourceType=search&rank=6&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"Tres Belle 收納架, 白色, 4層","$1,854",https://www.tw.coupang.com/products/Tres-Belle-%E6%94%B6%E7%B4%8D%E6%9E%B6-169607197327360?itemId=169606249398272&vendorItemId=169606735970304&sourceType=search&rank=7&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"comet 多功能收納架, 黑色, 4層",$561,https://www.tw.coupang.com/products/comet-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%94%B6%E7%B4%8D%E6%9E%B6-170036106838016?itemId=170037058961408&vendorItemId=170036593410048&sourceType=search&rank=8&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
"comet 3層置物收納架, 黑色",$553,https://www.tw.coupang.com/products/comet-3%E5%B1%A4%E7%BD%AE%E7%89%A9%E6%94%B6%E7%B4%8D%E6%9E%B6-21002160094975?itemId=21003669484002&vendorItemId=21071654881604&sourceType=search&rank=9&searchId=7c5e952fc30641229fb1e54db9cc6eed&q=%E6%94%B6%E7%B4%8D%E5%B1%A4%E6%9E%B6
