product_name,product_price,product_url
Glam Moment 女式多合一塑身衣,$265,https://www.tw.coupang.com/products/Glam-Moment-%E5%A5%B3%E5%BC%8F%E5%A4%9A%E5%90%88%E4%B8%80%E5%A1%91%E8%BA%AB%E8%A1%A3-21006689707752?itemId=21015455307976&vendorItemId=21082674892613&sourceType=search&rank=&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
micodi aqua 基本衣,$477,https://www.tw.coupang.com/products/micodi-aqua-%E5%9F%BA%E6%9C%AC%E8%A1%A3-21005049133148?itemId=21006807598684&vendorItemId=21074100269867&sourceType=search&rank=1&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
aise 無縫氣皮塑身衣,$502,https://www.tw.coupang.com/products/aise-%E7%84%A1%E7%B8%AB%E6%B0%A3%E7%9A%AE%E5%A1%91%E8%BA%AB%E8%A1%A3-21007865747416?itemId=21021474751288&vendorItemId=21088529017167&sourceType=search&rank=2&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Glam Body 女士腹部脂肪矯正 S 線塑身衣,$457,https://www.tw.coupang.com/products/Glam-Body-%E5%A5%B3%E5%A3%AB%E8%85%B9%E9%83%A8%E8%84%82%E8%82%AA%E7%9F%AF%E6%AD%A3-S-%E7%B7%9A%E5%A1%91%E8%BA%AB%E8%A1%A3-21007352780820?itemId=21018925232852&vendorItemId=21086052220983&sourceType=search&rank=3&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
tsh 我們的肌膚多合一塑身衣,$400,https://www.tw.coupang.com/products/tsh-%E6%88%91%E5%80%91%E7%9A%84%E8%82%8C%E8%86%9A%E5%A4%9A%E5%90%88%E4%B8%80%E5%A1%91%E8%BA%AB%E8%A1%A3-21007578747441?itemId=21020001921295&vendorItemId=21088731123347&sourceType=search&rank=4&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
猩紅線矯正文胸上衣一體式矯正內衣,$440,https://www.tw.coupang.com/products/%E7%8C%A9%E7%B4%85%E7%B7%9A%E7%9F%AF%E6%AD%A3%E6%96%87%E8%83%B8%E4%B8%8A%E8%A1%A3%E4%B8%80%E9%AB%94%E5%BC%8F%E7%9F%AF%E6%AD%A3%E5%85%A7%E8%A1%A3-21000298958701?itemId=21000941561021&vendorItemId=21085392184380&sourceType=search&rank=5&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Gotability 女性腹部脂肪矯正塑身器,$276,https://www.tw.coupang.com/products/Gotability-%E5%A5%B3%E6%80%A7%E8%85%B9%E9%83%A8%E8%84%82%E8%82%AA%E7%9F%AF%E6%AD%A3%E5%A1%91%E8%BA%AB%E5%99%A8-21006586138367?itemId=21014841403971&vendorItemId=21082080666613&sourceType=search&rank=6&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Hansuui 女士矯正內褲一體式完美修身緊身胸衣提臀 V 字扣內褲,$381,https://www.tw.coupang.com/products/Hansuui-%E5%A5%B3%E5%A3%AB%E7%9F%AF%E6%AD%A3%E5%85%A7%E8%A4%B2%E4%B8%80%E9%AB%94%E5%BC%8F%E5%AE%8C%E7%BE%8E%E4%BF%AE%E8%BA%AB%E7%B7%8A%E8%BA%AB%E8%83%B8%E8%A1%A3%E6%8F%90%E8%87%80-V-%E5%AD%97%E6%89%A3%E5%85%A7%E8%A4%B2-21006099853091?itemId=21011423977774&vendorItemId=21086420453444&sourceType=search&rank=7&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Body play arua 透視一體式矯正內衣,$289,https://www.tw.coupang.com/products/Body-play-arua-%E9%80%8F%E8%A6%96%E4%B8%80%E9%AB%94%E5%BC%8F%E7%9F%AF%E6%AD%A3%E5%85%A7%E8%A1%A3-21007637424383?itemId=21000215370621&vendorItemId=21085104141071&sourceType=search&rank=8&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
The Garden Best Line 矯正帶,$953,https://www.tw.coupang.com/products/The-Garden-Best-Line-%E7%9F%AF%E6%AD%A3%E5%B8%B6-21006395737808?itemId=21013656252738&vendorItemId=21080908757613&sourceType=search&rank=9&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Dr. Miz Slim Control 無縫塑身衣 4 種 + 內褲 4 種套裝 DM006 CDM06_00,$480,https://www.tw.coupang.com/products/Dr.-Miz-Slim-Control-%E7%84%A1%E7%B8%AB%E5%A1%91%E8%BA%AB%E8%A1%A3-4-%E7%A8%AE-%2B-%E5%85%A7%E8%A4%B2-4-%E7%A8%AE%E5%A5%97%E8%A3%9D-DM006-CDM06_00-21007220810439?itemId=21018298244222&vendorItemId=21088126900701&sourceType=search&rank=10&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
女士內衣拉鍊修身一體式 0411,$762,https://www.tw.coupang.com/products/%E5%A5%B3%E5%A3%AB%E5%85%A7%E8%A1%A3%E6%8B%89%E9%8D%8A%E4%BF%AE%E8%BA%AB%E4%B8%80%E9%AB%94%E5%BC%8F-0411-21000328434395?itemId=21001050452096&vendorItemId=21005516596140&sourceType=search&rank=11&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Bodyplay Body Concealer 緊身胸衣多合一內衣,$479,https://www.tw.coupang.com/products/Bodyplay-Body-Concealer-%E7%B7%8A%E8%BA%AB%E8%83%B8%E8%A1%A3%E5%A4%9A%E5%90%88%E4%B8%80%E5%85%A7%E8%A1%A3-21004368375113?itemId=21005145877116&vendorItemId=21073618320435&sourceType=search&rank=12&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Etrangée 拉鍊修身裙一體式矯正內衣 5411,$689,https://www.tw.coupang.com/products/Etrang%C3%A9e-%E6%8B%89%E9%8D%8A%E4%BF%AE%E8%BA%AB%E8%A3%99%E4%B8%80%E9%AB%94%E5%BC%8F%E7%9F%AF%E6%AD%A3%E5%85%A7%E8%A1%A3-5411-21000328434447?itemId=21001044928206&vendorItemId=21005506281331&sourceType=search&rank=13&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Body Formula Comfort 身體支撐矯正緊身胸衣,$473,https://www.tw.coupang.com/products/Body-Formula-Comfort-%E8%BA%AB%E9%AB%94%E6%94%AF%E6%92%90%E7%9F%AF%E6%AD%A3%E7%B7%8A%E8%BA%AB%E8%83%B8%E8%A1%A3-21007209505244?itemId=21018241191844&vendorItemId=21085388137667&sourceType=search&rank=14&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
女士矯正內衣拉鍊衣一體成型 8411,$748,https://www.tw.coupang.com/products/%E5%A5%B3%E5%A3%AB%E7%9F%AF%E6%AD%A3%E5%85%A7%E8%A1%A3%E6%8B%89%E9%8D%8A%E8%A1%A3%E4%B8%80%E9%AB%94%E6%88%90%E5%9E%8B-8411-21000328434529?itemId=21001050452346&vendorItemId=21005516596694&sourceType=search&rank=15&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Arua 女式 Perfect Fit 大碼塑身衣,$699,https://www.tw.coupang.com/products/Arua-%E5%A5%B3%E5%BC%8F-Perfect-Fit-%E5%A4%A7%E7%A2%BC%E5%A1%91%E8%BA%AB%E8%A1%A3-21007227205743?itemId=21018329810424&vendorItemId=21085474385996&sourceType=search&rank=16&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Just My Size 蕾絲上衣 Supima 修身 4 種 + 內褲 4 種套裝 HJM010_00,$965,https://www.tw.coupang.com/products/Just-My-Size-%E8%95%BE%E7%B5%B2%E4%B8%8A%E8%A1%A3-Supima-%E4%BF%AE%E8%BA%AB-4-%E7%A8%AE-%2B-%E5%85%A7%E8%A4%B2-4-%E7%A8%AE%E5%A5%97%E8%A3%9D-HJM010_00-21007867810699?itemId=21021485276050&vendorItemId=21088539386366&sourceType=search&rank=17&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
FLORIN 緊身胸衣 No-Line Correction 內褲 2 件套,$688,https://www.tw.coupang.com/products/FLORIN-%E7%B7%8A%E8%BA%AB%E8%83%B8%E8%A1%A3-No-Line-Correction-%E5%85%A7%E8%A4%B2-2-%E4%BB%B6%E5%A5%97-21004848326422?itemId=21006273525525&vendorItemId=21085905421371&sourceType=search&rank=18&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
PEONIST 女性體型矯正緊身胸衣塑身衣,$457,https://www.tw.coupang.com/products/PEONIST-%E5%A5%B3%E6%80%A7%E9%AB%94%E5%9E%8B%E7%9F%AF%E6%AD%A3%E7%B7%8A%E8%BA%AB%E8%83%B8%E8%A1%A3%E5%A1%91%E8%BA%AB%E8%A1%A3-21007909889439?itemId=21021701330459&vendorItemId=21088750864762&sourceType=search&rank=19&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Carrie Lucy 雙文胸罩盃體型矯正美體套裝一體機,$804,https://www.tw.coupang.com/products/Carrie-Lucy-%E9%9B%99%E6%96%87%E8%83%B8%E7%BD%A9%E7%9B%83%E9%AB%94%E5%9E%8B%E7%9F%AF%E6%AD%A3%E7%BE%8E%E9%AB%94%E5%A5%97%E8%A3%9D%E4%B8%80%E9%AB%94%E6%A9%9F-21007232438531?itemId=21018355549488&vendorItemId=21085499411275&sourceType=search&rank=20&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
FLORIN Corset Body Shape Correction No-Line 女式內褲 3 件套,$942,https://www.tw.coupang.com/products/FLORIN-Corset-Body-Shape-Correction-No-Line-%E5%A5%B3%E5%BC%8F%E5%85%A7%E8%A4%B2-3-%E4%BB%B6%E5%A5%97-21004842561325?itemId=21006260043953&vendorItemId=21085905406062&sourceType=search&rank=21&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
KerriLucy 透視功率校正多合一,$769,https://www.tw.coupang.com/products/KerriLucy-%E9%80%8F%E8%A6%96%E5%8A%9F%E7%8E%87%E6%A0%A1%E6%AD%A3%E5%A4%9A%E5%90%88%E4%B8%80-21005547906881?itemId=21008757485412&vendorItemId=21076044416188&sourceType=search&rank=22&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
Carrie Lucy 女士塑身一體機,$774,https://www.tw.coupang.com/products/Carrie-Lucy-%E5%A5%B3%E5%A3%AB%E5%A1%91%E8%BA%AB%E4%B8%80%E9%AB%94%E6%A9%9F-21007182907210?itemId=21018119490548&vendorItemId=21085270695362&sourceType=search&rank=23&searchId=4e0bfdd443b340e29d89990d9db16d16&q=%E6%95%B4%E5%BD%A2
